Question,Answer,Climate_Type,Acupuncture_Points,Pharmacopeia
What is the TCM approach to heat exhaustion in desert climates?,"Clear summer-heat, generate fluids, restore qi and yin. Cool body gently while replenishing lost fluids and electrolytes.",Desert/Extreme Heat,"DU-14 (Dazhui), LI-11 (Quchi), PC-3 (Quze), ST-36 (Zusanli), SP-6 (Sanyinjiao)","Qing Shu Yi Qi Tang (Clear Summer - Heat and Augment Qi Decoction) - Xi Yang Shen, Shi Hu, Mai Men Dong"
How do you treat severe dehydration from extreme heat exposure?,"Generate fluids urgently, nourish yin, clear residual heat, restore electrolyte balance through kidney-stomach axis.",Desert/Extreme Heat,"ST-36 (Zusanli), REN-12 (Zhongwan), KI-6 (Zhaohai), SP-6 (Sanyinjiao), REN-4 (Guanyuan)","Sheng Mai San (Generate the Pulse Powder) - Ren Shen, Mai Men Dong, Wu Wei Zi + Zeng Ye Tang"
What points treat heat stroke with high fever?,"Clear extreme heat from qi and blood levels, open orifices, protect heart and brain, emergency cooling.",Desert/Extreme Heat,"DU-14 (Dazhui), DU-26 (Renzhong), PC-9 (Zhongchong), LI-11 (Quchi), Shixuan (Extra)","Bai Hu Tang (White Tiger Decoction) - Shi Gao, Zhi Mu, Geng Mi + An Gong Niu Huang Wan if coma"
How to address chronic desert dryness damaging lungs?,"Nourish lung yin, moisten dryness, generate fluids, clear any residual heat, protect respiratory mucosa.",Desert/Extreme Heat/Dry,"LU-7 (Lieque), LU-5 (Chize), KI-6 (Zhaohai), REN-17 (Danzhong), BL-13 (Feishu)",Bai He Gu Jin Tang (Lily Bulb Decoction to Preserve the Metal) - moistens lung yin
What is the treatment for dry skin and cracking from desert climate?,"Nourish blood and yin, moisten dryness, benefit lung (governs skin), generate fluids systemically.",Desert/Extreme Heat/Dry,"LI-11 (Quchi), SP-10 (Xuehai), SP-6 (Sanyinjiao), LU-7 (Lieque), KI-6 (Zhaohai)","Si Wu Tang (Four - Substance Decoction) + Run Zao Herbs - Dang Gui, Di Huang, Bai Shao, Mai Men Dong"
How do you treat nosebleeds from extreme heat and dryness?,"Cool blood, clear lung and stomach heat, nourish yin, moisten dryness, stop bleeding.",Desert/Extreme Heat/Dry,"LI-4 (Hegu), LI-20 (Yingxiang), DU-23 (Shangxing), LU-6 (Kongzui), SP-1 (Yinbai)",Si Sheng Wan (Four Fresh Decoction) to cool blood + Qing Zao Jiu Fei Tang for dryness
What points address extreme thirst in hot desert conditions?,"Generate fluids, clear heat, nourish stomach and kidney yin, open water passages.",Desert/Extreme Heat,"REN-12 (Zhongwan), ST-36 (Zusanli), KI-3 (Taixi), SP-6 (Sanyinjiao), REN-9 (Shuifen)",Yu Nu Jian (Jade Woman Decoction) - clears stomach heat and generates fluids
How to treat heat-induced insomnia in tropical climates?,"Clear heart heat, calm shen, nourish yin, cool blood, harmonize sleep-wake cycle.",Tropical/Extreme Heat,"HT-7 (Shenmen), HT-8 (Shaofu), PC-7 (Daling), Yintang, Anmian (Extra)",Huang Lian E Jiao Tang (Coptis and Ass - Hide Gelatin Decoction) for heat disturbing shen
What is the treatment for tropical heat rash (prickly heat)?,"Clear heat from skin, resolve dampness, cool blood, open pores, dispel summer-heat.",Tropical/Humid Heat,"LI-11 (Quchi), SP-10 (Xuehai), SP-9 (Yinlingquan), LI-4 (Hegu), surrounding needling","Liu Yi San (Six - to - One Powder) - Hua Shi, Gan Cao to clear summer - heat and dampness"
How do you address heat-induced digestive upset in hot climates?,"Clear summer-heat from middle jiao, harmonize stomach, resolve dampness, restore appetite.",Tropical/Extreme Heat,"ST-36 (Zusanli), REN-12 (Zhongwan), PC-6 (Neiguan), ST-44 (Neiting), SP-4 (Gongsun)",Huo Xiang Zheng Qi San (Agastache Powder to Rectify the Qi) for summer - heat dampness
What points treat sunstroke with confusion and dizziness?,"Clear heat from heart and pericardium, open orifices, calm shen, descend rising yang.",Desert/Extreme Heat,"DU-20 (Baihui), DU-26 (Renzhong), PC-6 (Neiguan), GB-20 (Fengchi), LI-11 (Quchi)",Qing Ying Tang (Clear the Nutritive Level Decoction) + aromatic opening if severe
How to prevent heat-induced yin deficiency in long-term desert dwellers?,"Tonify kidney and lung yin preventively, generate fluids, moisten dryness, protect essence.",Desert/Extreme Heat/Dry,"KI-3 (Taixi), KI-6 (Zhaohai), LU-9 (Taiyuan), SP-6 (Sanyinjiao), REN-4 (Guanyuan)",Liu Wei Di Huang Wan (Six - Ingredient Pill with Rehmannia) for kidney yin maintenance
What is the treatment for heat-induced heart palpitations?,"Clear heart fire, nourish heart yin, calm shen, cool blood, regulate heart rhythm.",Tropical/Extreme Heat,"HT-7 (Shenmen), PC-6 (Neiguan), HT-5 (Tongli), BL-15 (Xinshu), REN-17 (Danzhong)",Tian Wang Bu Xin Dan (Emperor of Heaven's Special Pill) if yin deficiency with heat
How do you treat muscle cramps from electrolyte loss in heat?,"Nourish blood and fluids, relax sinews, restore minerals through kidney and liver, tonify yin.",Desert/Extreme Heat,"GB-34 (Yanglingquan), LV-3 (Taichong), SP-6 (Sanyinjiao), BL-57 (Chengshan), BL-40 (Weizhong)",Shao Yao Gan Cao Tang (Peony and Licorice Decoction) + Zeng Ye Tang for fluids
What points address heat-induced hypertension in hot climates?,"Clear heat, calm liver yang, descend rising qi, cool blood, tonify kidney yin.",Tropical/Extreme Heat,"LV-3 (Taichong), LV-2 (Xingjian), GB-20 (Fengchi), KI-3 (Taixi), DU-20 (Baihui)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria Beverage) to subdue liver yang
What is the TCM approach to frostbite prevention and early treatment?,"Warm channels, invigorate blood, dispel cold, prevent tissue necrosis, restore circulation.",Arctic/Extreme Cold,"ST-36 (Zusanli), DU-4 (Mingmen), REN-6 (Qihai), local surrounding needling, moxa therapy",Dang Gui Si Ni Tang (Tangkuei Decoction for Frigid Extremities) - warms channels
