Point Name,Location,TCM Actions,Indications for Grief-Related Insomnia,Needling & Research Evidence
HT-7 (Shenmen 神门 Spirit Gate),"On wrist crease at ulnar side, in depression between pisiform bone and ulna. Radial to flexor carpi ulnaris tendon.","Calms Shen (Spirit), nourishes Heart blood, clears Heart fire, regulates Heart Qi","PRIMARY POINT for grief insomnia. Treats difficulty falling asleep from emotional disturbance, anxiety, palpitations, excessive dreaming, waking easily. Especially effective for Heart-Lung Qi deficiency patterns with sadness. The Spirit cannot return home to rest.",Shu-Stream & Yuan-Source point. 0.3-0.5 cun perpendicular. 2024 systematic review shows highest frequency in insomnia treatment. RCT evidence: HT7+KI7 significantly improved PSQI and ISI scores. Most commonly used insomnia point globally.
PC-6 (Neiguan 内关 Inner Gate),"2 cun above wrist crease, between tendons of palmaris longus and flexor carpi radialis","Opens chest, calms Shen, regulates Heart Qi, relieves chest oppression, harmonizes Stomach","Excellent for insomnia with anxiety, chest tightness, palpitations from grief. Treats 'can't shut mind off' type insomnia with rumination. Opens emotional blockages. Effective for grief with somatization in chest area.",Luo-Connecting point of Pericardium. 0.5-1.0 cun perpendicular. 2024 meta-analysis shows PC6 in top 5 most used insomnia points. Modulates amygdala and default-mode network. High confidence in association rule analysis for sleep.
SP-6 (Sanyinjiao 三阴交 Three Yin Intersection),"3 cun above medial malleolus, posterior to medial border of tibia","Tonifies Spleen, nourishes Yin and Blood, calms Shen, regulates menstruation, benefits Kidneys","Core point for insomnia from Qi-Blood deficiency after grief. Treats waking easily at night, poor sleep quality, nighttime anxiety. Nourishes all three Yin channels. Essential for women with grief affecting menstrual cycle and sleep.","Intersection of 3 Yin channels (Spleen, Liver, Kidney). 0.5-1.0 cun perpendicular. RCT: HT7+SP6 combination most effective. 2024 review: SP6 is CORE point, highest confidence in network topology analysis. Contraindicated in pregnancy."
Anmian (安眠 Peaceful Sleep) - Extra Point,"Behind ear, midpoint between Sishencong (GV-20) and Yifeng (SJ-17). Behind mastoid process.",Specifically calms Shen and induces sleep. Sedates overactive mind. Nourishes Heart-Kidney connection.,"Named 'Peaceful Sleep' - designed for insomnia. Excellent for grief-related sleep issues with racing thoughts, inability to calm mind. Treats both difficulty falling asleep AND staying asleep. Reduces nighttime anxiety and restlessness.",Extra point specifically for insomnia. 0.5-0.8 cun perpendicular or oblique toward GV-20. Clinical studies show Anmian reduces sleep latency and improves sleep depth. Often combined with Shenmen points. Traditional insomnia protocol includes this point.
GV-20 (Baihui 百会 Hundred Meetings),"On midline of head, 5 cun above anterior hairline, at apex of ears. Top of head at vertex.","Calms Shen, clears mind, raises Yang Qi, benefits brain, regulates autonomic nervous system","Top evidence-based point for grief trauma (78.6% of PTSD studies). Treats insomnia from overthinking, mental exhaustion, anxiety. Clears mental fog. Excellent for rumination preventing sleep. Regulates HPA axis and cortisol.",Meeting point of all Yang channels. 0.3-0.5 cun horizontal insertion. 2024 systematic review: GV20 third most common insomnia point. Modulates neuroinflammation and cognitive function. Reduces hyperarousal state that prevents sleep.
Yintang (印堂 Hall of Impression) - Extra Point,Midpoint between medial ends of eyebrows,"Calms Shen, clears mind, relieves anxiety, opens third eye, descends Yang","Powerful for sleep onset insomnia. Immediately calms racing mind. Treats anxiety, agitation, mental restlessness from grief. Can feel effect during treatment. Especially good for 'can't turn brain off' pattern.",Extra point. 0.3-0.5 cun horizontal toward nose bridge or transverse subcutaneous. High clinical efficacy for immediate calming. Often combined with GV-20 and Anmian. Patients report immediate relaxation response.
EX-HN1 (Sishencong 四神聪 Four Alert Spirit),"Four points, 1 cun anterior, posterior, left and right to GV-20","Calms Shen, clears mind, sharpens mental clarity, reduces excessive thinking",Excellent for insomnia from mental overwork and rumination. Treats excessive thinking about loss preventing sleep. Clears mental fatigue. Combined with GV-20 creates powerful brain-calming effect.,4 extra points surrounding Baihui. 0.3-0.5 cun horizontal insertion. 2024 review shows frequent use in insomnia protocols. Traditionally for mental exhaustion. Restores mind-body balance for natural sleep.
KI-3 (Taixi 太溪 Great Ravine),"Between medial malleolus and Achilles tendon, at level of tip of malleolus","Tonifies Kidney Yin and Yang, nourishes essence, strengthens lower back, grounds energy","Essential for insomnia from prolonged grief depleting Kidneys. Treats waking at 2-4am (Kidney time), night sweats, fear-based insomnia. Grounds scattered energy. Nourishes root of sleep regulation.",Yuan-Source point of Kidney. 0.3-0.5 cun perpendicular. RCT evidence: HT7+KI7 combination effective. KI3 nourishes Yin for Heart-Kidney communication. 2024 systematic review: 8th most common insomnia point. Critical for chronic cases.
ST-36 (Zusanli 足三里 Leg Three Miles),"3 cun below ST-35, one finger width lateral to anterior crest of tibia","Tonifies Qi and Blood, strengthens Spleen-Stomach, harmonizes middle jiao, regulates immunity","Foundation point for Qi-Blood deficiency insomnia. Treats fatigue-related sleep issues, weak constitution from grief. Supports overall energy for natural sleep. Harmonizes digestion affecting sleep quality.",He-Sea point of Stomach. 0.5-1.5 cun perpendicular. 2024 meta-analysis: 4th most frequent insomnia point. Network topology shows ST36 as core point. Tonification strengthens body's ability to maintain sleep. Can use moxa.
BL-15 (Xinshu 心俞 Heart Shu),1.5 cun lateral to lower border of T5 spinous process,"Tonifies and regulates Heart, calms Shen, nourishes Heart Blood and Yin","Back-Shu point directly influences Heart organ. Treats all Heart-related insomnia: palpitations, anxiety, emotional disturbance. Powerfully calms Shen. Essential for grief affecting Heart-Spirit.",Back-Shu point of Heart. 0.5-0.8 cun oblique toward spine. Direct effect on Heart organ. Often combined with HT7 (Front-Back combination). Effective for chronic emotional insomnia. Can use cupping or moxa.
BL-23 (Shenshu 肾俞 Kidney Shu),1.5 cun lateral to lower border of L2 spinous process (at level of umbilicus),"Tonifies Kidneys, strengthens lower back, nourishes essence, benefits bones","Back-Shu point for Kidney. Critical for chronic grief insomnia depleting Kidney essence. Treats fear-based insomnia, nighttime urination disrupting sleep, deep fatigue. Strengthens constitutional foundation.",Back-Shu point of Kidney. 0.5-1.0 cun perpendicular or oblique. 2024 review: 10th most common insomnia point. Moxa highly effective. Essential for elderly or chronic insomnia from deficiency. Treats root of sleep regulation.
GV-24 (Shenting 神庭 Spirit Court),"0.5 cun above anterior hairline, directly above nose on midline","Calms Shen, clears mind, benefits brain, treats mental disorders","Excellent for mental-emotional insomnia. Treats racing thoughts, anxiety, fear preventing sleep. Directly affects frontal cortex. Evidence-based for PTSD-related sleep issues. Combines well with Yintang.",Du Mai point. 0.3-0.5 cun horizontal insertion along scalp. High frequency in PTSD/anxiety studies. Modulates cognitive function and emotional regulation. Calms overactive mind for sleep onset.
