Grief Symptom,Tongue Signs,Pulse Signs,TCM Pattern,Mechanism/Notes
"Sadness, tearfulness, feeling like crying","Pale tongue (overall or front 1/3 area), thin coating, possibly dry","Weak, thin, empty pulse in right cun position (Lung)",Lung Qi Deficiency,Lung houses Po (corporeal soul) and governs grief emotion. Front third of tongue = Lung/Heart area. Right cun pulse = Lung position.
"Fatigue, low energy, weakness","Pale, possibly swollen tongue body, thin white coating","Weak, deficient pulse overall, especially right cun (Lung) and right guan (Spleen)",Lung-Spleen Qi Deficiency,"Grief depletes Lung Qi, which fails to support Spleen. Pale = Qi/Blood deficiency. Weak pulse at depth = interior deficiency."
"Shallow breathing, chest tightness","Pale or normal body, thin coating, may have slight purple tinge indicating stagnation","Tight or slightly wiry pulse in right cun (Lung), may be weak",Lung Qi Deficiency with constraint,Lung unable to descend and disperse Qi. Tight pulse = obstruction/pain. Front 1/3 tongue corresponds to chest/upper jiao.
"Weak voice, low speaking volume","Pale tongue, especially front third, scanty coating","Weak, thin pulse in right cun (Lung), lacks force",Lung Qi Deficiency,Lung governs voice and speech. Pale tip/front = Heart-Lung weakness. Weak cun pulse = upper jiao Qi deficiency.
"Frequent colds, lowered immunity","Pale tongue overall, thin white coating","Floating but weak pulse in right cun (Lung), lacks root",Wei Qi Deficiency (Lung Qi deficiency),"Lung produces Wei Qi. Floating pulse normally indicates exterior, but weak = deficiency allowing invasion. Spontaneous sweating may accompany."
Spontaneous daytime sweating,"Pale, moist tongue with thin coating","Floating weak pulse in right cun, empty quality",Lung Qi Deficiency - Wei Qi not consolidating exterior,Wei Qi fails to secure exterior. Empty pulse = Qi/Yang deficiency. Moisture on tongue = fluids not properly regulated.
"Palpitations, rapid heartbeat","Red tip (if Heart Fire) OR pale tip (if Heart Qi deficiency), possible trembling",Rapid pulse in left cun (Heart) - if excess; or weak rapid if deficiency,Heart Qi Deficiency or Heart-Fire disturbing Shen,Tongue tip = Heart. Red tip = heat/fire. Pale tip = deficiency. Left cun = Heart position. Rapid = heat or anxiety affecting Heart.
"Insomnia, difficulty falling asleep",Red tip with scanty coating (Yin def) OR pale with normal coating (Qi def),"Thin, rapid pulse in left cun (Heart) if Yin def; weak pulse if Qi def",Heart-Yin Deficiency or Heart-Lung Qi Deficiency,Shen not rooted. Red tip + no coating = Yin deficiency heat. Pale = Qi deficiency unable to nourish Shen. Thin rapid = Yin def.
"Anxiety, restlessness, feeling on edge","Red tongue tip, may have red points, possible heart area cracks","Wiry and rapid pulse in left cun (Heart), may be thin",Heart-Fire or Shen disturbance,"Grief transforms to agitation. Red tip = Heart Fire. Cracks in center = Heart Yin damage. Wiry = constraint, rapid = heat."
"Poor memory, mental fog, confusion","Pale tongue body, swollen, possible teeth marks, thin coating",Weak pulse in left cun (Heart) and right guan (Spleen),Heart-Spleen Deficiency,"Heart houses Shen (cognition), Spleen houses Yi (thought). Both depleted. Swollen with teeth marks = Spleen Qi deficiency with dampness."
