Question,Answer,TCM Acupuncture Points,Herbal Pharmacopeia
What causes depression in teenagers from a TCM perspective?,"In TCM, teenage depression is often caused by Liver Qi stagnation, Heart Blood deficiency, Spleen Qi deficiency, or Kidney essence depletion. Emotional stress, academic pressure, and hormonal changes can lead to imbalanced organ systems and blocked energy flow.","HT7 (Shenmen), LR3 (Taichong), PC6 (Neiguan), GV20 (Baihui), SP6 (Sanyinjiao), CV17 (Shanzhong)",Xiao Yao San (Free and Easy Wanderer) - Chinese Pharmacopoeia 2020; Chaihu Shugan San (Bupleurum Liver-Soothing Powder) - Chinese Pharmacopoeia 2020
How does TCM view anxiety in adolescents?,"TCM sees anxiety as primarily related to Heart and Gallbladder disharmony, Phlegm-Heat disturbing the Heart, or Kidney Yin deficiency with Empty Fire. These patterns create restlessness, fear, and inability to calm the mind.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), GB21 (Jianjing), ST36 (Zusanli), Yintang (Extra)","Suanzaoren Tang (Sour Jujube Seed Decoction) - Chinese Pharmacopoeia 2020; Ganmai Dazao Tang (Licorice, Wheat, and Jujube Decoction) - Chinese Pharmacopoeia 2020"
What TCM patterns are associated with suicidal thoughts?,"Suicidal ideation in TCM is often linked to severe Liver Qi stagnation transforming into Fire, Heart-Kidney disharmony, Phlegm-Fire harassing the Heart, or extreme Blood stasis. These create intense emotional turbulence and loss of will to live.","HT7 (Shenmen), GV20 (Baihui), PC6 (Neiguan), CV17 (Shanzhong), LR3 (Taichong), GV26 (Renzhong), KI1 (Yongquan)","Chaihu Jia Longgu Muli Tang (Bupleurum Plus Dragon Bone and Oyster Shell) - Chinese Pharmacopoeia 2020; Modified Xiao Yao San with Long Gu, Mu Li, Zhen Zhu Mu (calming minerals) - Chinese Pharmacopoeia 2020"
Can acupuncture help with teenage insomnia related to depression?,"Yes, acupuncture can effectively treat insomnia by calming the Shen (Spirit), nourishing Heart Blood, and regulating Yin-Yang balance. It helps restore natural sleep patterns without sedative side effects.","HT7 (Shenmen), Anmian (Extra point behind ear), SP6 (Sanyinjiao), GV20 (Baihui), Yintang (Extra point), PC6 (Neiguan), BL62 (Shenmai)",Suanzaoren Tang (Sour Jujube Seed Decoction) - Chinese Pharmacopoeia 2020; Tianwang Buxin Dan (Emperor of Heaven's Special Pill to Tonify the Heart) - Chinese Pharmacopoeia 2020
How long does TCM treatment take to show results for depression?,"Most teenagers notice improvement within 4-6 weeks of consistent treatment. Acute symptoms may improve sooner (1-2 weeks), while deeper constitutional changes require 3-6 months of regular acupuncture and herbal medicine.","HT7 (Shenmen), PC6 (Neiguan), LR3 (Taichong), ST36 (Zusanli), CV12 (Zhongwan), BL15 (Xinshu), BL20 (Pishu)",Individualized formula based on pattern diagnosis - commonly Xiao Yao San variations (Chinese Pharmacopoeia 2020) or Gui Pi Tang (Restore the Spleen Decoction) - Chinese Pharmacopoeia 2020
What helps teenage panic attacks in TCM?,"Panic attacks are treated by calming the Shen, subduing Liver Yang rising, and clearing Phlegm-Fire. Points that open the chest and regulate Heart Qi provide immediate relief.","PC6 (Neiguan), HT7 (Shenmen), CV17 (Shanzhong), LI4 (Hegu), GV20 (Baihui), LR3 (Taichong), ST40 (Fenglong)",Wendan Tang (Warm the Gallbladder Decoction) - Chinese Pharmacopoeia 2020; Banxia Houpu Tang (Pinellia and Magnolia Bark Decoction) - Chinese Pharmacopoeia 2020
How does TCM address self-harm behaviors?,"Self-harm is viewed as extreme Liver Qi stagnation with Blood stasis, combined with Heart-Shen disturbance. Treatment focuses on moving Qi and Blood, calming the mind, and restoring emotional balance.","HT7 (Shenmen), PC6 (Neiguan), LR3 (Taichong), SP10 (Xuehai - Blood Sea), GV20 (Baihui), LR8 (Ququan), BL17 (Geshu - Diaphragm Shu)",Chaihu Shugan San (Bupleurum Liver-Soothing Powder) - Chinese Pharmacopoeia 2020; Xuefu Zhuyu Tang (Blood Palace Stasis-Removing Decoction) - Chinese Pharmacopoeia 2020
What points help with emotional numbness in depressed teens?,"Emotional numbness indicates severe Heart Blood and Spleen Qi deficiency. Treatment nourishes Blood, tonifies Qi, and awakens the Shen to restore emotional capacity.","HT7 (Shenmen), ST36 (Zusanli), SP6 (Sanyinjiao), CV6 (Qihai), CV17 (Shanzhong), BL15 (Xinshu), BL20 (Pishu)","Gui Pi Tang (Restore the Spleen Decoction) - Chinese Pharmacopoeia 2020; Ganmai Dazao Tang (Licorice, Wheat, and Jujube Decoction) with additions - Chinese Pharmacopoeia 2020"
How can TCM help with anger and irritability in teenagers?,"Anger and irritability stem from Liver Qi stagnation transforming to Fire, or Liver Yang rising. Treatment soothes the Liver, clears Heat, and descends Yang.","LR3 (Taichong), LR2 (Xingjian - Walk Between), GB34 (Yanglingquan), PC6 (Neiguan), GV20 (Baihui), LI4 (Hegu), LR14 (Qimen)",Chaihu Shugan San (Bupleurum Liver-Soothing Powder) - Chinese Pharmacopoeia 2020; Longdan Xiegan Tang (Gentian Drain the Liver Decoction) - Chinese Pharmacopoeia 2020
What helps with social anxiety in adolescents?,"Social anxiety relates to Heart-Gallbladder Qi deficiency with Phlegm obstruction. Treatment tonifies Qi, transforms Phlegm, and calms the Shen to build confidence.","HT7 (Shenmen), PC6 (Neiguan), CV17 (Shanzhong), ST40 (Fenglong), GB34 (Yanglingquan), GV20 (Baihui), CV12 (Zhongwan)",Wendan Tang (Warm the Gallbladder Decoction) - Chinese Pharmacopoeia 2020; Ding Zhi Wan (Settle the Emotions Pill) - Chinese Pharmacopoeia 2020
Is it safe to combine TCM with psychiatric medications?,"Yes, TCM can safely complement psychiatric medications under proper supervision. Herbal formulas can reduce side effects and enhance therapeutic effects, but require monitoring by qualified practitioners familiar with herb-drug interactions.","HT7 (Shenmen), PC6 (Neiguan), ST36 (Zusanli), LR3 (Taichong), GV20 (Baihui), SP6 (Sanyinjiao)","Modified formulas avoiding herb-drug interactions - commonly Xiao Yao San (Chinese Pharmacopoeia 2020), Chaihu Shugan San (Chinese Pharmacopoeia 2020). AVOID: St. John's Wort with SSRIs, Ginseng with stimulants"
What dietary therapy helps teenage depression?,"TCM recommends warm, nourishing foods that tonify Qi and Blood: whole grains, dark leafy greens, red dates, longan, walnuts, and lean proteins. Avoid cold, raw foods and excessive sweets that damage Spleen.","HT7 (Shenmen), SP6 (Sanyinjiao), ST36 (Zusanli), CV12 (Zhongwan), BL20 (Pishu), BL21 (Weishu)",Gui Pi Tang (Restore the Spleen Decoction) as herbal supplement - Chinese Pharmacopoeia 2020; Red date and longan tea; Eight Treasure Tea (Ba Bao Cha)
How often should teenagers receive acupuncture for mental health?,For acute crisis: 2-3 times weekly. For moderate symptoms: 1-2 times weekly. For maintenance: once weekly or biweekly. Treatment frequency decreases as symptoms improve over 8-12 week protocols.,"Individualized point selection based on presenting symptoms - Core points: HT7, PC6, LR3, ST36, GV20, Yintang","Herbal formula taken daily between acupuncture sessions - dosage adjusted based on age, weight, and pattern (Chinese Pharmacopoeia 2020 guidelines for adolescent dosing)"
Can teenagers use acupressure at home for anxiety?,"Yes, teenagers can safely use acupressure on key calming points. Gentle pressure for 1-2 minutes on each point, several times daily, helps manage anxiety between treatments.","HT7 (Shenmen), PC6 (Neiguan - 2 cun above wrist crease), Yintang (Extra point between eyebrows), GV20 (Baihui at crown), LI4 (Hegu)","Herbal teas: Chamomile, Passionflower; TCM formulas: Xiao Yao Wan in pill form (Chinese Pharmacopoeia 2020), An Shen Bu Xin Wan (Calm Spirit Supplement Heart Pill)"
What role does Qi Gong play in treating teenage mental illness?,"Qi Gong exercises regulate Qi flow, calm the mind, and strengthen body-spirit connection. Regular practice reduces anxiety, improves mood, and enhances treatment outcomes through breath work and gentle movement.","Practice with focus on CV17 (Shanzhong), GV20 (Baihui), LR3 (Taichong) activation, Laogong (PC8) in palms, Yongquan (KI1) in feet",Supportive herbs during practice: Xiao Yao San for mood regulation (Chinese Pharmacopoeia 2020); Bu Zhong Yi Qi Tang for energy if deficient
What is Liver Qi Stagnation and how does it cause depression?,"Liver Qi Stagnation occurs when stress blocks the smooth flow of Qi, causing emotional frustration, mood swings, chest tightness, sighing, and irritability - key features of teenage depression.","LR3 (Taichong), LR14 (Qimen - Liver Alarm), PC6 (Neiguan), CV17 (Shanzhong), GB34 (Yanglingquan), LI4 (Hegu), GV20 (Baihui)",Xiao Yao San (Free and Easy Wanderer) - Chinese Pharmacopoeia 2020; Chaihu Shugan San (Bupleurum Liver-Soothing Powder) - Chinese Pharmacopoeia 2020
How does Heart Blood Deficiency manifest in depressed teens?,"Heart Blood Deficiency causes palpitations, poor memory, insomnia, pale complexion, dizziness, anxiety, and feeling emotionally empty - common in teens with chronic stress or poor nutrition.","HT7 (Shenmen), BL15 (Xinshu - Heart Shu), SP6 (Sanyinjiao), ST36 (Zusanli), CV14 (Juque), BL17 (Geshu), BL20 (Pishu)",Gui Pi Tang (Restore the Spleen Decoction) - Chinese Pharmacopoeia 2020; Tianwang Buxin Dan (Emperor of Heaven's Special Pill) - Chinese Pharmacopoeia 2020
What is Phlegm-Fire Harassing the Heart?,"This pattern combines mental agitation, racing thoughts, insomnia, restlessness, red face, and sometimes aggressive behavior - seen in manic episodes or severe anxiety with agitation.","PC5 (Jianshi), PC6 (Neiguan), ST40 (Fenglong - Phlegm command point), GV20 (Baihui), CV12 (Zhongwan), HT8 (Shaofu), LI11 (Quchi)",Wendan Tang (Warm the Gallbladder Decoction) - Chinese Pharmacopoeia 2020; Huanglian Wendan Tang (Coptis and Gallbladder-Warming Decoction) - Chinese Pharmacopoeia 2020
How does Kidney Yin Deficiency contribute to anxiety?,"Kidney Yin Deficiency creates Empty Heat rising, causing night sweats, heat in palms/feet, restless anxiety, insomnia, and fear - often seen in chronic stress and adolescent development.","KI3 (Taixi), KI6 (Zhaohai), HT7 (Shenmen), SP6 (Sanyinjiao), CV4 (Guanyuan), BL23 (Shenshu), KI2 (Rangu)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia Pill) - Chinese Pharmacopoeia 2020; Tianwang Buxin Dan (Emperor of Heaven's Special Pill) - Chinese Pharmacopoeia 2020
What is Heart-Kidney Disharmony in teenage mental illness?,"Heart-Kidney Disharmony involves poor communication between Fire (Heart) and Water (Kidney), causing severe insomnia, anxiety, palpitations, emotional instability, and cognitive issues.","HT7 (Shenmen), KI3 (Taixi), KI6 (Zhaohai), BL15 (Xinshu), BL23 (Shenshu), CV4 (Guanyuan), HT6 (Yinxi)",Jiaotai Wan (Interaction Pill) - Chinese Pharmacopoeia 2020; Huanglian E Jiao Tang (Coptis and Ass-Hide Gelatin Decoction) - Chinese Pharmacopoeia 2020
What immediate acupuncture treatment helps in suicide crisis?,"In acute crisis, use calming points to ground the patient and restore mental clarity. Treatment should ALWAYS be combined with immediate professional mental health intervention and emergency services.","GV20 (Baihui), GV26 (Renzhong/Shuigou - revival point), HT7 (Shenmen), PC6 (Neiguan), Yintang (Extra point), KI1 (Yongquan - grounding), CV17 (Shanzhong)",Immediate crisis: Ganmai Dazao Tang (Chinese Pharmacopoeia 2020). Follow-up: Chaihu Jia Longgu Muli Tang (Bupleurum Plus Dragon Bone and Oyster Shell) - Chinese Pharmacopoeia 2020
How should parents monitor teenagers during TCM treatment?,"Parents should watch for mood changes, sleep patterns, eating habits, social withdrawal, suicidal statements, self-harm signs, and school performance. Maintain open communication and coordinate with mental health professionals.","Regular treatment protocol: HT7 (Shenmen), PC6 (Neiguan), LR3 (Taichong), ST36 (Zusanli), GV20 (Baihui), SP6 (Sanyinjiao)",Consistent herbal formula compliance - commonly Xiao Yao San or Gan Mai Da Zao Tang (Chinese Pharmacopoeia 2020); Parent education on proper administration
When should TCM treatment be combined with Western psychiatry?,"Severe depression, active suicidal ideation, psychosis, bipolar disorder, or acute crisis require integrated care. TCM complements but does NOT replace psychiatric medication in acute/severe situations.","Coordinate point selection with medication effects: HT7, PC6, ST36, LR3, GV20, Yintang - adjust frequency based on psychiatric stability",Modified herbal formulas avoiding interactions (Chinese Pharmacopoeia 2020) - reduce dosages as appropriate; coordinate with psychiatrist; avoid strong sedating herbs with psychiatric meds
What signs indicate TCM treatment is working?,"Positive signs include improved sleep quality (falling asleep faster, fewer awakenings), better appetite, increased energy, more stable moods, reduced anxiety episodes, better stress coping, and renewed interest in activities.","Continue established protocol: HT7, PC6, LR3, ST36, SP6, GV20 - may reduce frequency as improvement stabilizes",Continue successful herbal formula (Chinese Pharmacopoeia 2020) - may adjust dosage or modify slightly based on symptom resolution; taper gradually
How to handle a teenager refusing TCM treatment?,"Build trust through education about TCM, involve them in treatment decisions, start with non-invasive approaches like acupressure or herbal tea, and address needle fears. Never force treatment.","Start gentle: Ear seeds, Yintang, HT7, PC6 with minimal needles (3-4 points only); Use laser acupuncture or acupressure initially","Pleasant-tasting formulas: Xiao Yao Wan pills (Chinese Pharmacopoeia 2020), Gan Mai Da Zao decoction sweetened with honey, herbal teas"
How does TCM treat teenage eating disorders with depression?,"Eating disorders involve Spleen-Stomach disharmony, Liver Qi stagnation, and Heart-Shen disturbance. Treatment regulates digestion, moves Liver Qi, calms obsessive thoughts, and rebuilds relationship with food.","HT7 (Shenmen), PC6 (Neiguan), ST36 (Zusanli), SP6 (Sanyinjiao), CV12 (Zhongwan), LR3 (Taichong), CV17 (Shanzhong), PC5 (Jianshi)",Modified Xiao Yao San (Chinese Pharmacopoeia 2020); Gui Pi Tang for nourishment; Banxia Houpu Tang for throat obstruction sensation (globus hystericus)
What helps ADHD symptoms combined with depression?,"ADHD with depression often shows Kidney essence deficiency, Heart-Spleen deficiency, and Liver Wind. Treatment nourishes essence, calms Shen, anchors Yang, and improves focus.","GV20 (Baihui), Sishencong (Extra points - Four Alert Spirit), HT7 (Shenmen), KI3 (Taixi), ST36 (Zusanli), BL23 (Shenshu), PC6 (Neiguan)",Kong Sheng Zhen Zhong Dan (Confucius Pillow Elixir) - specialized formula; Modified Gui Pi Tang (Restore the Spleen) - Chinese Pharmacopoeia 2020
How is teenage trauma-related depression treated?,"Trauma causes Qi and Blood stagnation with Heart-Shen injury. Treatment moves stagnation, calms the spirit, rebuilds emotional resilience gradually, and processes stored trauma somatically.","HT7 (Shenmen), PC6 (Neiguan), LR3 (Taichong), CV17 (Shanzhong), GV20 (Baihui), BL17 (Geshu), SP10 (Xuehai), LR14 (Qimen)",Chaihu Shugan San (Chinese Pharmacopoeia 2020); Xuefu Zhuyu Tang (Blood Palace Stasis-Removing); Gan Mai Da Zao Tang for emotional stabilization
What TCM approach helps teenage OCD with anxiety?,"OCD involves Phlegm-Heat harassing the Heart and Liver Qi stagnation. Treatment clears Phlegm, cools Heat, soothes Liver, calms obsessive thinking, and breaks compulsive patterns.","HT7 (Shenmen), PC5 (Jianshi), PC6 (Neiguan), ST40 (Fenglong), LR3 (Taichong), GV20 (Baihui), HT8 (Shaofu), LI11 (Quchi)","Wendan Tang (Warm the Gallbladder) modified with Huang Lian (Coptis), Long Gu (Dragon Bone), and Mu Li (Oyster Shell) - Chinese Pharmacopoeia 2020"
