Allergen_Category,Allergen_Name,Western_Medical_View,TCM_Perspective,Common_Symptoms,Severity
Food Allergy,Peanuts,"IgE-mediated, can cause anaphylaxis, common in children","Warming, tonifies spleen and lung; allergy suggests spleen-lung qi deficiency with wei qi weakness","Hives, swelling, difficulty breathing, anaphylaxis",Potentially life-threatening
Food Allergy,"Tree nuts (almonds, walnuts, cashews)","IgE-mediated, cross-reactivity common, lifelong allergy","Moistening, tonify kidney and lung; allergy indicates kidney-lung yin deficiency","Oral swelling, hives, respiratory distress, anaphylaxis",Potentially life-threatening
Food Allergy,Cow's milk/dairy,"IgE or non-IgE mediated, different from lactose intolerance","Cooling, creates dampness; allergy reflects spleen qi deficiency unable to transform phlegm-damp","Hives, digestive upset, eczema, respiratory issues",Mild to severe
Food Allergy,Eggs,"Common in children, often outgrown, mainly egg white proteins","Neutral, nourishes yin and blood; allergy suggests blood deficiency with heat","Skin rashes, hives, digestive issues, respiratory symptoms",Mild to moderate
Food Allergy,Soy/soybeans,"Common in infants, often outgrown, cross-reactivity with legumes","Cooling, tonifies spleen; allergy indicates spleen qi deficiency with dampness","Hives, itching, digestive upset, eczema",Mild to moderate
Food Allergy,Wheat/gluten,"Different from celiac disease, IgE-mediated wheat allergy","Cooling, nourishes heart; allergy reflects spleen-dampness with possible heart-heat","Hives, digestive issues, respiratory problems, anaphylaxis",Mild to potentially life-threatening
Food Allergy,Fish (finned fish),"IgE-mediated, usually lifelong, species-specific or cross-reactive","Neutral to cool, nourishes yin and blood; allergy indicates blood-heat or dampness","Hives, swelling, respiratory distress, anaphylaxis",Potentially life-threatening
Food Allergy,"Shellfish (shrimp, crab, lobster)","IgE-mediated, common in adults, usually lifelong","Warming to hot, tonifies kidney yang; allergy suggests damp-heat or kidney imbalance","Hives, swelling, GI symptoms, anaphylaxis",Potentially life-threatening
Food Allergy,Sesame seeds,"Increasingly recognized major allergen, can cause anaphylaxis","Neutral, moistens intestines, nourishes liver-kidney; allergy indicates yin deficiency heat","Hives, respiratory issues, anaphylaxis",Potentially life-threatening
Food Allergy,Corn/maize,"Less common but increasing, can be in many processed foods","Neutral, tonifies middle jiao; allergy reflects spleen-stomach qi deficiency","Digestive upset, hives, eczema",Mild to moderate
Food Allergy,Mustard,"Common in Europe, can cause severe reactions","Warm-hot, disperses cold, moves qi; allergy indicates heat or qi stagnation","Oral swelling, hives, anaphylaxis",Mild to severe
Food Allergy,Celery,"Common in Europe, cross-reactivity with pollen","Cool, clears heat, calms liver; allergy suggests wind-heat or liver yang rising","Oral allergy syndrome, swelling, anaphylaxis",Mild to severe
Food Allergy,Strawberries,"Histamine-releasing food, can cause pseudo-allergic reactions","Cool, moistens lung, clears heat; allergy indicates heat in blood or lungs","Hives, itching, oral swelling",Mild
Food Allergy,Tomatoes,"Histamine-rich, cross-reactivity with latex and pollen","Cool, generates fluids, clears heat; allergy indicates heat or dampness","Oral itching, hives, digestive upset",Mild
Food Allergy,Chocolate/cocoa,"May be other components (milk, nuts), histamine content","Warm, activates blood, stimulates heart; allergy suggests heart-heat or blood stagnation","Headaches, hives, digestive issues",Mild
Food Allergy,Kiwi fruit,"Cross-reactivity with latex, birch pollen, actinidin enzyme","Cold, clears heat, generates fluids; allergy indicates spleen yang deficiency or cold","Oral allergy syndrome, tongue swelling, GI upset",Mild to moderate
Food Allergy,Banana,"Latex-fruit syndrome, cross-reactivity common","Cold, clears heat, moistens intestines; allergy reflects spleen-stomach cold or dampness","Oral itching, hives, GI symptoms",Mild to moderate
Food Allergy,Avocado,"Latex-fruit syndrome, histamine content","Neutral, nourishes yin, moistens dryness; allergy indicates damp-phlegm or weak spleen","Oral allergy, GI upset, hives",Mild
Food Allergy,"Citrus fruits (oranges, lemons)","Histamine-releasing, oral allergy syndrome common","Cool to cold, generates fluids; allergy suggests spleen dampness or cold","Oral irritation, hives, digestive upset",Mild
Environmental Allergy,"Grass pollen (Timothy, Bermuda)","Seasonal allergic rhinitis, IgE-mediated, spring/summer","External wind invasion, wei qi deficiency, lung and spleen weakness","Sneezing, runny nose, itchy eyes, congestion",Mild to moderate
Environmental Allergy,"Tree pollen (birch, oak, cedar)","Spring allergies, cross-reactivity with foods (oral allergy syndrome)","Wind-heat pattern, lung and liver involvement, wei qi deficiency","Rhinitis, conjunctivitis, asthma exacerbation",Mild to moderate
Environmental Allergy,Ragweed pollen,"Fall allergies, major cause of hay fever in North America","Wind-heat invading lung and spleen, defensive qi weakness","Sneezing, congestion, itchy throat and eyes",Mild to moderate
Environmental Allergy,Dust mites,"Perennial allergen, major asthma trigger, in bedding and carpets","Deficiency of lung and kidney, wei qi weakness, phlegm accumulation","Asthma, rhinitis, eczema, chronic congestion",Mild to severe
Environmental Allergy,Cat dander,"Fel d 1 protein, airborne, can trigger asthma and rhinitis","External pathogen invasion, lung qi deficiency, wei qi weakness","Sneezing, congestion, asthma, hives, itchy eyes",Mild to severe
Environmental Allergy,Dog dander,"Can f 1 protein, varies by breed, perennial allergen","Lung and spleen qi deficiency, weak wei qi, wind invasion","Rhinitis, asthma, skin reactions",Mild to moderate
Environmental Allergy,"Mold spores (Aspergillus, Alternaria)","Indoor and outdoor allergen, damp environments, year-round","Dampness pathogen, spleen deficiency unable to transform damp, lung phlegm","Respiratory issues, asthma, sinus infections",Mild to severe
Environmental Allergy,Cockroach allergen,"Major inner-city asthma trigger, feces and body parts","Toxic heat and dampness, lung and spleen involvement","Asthma, rhinitis, skin rashes",Moderate to severe
Environmental Allergy,Horse dander,"Occupational allergen, cross-reactivity with cat allergen","Wind invasion, wei qi deficiency, lung qi weakness","Rhinitis, asthma, hives",Mild to moderate
Environmental Allergy,Rabbit dander,"Pet and laboratory allergen, urine proteins significant","Lung qi deficiency, weak wei qi allowing external invasion","Respiratory symptoms, conjunctivitis",Mild to moderate
Insect Allergy,Bee venom (honeybee),"IgE-mediated, venom immunotherapy available, can cause anaphylaxis","Hot toxin invasion, creates wind-heat, affects liver and blood","Local swelling, systemic hives, anaphylaxis",Potentially life-threatening
Insect Allergy,Wasp/yellow jacket venom,"Cross-reactivity with other Hymenoptera, anaphylaxis risk","Fire toxin, aggressive heat, disturbs heart and liver","Severe local reaction, systemic reactions, anaphylaxis",Potentially life-threatening
Insect Allergy,Hornet venom,"Similar to wasp venom, severe local reactions common","Intense heat toxin, wind-heat pattern, blood-level heat","Pain, swelling, systemic reactions",Potentially life-threatening
