Aspect,Details,Rationale/Notes
LOCATION - General,HT-7 (Shenmen 神门 Spirit Gate),Yuan-Source point and Shu-Stream point of Heart meridian
LOCATION - Anatomical,"Ulnar end of transverse wrist crease, in depression on radial side of flexor carpi ulnaris tendon",Between pisiform bone and ulnar bone
LOCATION - How to find,Ask patient to make fist; tendon of flexor carpi ulnaris will stand out. Point is in depression radial (thumb-side) to this tendon at wrist crease.,Clear landmark - easy to palpate
LOCATION - Depth of point,Superficial location - between skin and tendon/bone,Shallow needling required
NEEDLE SIZE - Length,25mm (1 cun) standard,Sufficient length for 0.3-0.5 cun insertion
NEEDLE SIZE - Gauge,0.25mm diameter (standard gauge) or 0.20mm (thin),Thin gauge appropriate for wrist point
NEEDLE SIZE - Type,"Stainless steel, disposable",Standard single-use acupuncture needle
DEPTH - Standard,0.3-0.5 cun perpendicular,Evidence-based depth from RCT protocols (Wu et al. 2020)
DEPTH - Shallow option,0.2-0.3 cun for sensitive patients,"Elderly, children, or very deficient patients"
DEPTH - Maximum,Never exceed 0.5 cun,Risk of ulnar nerve and ulnar artery damage if too deep
DEPTH - Sensation,Should feel slight resistance then ease as needle enters depression,Indicates proper depth between tendons
ANGLE - Standard,Perpendicular (90°) to skin surface,Most common method
ANGLE - Alternative,Oblique 10° toward elbow (following meridian),Traditional tonification approach - needle with Qi flow
ANGLE - To avoid,Never angle toward palm or deeply ulnar,Protects nerves and vessels
INSERTION - Preparation,"Clean area with alcohol swab, identify exact point with palpation",Ensure accurate location
INSERTION - Skin contact,"Touch skin with needle tip, guide tube or directly depending on preference",Establish contact before insertion
INSERTION - Entry,Quick tap through skin using guide tube OR slow penetration without tube,Both methods acceptable - practitioner preference
INSERTION - Speed,SLOW insertion after skin penetration,Reduces pain and allows tissue accommodation
INSERTION - Patient breathing,Insert as patient BREATHES OUT (for tonification),"Exhale = Yin phase, receptive to tonification"
INSERTION - Depth progression,"Advance slowly to 0.3 cun, pause, check for De Qi",Can stop at 0.3 if De Qi achieved
DE QI - Definition,"Arrival of Qi - compositional feeling of soreness, numbness, distension, heaviness",Essential for therapeutic effect
DE QI - Patient experience,"Dull ache, heaviness, warmth, tingling, or electrical sensation",Should NOT be sharp pain
DE QI - Practitioner experience,Feeling of 'grasp' or 'fish taking bait' - needle feels held by tissue,Tactile feedback of Qi arrival
DE QI - Propagation,Sensation may travel up arm along Heart meridian toward chest/heart,Indicates strong channel connection
DE QI - Intensity for insomnia,MILD to moderate - gentle De Qi sufficient,Strong stimulation can be counterproductive for sleep
DE QI - If not achieved,"Rotate needle gently, lift-thrust slightly, or redirect angle slightly",Adjust technique to obtain Qi
TONIFICATION - When to use,"Qi/Blood/Yin deficiency, pale tongue, weak pulse, fatigue, most chronic grief insomnia",95% of grief-related insomnia cases
TONIFICATION - Thrust-lift technique,"SLOW thrust (downward), FAST lift (upward)",Tonification rhythm
TONIFICATION - Rotation direction,Clockwise rotation (180° turn),Reinforcing method
TONIFICATION - Rotation speed,"Slow, gentle rotation",Avoid aggressive manipulation
TONIFICATION - Number of manipulations,2-3 gentle rotations or lift-thrust cycles,Minimal manipulation for insomnia
TONIFICATION - Patient breathing,Manipulate as patient INHALES,"Inhale = Yang phase, tonifying"
TONIFICATION - Needle angle during manipulation,Angle needle slightly AGAINST Qi flow (toward hand) during thrust,Traditional tonification technique
TONIFICATION - Practitioner intention,"Visualize bringing Qi TO the point, nourishing and calming",Mind-intention (Yi) important in Chinese medicine
EVEN METHOD - When to use,"Mixed patterns, first treatment, uncertain diagnosis",Safe neutral approach
EVEN METHOD - Technique,"Balanced thrust and lift (same speed), or simply obtain De Qi without manipulation",No reinforcing or reducing
EVEN METHOD - Rotation,Bidirectional rotation (alternate clockwise and counter-clockwise) or no rotation,Neutral stimulation
SEDATION - When to use,"Excess heat, Liver Fire, agitation with strength (rare in grief)",<5% of grief cases
SEDATION - Thrust-lift technique,"FAST thrust (downward), SLOW lift (upward)",Opposite of tonification
SEDATION - Rotation direction,Counter-clockwise rotation,Reducing method
