Point Code,Point Name,English Name,Location Description,Primary Indication,Age Recommendations,Needling Depth,Technique,SAFETY WARNINGS,Hebrew Category
CV 8,Shenque,Spirit Gate Palace,Center of umbilicus (navel),"Colic, diarrhea, abdominal pain, digestive disorders",All ages (birth+),NO NEEDLING - NEVER INSERT NEEDLE,"Acupressure ONLY, gentle clockwise massage, or indirect moxa on salt/ginger",⛔ ABSOLUTE CONTRAINDICATION: Never needle CV 8 in any age. Acupressure or moxa only. Risk of peritonitis if needled.,עיכול - Digestion (Colic/Constipation)
CV 12,Zhongwan,Middle Epigastrium,"On midline, midway between navel and sternum base","Poor appetite, nausea, vomiting, epigastric pain, indigestion",Age 2+ for needling; acupressure for infants,Infant: acupressure only; Child 2-6: 0.2-0.3 inch; Child 6-12: 0.3-0.5 inch; Teen: 0.5-0.8 inch,"Perpendicular insertion, gentle technique, or acupressure with circular motion",⚠️ CAUTION: Shallow needling only. Avoid in infants under 2 years. Never needle deeply - organ damage risk.,עיכול - Digestion
ST 36,Zusanli,Leg Three Miles,"3 cun below knee, 1 finger width lateral to tibia crest","General tonic, digestive disorders, constipation, diarrhea, immune support, fatigue",Age 2+ for full use; gentle stimulation for younger,Infant: acupressure; Child 2-6: 0.3-0.4 inch; Child 6-12: 0.5-0.7 inch; Teen: 0.7-1 inch,"Perpendicular or slightly oblique insertion; can use moxa, acupressure, or laser",✓ SAFE POINT for all ages when properly used. One of safest pediatric points. Minimum age 2 years for immune strengthening protocols.,עיכול + חיזוק חיסוני - Digestion + Immune
SP 6,Sanyinjiao,Three Yin Intersection,"3 cun above medial malleolus, posterior to tibia border","Digestive disorders, insomnia, anxiety, bed-wetting, general tonic",Age 3+; avoid in infants and toddlers,Child 3-6: 0.2-0.4 inch; Child 6-12: 0.4-0.6 inch; Teen: 0.6-0.8 inch,"Perpendicular insertion, gentle manipulation",⚠️ CAUTION: Avoid needling in children under 3 years. Traditional contraindication during pregnancy (not relevant for pediatrics but note for practitioners).,עיכול - Digestion
LU 1,Zhongfu,Central Treasury,"6 cun lateral to midline, first intercostal space, below clavicle","Asthma, cough, chest congestion, breathing difficulty, chronic respiratory issues",Age 4+ for needling; acupressure for younger,Child 4-8: 0.2-0.3 inch OBLIQUE; Child 8-12: 0.3-0.5 inch OBLIQUE; Teen: 0.4-0.6 inch OBLIQUE,OBLIQUE insertion medially and downward - NEVER perpendicular. Can use acupressure or laser,⚠️ HIGH RISK: Pneumothorax risk if needled perpendicularly. Always oblique insertion. Prefer non-needle methods in young children.,נשימה - Respiratory (Asthma/Cold)
LU 2,Yunmen,Cloud Gate,"Below clavicle, 6 cun lateral to midline, in depression","Cough, asthma, chest pain, shoulder pain, breathing issues",Age 6+ for needling; acupressure for younger,Child 6-12: 0.2-0.3 inch OBLIQUE; Teen: 0.3-0.5 inch OBLIQUE,OBLIQUE insertion downward and medially - NEVER perpendicular,⚠️ HIGH RISK: Pneumothorax danger. Oblique needling mandatory. Shallow depth only. Prefer acupressure in children under 8.,נשימה - Respiratory
CV 17,Shanzhong,Chest Center,"On midline of sternum, level with 4th intercostal space, between nipples","Asthma, cough, chest congestion, anxiety, breast milk insufficiency (mothers)",Age 4+ for needling; acupressure for younger,Child 4-8: 0.15-0.25 inch; Child 8-12: 0.25-0.4 inch; Teen: 0.3-0.5 inch,Subcutaneous oblique insertion downward or horizontal threading. Acupressure safe for all ages,⚠️ CAUTION: Shallow subcutaneous needling only. Risk of puncturing pleura if too deep. Gentle technique essential.,נשימה - Respiratory
BL 13,Feishu,Lung Shu,1.5 cun lateral to lower border of T3 spinous process,"Asthma, cough, chronic lung disease, respiratory support",Age 6+ for minimal needling; prefer non-needle methods,Child 6-12: 0.15-0.25 inch PERPENDICULAR; Teen: 0.25-0.4 inch PERPENDICULAR,"Perpendicular insertion, MINIMAL depth 2-3mm maximum for young children","⚠️ HIGH RISK: Pneumothorax danger. MINIMAL needling only in children - depth 2-3mm maximum. Prefer moxa, acupressure, or laser therapy. Never needle deeply.",נשימה - Respiratory
HT 7,Shenmen,Spirit Gate,"Ulnar side of wrist crease, in depression radial to flexor carpi ulnaris tendon","Insomnia, anxiety, fear, palpitations, emotional disturbance, ADHD symptoms",All ages; very safe point,Infant: acupressure; Child 3-8: 0.15-0.25 inch; Child 8-12: 0.25-0.4 inch; Teen: 0.3-0.5 inch,Perpendicular insertion or acupressure with gentle pressure for 2-3 minutes,✓ EXTREMELY SAFE: One of safest calming points for all pediatric ages. Can use acupressure from birth. Teach parents for home use.,שינה וחרדה - Sleep & Anxiety
Yintang,Yintang (Extra),Hall of Impression,Midpoint between medial ends of eyebrows (glabella),"Insomnia, anxiety, headache, nasal congestion, calming children, reduce fear",All ages; very safe,Child 3-8: 0.1-0.2 inch horizontal; Child 8-12: 0.15-0.3 inch horizontal; Teen: 0.2-0.4 inch horizontal,"Horizontal subcutaneous threading toward hairline, or acupressure (pinching gently)",✓ VERY SAFE: Excellent calming point. Acupressure very effective and safe from infancy. Parents can use at home during tantrums or before sleep.,שינה וחרדה - Sleep & Anxiety
PC 6,Neiguan,Inner Gate,"2 cun above wrist crease, between tendons of palmaris longus and flexor carpi radialis","Nausea, vomiting (especially chemo-induced), anxiety, chest discomfort, motion sickness",All ages; very safe and effective,Infant: acupressure; Child 3-8: 0.2-0.3 inch; Child 8-12: 0.3-0.5 inch; Teen: 0.5-0.7 inch,"Perpendicular insertion between tendons, or acupressure with firm pressure",✓ SAFE: Extremely effective for nausea in pediatric oncology. Acupressure wristbands can be used continuously. Teach parents technique.,שינה וחרדה - Sleep & Anxiety
Ear Shenmen,Ear Shenmen,Ear Spirit Gate,"In triangular fossa of ear, at apex","Anxiety, insomnia, pain reduction, calming, ADHD support",Age 4+ for ear seeds; Age 8+ for needling,Ear seeds preferred for children; Teen: 0.1-0.15 inch if needling,Ear seeds (vaccaria) taped in place for 3-7 days; press 3-5 times daily. Minimal needling in teens only,✓ SAFE: Ear seeds are non-invasive and very safe for ages 4+. Teach child to press seeds when anxious. Replace weekly.,שינה וחרדה - Sleep & Anxiety
LI 4,Hegu,Union Valley,"On dorsum of hand, between 1st and 2nd metacarpal bones, at midpoint of 2nd metacarpal radial border","Immune support, pain relief, fever, cold/flu prevention, general tonic, headache",Age 2+ for immune use; acupressure safe from birth,Infant: acupressure; Child 2-6: 0.2-0.3 inch; Child 6-12: 0.3-0.5 inch; Teen: 0.5-0.7 inch,"Perpendicular insertion toward 2nd metacarpal, or firm acupressure for 1-2 minutes",✓ SAFE: Excellent general point for children. One of most used pediatric points. Contraindication: avoid strong stimulation in pregnancy (for practitioners).,חיזוק חיסוני - Immune Strengthening
GV 20,Baihui,Hundred Convergences,"On midline of head, 7 cun above posterior hairline, at apex of skull","Developmental delays, focus/concentration, dizziness, headache, prolapse, memory, ADHD",Age 3+ (after fontanelle closure); check fontanelle before needling,Child 3-6: 0.1-0.2 inch horizontal; Child 6-12: 0.2-0.3 inch horizontal; Teen: 0.3-0.5 inch horizontal,"Horizontal subcutaneous threading, very gentle. Acupressure or tapping with tool (shonishin) safe for younger",⚠️ CRITICAL CHECK: NEVER needle if anterior fontanelle open (typically closes 12-18 months). Verify closure by palpation. Shallow horizontal needling only when safe.,התפתחות - Development
Sishencong,Sishencong (4 points),Four Alert Spirit,"Four points 1 cun anterior, posterior, left and right of GV 20","Brain development, cognitive function, focus, learning difficulties, developmental support",Age 3+ (after fontanelle closure),Child 3-6: 0.1-0.2 inch horizontal; Child 6-12: 0.2-0.3 inch horizontal; Teen: 0.3-0.4 inch horizontal,"Horizontal subcutaneous threading toward GV 20 from each of 4 directions, or acupressure",⚠️ IMPORTANT: Same fontanelle precautions as GV 20. Verify anterior fontanelle closed before needling. Can use gentle tapping or acupressure earlier.,התפתחות - Development
GENERAL,Age Guidelines,Overall Safety,N/A,General pediatric acupuncture safety by age,See warnings column,See individual points above,Always start with gentlest methods,"👶 0-2 years: Acupressure, shonishin, moxa primarily; avoid needling except emergency. 👧 2-4 years: Minimal needling, 2-4 points max, very fine needles. 👦 4-8 years: Gentle needling, 3-5 points, prefer laser/acupressure. 🧒 8-12 years: Modified adult technique, 4-6 points. 👨 12-18 years: Near-adult technique with sensitivity to privacy.",All Categories
TUINA,Abdominal Massage,Pediatric Tuina,Clockwise circular motion around navel,"Digestive disorders, colic, constipation, gas, abdominal pain",Birth to 12 years; excellent for infants,N/A - external massage only,"Gentle clockwise circular massage around navel, 50-100 circles, 2-3 times daily. Use oil or lotion. Can be done by parents",✓ VERY SAFE: Excellent alternative to needling in young children. Teach parents proper technique. Always clockwise direction. Gentle pressure appropriate to age.,עיכול - Digestion
MOXA,Indirect Moxibustion,Warming Therapy,"Various points, especially CV 8, ST 36, BL 20, BL 23","Digestive weakness, immune support, chronic cold conditions, fatigue",Age 6 months+; requires supervision,N/A - held 1-3 inches from skin,"Moxa on ginger slice, or stick moxa held 2-3 inches away. 3-5 minutes per point. Monitor skin closely",⚠️ BURN RISK: Never leave child unattended during moxa. Check skin temperature frequently. Remove immediately if too hot. Never use direct moxa on children. Parent must be present.,Multiple Categories
