Question,Answer,Acupuncture_Points,Herbal_Formula,Pharmacopeia_If_Needed
What does TCM call severe depression with suicidal thoughts?,"TCM refers to this as 'Severe Shen (Spirit) Disturbance' or 'Profound Heart-Mind Disharmony', viewing it as extreme imbalance of vital energies affecting the spirit.","HT-7 (Shenmen), GV-20 (Baihui), PC-6 (Neiguan), HT-3 (Shaohai)","Gan Mai Da Zao Tang (Licorice, Wheat, Jujube Decoction)","Gan Cao 9g, Xiao Mai 30g, Da Zao 10 pieces; add Long Gu 30g, Mu Li 30g if severe"
What are the main TCM patterns associated with severe depression?,"The primary patterns include Heart-Kidney Disharmony, Liver Qi Stagnation with Fire, Heart Blood/Yin Deficiency, and Phlegm-Fire Harassing the Heart.","HT-7 (Shenmen), LR-3 (Taichong), SP-6 (Sanyinjiao), KI-3 (Taixi)",Xiao Yao San or Huang Lian E Jiao Tang,"Chai Hu 6-12g, Bai Shao 12-15g for Liver; or Huang Lian 3-9g, E Jiao 9g for Heart-Kidney"
How does TCM view the spiritual aspect of suicidal ideation?,"TCM sees the Shen (spirit) as housed in the Heart. When Heart Blood or Yin is severely deficient, or when pathogenic factors disturb the Heart, the Shen becomes unsettled and loses its anchor.","HT-7 (Shenmen), HT-5 (Tongli), CV-14 (Juque), CV-17 (Shanzhong)",Tian Wang Bu Xin Dan,"Sheng Di 15-30g, Ren Shen 6-9g, Dan Shen 9-12g, Yuan Zhi 6-9g, Suan Zao Ren 15-30g, Bai Zi Ren 12g"
What role does Liver Qi stagnation play in severe depression?,"Prolonged Liver Qi stagnation can transform into Fire, attacking the Heart and disturbing the Shen. This creates emotional volatility, rage, and destructive thoughts.","LR-3 (Taichong), LR-2 (Xingjian), LR-14 (Qimen), GB-34 (Yanglingquan)",Chai Hu Shu Gan San,"Chai Hu 9-12g, Chen Pi 6-9g, Chuan Xiong 6-9g, Xiang Fu 9g, Bai Shao 12-15g"
Can Phlegm contribute to suicidal thoughts in TCM theory?,"Yes. Phlegm-Fire or Phlegm misting the Heart orifices can cloud consciousness and judgment, leading to irrational and harmful thoughts.","ST-40 (Fenglong), PC-5 (Jianshi), CV-12 (Zhongwan), SP-9 (Yinlingquan)",Wen Dan Tang or Ban Xia Hou Po Tang,"Ban Xia 9-12g, Zhu Ru 9g, Fu Ling 12-15g, Chen Pi 9g, Zhi Shi 6-9g, Shi Chang Pu 6-9g"
What is Heart-Kidney Disharmony in relation to mental crisis?,"When Kidney Yin fails to nourish Heart Yin, and Heart Fire cannot descend to warm Kidneys, anxiety, insomnia, and severe mental distress occur.","HT-7 (Shenmen), KI-3 (Taixi), KI-6 (Zhaohai), CV-4 (Guanyuan)",Liu Wei Di Huang Wan with modifications,"Shu Di 15-30g, Shan Zhu Yu 12g, Shan Yao 12-15g, Fu Ling 12g; add Huang Lian 3-6g, E Jiao 9g"
How does Blood Deficiency contribute to severe emotional crisis?,"Blood houses the Shen. When Heart and Liver Blood are severely deficient, the Shen has no residence, leading to anxiety, fearfulness, and despair.","HT-7 (Shenmen), SP-6 (Sanyinjiao), BL-17 (Geshu), BL-20 (Pishu)",Gui Pi Tang or Suan Zao Ren Tang,"Dang Gui 9-12g, Bai Shao 12-15g, Shu Di 12-15g, Huang Qi 15-30g, Suan Zao Ren 15-30g"
What is the significance of the Heart channel in treating severe depression?,The Heart channel governs the Shen (spirit) and consciousness. Treating Heart points directly calms the mind and anchors the spirit.,"HT-7 (Shenmen), HT-6 (Yinxi), HT-3 (Shaohai), HT-9 (Shaochong)",Heart-focused formulas as indicated by pattern,"Long Gu 30g, Mu Li 30g, Yuan Zhi 6-9g, Fu Shen 9-12g, Dang Gui 9-12g"
How does shock or trauma lead to suicidal thoughts in TCM?,Severe emotional shock scatters the Shen and injures Heart Qi. This can create lasting disharmony where the spirit cannot settle.,"HT-7 (Shenmen), GV-20 (Baihui), GV-24 (Shenting), CV-15 (Jiuwei)",Modified Gui Zhi Gan Cao Long Gu Mu Li Tang,"Long Gu 30g, Mu Li 30g, Gui Zhi 9g, Gan Cao 6g, Yuan Zhi 9g, He Huan Pi 12-15g"
What role does the Pericardium channel play?,The Pericardium protects the Heart and Shen from external pathogenic influences. Treating PC points shields the spirit and calms anxiety.,"PC-6 (Neiguan), PC-7 (Daling), PC-4 (Ximen), PC-8 (Laogong)",Pattern-dependent; combined with Heart formulas,"Zhi Zi 6-12g, Dan Shen 9-12g, Yu Jin 9g, Shi Chang Pu 6-9g for opening orifices"
