Question,Answer,Professional_Acupuncture_Points,TCM_Herbal_Formula_Recommendations,Pregnancy_Safety_Notes
"When I feel my stress rising at my desk, what can I do in the next 5 minutes?","Try a mini breathing break: sit upright with feet flat, inhale slowly through your nose for 4 seconds, exhale for 6, and repeat 10–15 times to calm your nervous system.""mutualofomaha+1​","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When my shoulders are up by my ears at work, what can I do in the next 5 minutes?","Do shoulder rolls: sit tall, roll both shoulders up, back, and down in slow circles 10 times, then forward 10 times, coordinating with slow breathing.""ahead-app+1​","GB21 (Jianjing), SI11 (Tianzong), LI15 (Jianyu), BL13 (Feishu), GB20 (Fengchi)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my back feels stiff from sitting, what can I do in the next 5 minutes?","Try a seated spinal twist: feet flat, gently twist your torso to one side holding the chair, take 3 deep breaths, then repeat on the other side.""mentalhealthblogger+1​","BL23 (Shenshu), BL40 (Weizhong), GV4 (Mingmen), BL25 (Dachangshu), Yaoyan",Xiao Yao San (Liver Qi stagnation tension) | Ge Gen Tang (neck-shoulder tension) | Juan Bi Tang (if chronic),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel mentally flooded between meetings, what can I do in the next 5 minutes?","Close your eyes, take 10 slow breaths, then jot down the top 3 things that truly need attention today and let the rest wait until later.""psychologytoday+1​","GV20 (Baihui), GV24 (Shenting), Yintang, PC6 (Neiguan), ST36 (Zusanli), SP6 (Sanyinjiao)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I am stuck at my desk for hours, what can I do in the next 5 minutes?","Stand up, walk around your workspace or hallway, swing your arms gently, and take at least 20–30 steps to boost circulation and alertness.""vantagefit+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I notice jaw tension while working, what can I do in the next 5 minutes?","Unclench your teeth, gently massage around your jaw joints and temples with your fingertips, and pair the massage with slow nasal breathing.""mutualofomaha+1​","ST6 (Jiache), ST7 (Xiaguan), LI4 (Hegu), LV3 (Taichong), GB20 (Fengchi)",Xiao Yao San (Liver Qi stagnation tension) | Ge Gen Tang (neck-shoulder tension) | Juan Bi Tang (if chronic),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my to‑do list feels impossible, what can I do in the next 5 minutes?","Write everything down, circle just one priority task for the next hour, and give yourself permission to ignore the rest until that one is done.""franciscanhealth+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel myself rushing nonstop, what can I do in the next 5 minutes?","Pause, plant your feet on the floor, take 10 deep breaths, and speak one clear sentence about your next step to reduce mental clutter.""psychologytoday+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I start the day already tense, what can I do in the next 5 minutes?","Before opening email, sit upright, take 10 slow breaths, stretch your neck side to side, and set one realistic intention for the day.""vantagefit+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel my energy crashing mid‑afternoon, what can I do in the next 5 minutes?","Stand up, stretch your arms overhead, gently bend side to side, and take a brief walk to get water instead of grabbing more caffeine immediately.""franciscanhealth+1​","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), BL20 (Pishu), BL23 (Shenshu), GV20 (Baihui)",Bu Zhong Yi Qi Tang (Qi deficiency fatigue) | Gui Pi Tang (overthinking/overwork) | Shi Quan Da Bu Tang (Qi-Blood deficiency),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
