Point_Number,Warning_Level,Explanation
CV8 (Shenque),🔴 RED - TOTAL STOP,"Absolute contraindication - NO NEEDLING EVER. Umbilicus point. Risk of infection, bowel perforation, and severe adverse events. Moxa only may be used externally."
LV12 (Jimai),🔴 RED - TOTAL STOP,"Absolute contraindication - NO NEEDLING. Located near femoral artery and vein. High risk of vascular damage, severe bleeding, and hematoma formation."
ST17 (Ruzhong),🔴 RED - TOTAL STOP,"NO NEEDLING - nipple center point. Risk of breast tissue damage, infection, and scarring. No therapeutic value. Oblique insertion near area only if needed."
LI4 (Hegu),🔴 RED - PREGNANCY FORBIDDEN,Strongly moves Qi and induces uterine contractions. Can cause miscarriage or premature labor. CONTRAINDICATED until labor induction at full term (37+ weeks). Safe postpartum.
SP6 (Sanyinjiao),🔴 RED - PREGNANCY FORBIDDEN,Stimulates uterus and moves Blood strongly in lower abdomen. Risk of miscarriage and premature labor. CONTRAINDICATED before 37 weeks. Used for labor induction.
BL60 (Kunlun),🔴 RED - PREGNANCY FORBIDDEN,Strongly descends Qi and moves Blood. Can induce uterine contractions and premature labor. FORBIDDEN during pregnancy. Safe for labor induction.
GB21 (Jianjing),🔴 RED - PREGNANCY FORBIDDEN + HEART DISEASE,Strongly descends Qi and can induce labor. CONTRAINDICATED in pregnancy before 37 weeks. Also FORBIDDEN in patients with heart disease history - can trigger cardiac events.
BL67 (Zhiyin),🔴 RED - PREGNANCY FORBIDDEN (except breech),Stimulates strong uterine activity. CONTRAINDICATED in pregnancy except for turning breech presentation with moxa at 34-36 weeks. Can induce premature labor.
CV3 (Zhongji),🔴 RED - PREGNANCY DEEP NEEDLING FORBIDDEN,"Lower abdomen point above pubic bone. No deep or perpendicular needling in pregnancy - risk of uterine puncture, placental damage, fetal harm. Shallow oblique only if absolutely necessary."
CV4 (Guanyuan),🔴 RED - PREGNANCY DEEP NEEDLING FORBIDDEN,Strongly tonifies original Qi and affects uterus. No deep needling in pregnancy - risk of uterine damage and labor induction. Contraindicated perpendicular insertion in advanced pregnancy.
