Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
What points treat acid reflux (GERD)?,PC6 (Neiguan) is the key point for reflux. CV12 (Zhongwan) regulates Stomach. ST36 harmonizes digestion. LR3 for Liver invading Stomach. CV17 if chest symptoms.,"PC6, CV12, ST36, LR3, CV17",Zuo Jin Wan; Ban Xia Xie Xin Tang,Safe points during pregnancy - common complaint
How to treat chronic gastritis?,CV12 (Zhongwan) is central for Stomach. ST36 tonifies Stomach Qi. PC6 for nausea. SP6 if Spleen deficiency. LI4 if heat present.,"CV12, ST36, PC6, SP6, LI4",Xiang Sha Liu Jun Zi Tang; Ban Xia Xie Xin Tang,LI4 contraindicated during pregnancy
What is the treatment for IBS with diarrhea?,ST25 (Tianshu) regulates intestines. ST36 strengthens Spleen. SP6 for Spleen. CV12 for middle jiao. LR3 for Liver-Spleen disharmony.,"ST25, ST36, SP6, CV12, LR3",Tong Xie Yao Fang; Shen Ling Bai Zhu San,Safe digestive support during pregnancy
How to treat IBS with constipation?,ST25 for intestines. SJ6 (Zhigou) key for constipation. ST36 for Qi. KI6 moistens intestines. LR3 if Liver Qi stagnation.,"ST25, SJ6, ST36, KI6, LR3",Ma Zi Ren Wan; Liu Mo Tang,Avoid strong purgatives during pregnancy
What points help with bloating and distension?,CV12 for Stomach. CV6 (Qihai) for abdominal Qi. ST36 for digestion. LR3 for Liver Qi stagnation causing bloating. SP6 for Spleen.,"CV12, CV6, ST36, LR3, SP6",Xiang Sha Liu Jun Zi Tang; Chai Hu Shu Gan San,Safe bloating treatment during pregnancy
How to treat nausea and vomiting?,PC6 (Neiguan) is THE point for nausea. CV12 regulates Stomach. ST36 harmonizes. SP4 opens Chong Mai if severe. CV22 if retching.,"PC6, CV12, ST36, SP4, CV22",Xiao Ban Xia Tang; Xiang Sha Liu Jun Zi Tang,Safe antiemetic points during pregnancy
What is the treatment for peptic ulcers?,CV12 (Zhongwan) heals Stomach lining. ST36 tonifies Stomach. PC6 for pain. SP6 nourishes. BL21 (Weishu) back shu point for Stomach.,"CV12, ST36, PC6, SP6, BL21",Huang Qi Jian Zhong Tang; Sha Shen Mai Dong Tang,Safe supportive treatment during pregnancy
How to treat chronic diarrhea?,ST25 regulates intestines. ST36 strengthens Spleen. SP6 for Spleen Qi. CV12 for digestion. BL20 (Pishu) for Spleen. Moxa if cold.,"ST25, ST36, SP6, CV12, BL20",Shen Ling Bai Zhu San; Bu Zhong Yi Qi Tang,Safe Spleen-strengthening during pregnancy
What points help with chronic constipation?,SJ6 (Zhigou) is the primary point for constipation. ST25 for large intestine. ST36 for Qi. KI6 moistens. LR3 if Qi stagnation.,"SJ6, ST25, ST36, KI6, LR3",Ma Zi Ren Wan; Run Chang Wan,Gentle formulas during pregnancy
How to treat food stagnation?,CV12 for Stomach. ST36 for digestion. PC6 for nausea. ST44 (Neiting) clears food heat. ST25 for intestines.,"CV12, ST36, PC6, ST44, ST25",Bao He Wan; Zhi Shi Dao Zhi Wan,Safe food stagnation treatment during pregnancy
What is the treatment for Spleen Qi deficiency?,ST36 is essential for Spleen. SP6 (Sanyinjiao) for Spleen. CV12 for middle jiao. BL20 (Pishu) back shu. SP3 (Taibai) source point.,"ST36, SP6, CV12, BL20, SP3",Liu Jun Zi Tang; Shen Ling Bai Zhu San,Safe Spleen tonification during pregnancy
How to treat Stomach Yin deficiency?,ST36 harmonizes Stomach. SP6 nourishes Yin. CV12 for Stomach. KI3 for overall Yin. PC6 for nausea if present.,"ST36, SP6, CV12, KI3, PC6",Sha Shen Mai Dong Tang; Yi Wei Tang,Safe Yin nourishing during pregnancy
What points help with hiccups?,PC6 descends rebellious Qi. CV17 (Shanzhong) for diaphragm. BL17 (Geshu) for diaphragm. CV22 for throat. ST36 for Stomach.,"PC6, CV17, BL17, CV22, ST36",Xuan Fu Dai Zhe Tang; Ding Xiang Shi Di Tang,Safe hiccup treatment during pregnancy
How to treat belching?,CV12 (Zhongwan) regulates Stomach Qi. PC6 descends Qi. ST36 for digestion. LR3 if Liver Qi involved. CV17 for chest.,"CV12, PC6, ST36, LR3, CV17",Xiang Sha Liu Jun Zi Tang,Safe treatment during pregnancy
What is the treatment for abdominal pain?,CV12 for upper abdomen. ST25 for lower abdomen. SP6 for blood stasis pain. LR3 for Qi stagnation. ST36 for Qi. Ahshi points locally.,"CV12, ST25, SP6, LR3, ST36",Pattern-dependent formulas,Investigate cause during pregnancy
How to treat poor appetite?,ST36 is key for appetite. CV12 for Stomach. SP6 for Spleen. PC6 if nausea. Sifeng (extra points) on fingers.,"ST36, CV12, SP6, PC6, Sifeng",Xiang Sha Liu Jun Zi Tang; Liu Jun Zi Tang,Safe appetite support during pregnancy
What points help with gallbladder issues?,GB34 (Yanglingquan) for Gallbladder. GB24 (Riyue) front mu. BL19 (Danshu) back shu. LR14 for Liver. Dannangxue (extra point) for gallstones.,"GB34, GB24, BL19, LR14, Dannangxue",Long Dan Xie Gan Tang; Da Chai Hu Tang,Gallbladder issues need evaluation during pregnancy
How to treat hepatitis with acupuncture?,LR14 (Qimen) front mu for Liver. BL18 (Ganshu) back shu. LR3 for Liver Qi. GB34 for Liver/GB. SP6 for Liver blood.,"LR14, BL18, LR3, GB34, SP6",Yin Chen Hao Tang; Long Dan Xie Gan Tang,Medical supervision needed during pregnancy
What is the treatment for hemorrhoids?,BL57 (Chengshan) key point for hemorrhoids. GV20 with moxa to lift Qi. DU1 (Changqiang) local. BL30 for region. SP6 for blood.,"BL57, GV20, DU1, BL30, SP6",Huai Jiao Wan; Di Yu Huai Hua Tang,Common during pregnancy - safe points
How to treat rectal prolapse?,GV20 (Baihui) with moxa essential to lift Qi. CV6 (Qihai) to lift. ST36 for Spleen Qi. BL25 (Dachangshu) for large intestine.,"GV20, CV6, ST36, BL25",Bu Zhong Yi Qi Tang,Safe Qi-lifting during pregnancy
What points help with Crohn's disease?,ST25 for intestines. CV12 for digestion. ST36 for Spleen. SP6 for blood. LI11 if heat. Pattern-based selection.,"ST25, CV12, ST36, SP6, LI11",Pattern-dependent - often Spleen formulas,Coordinate with medical care during pregnancy
How to treat ulcerative colitis?,ST25 (Tianshu) regulates intestines. CV12 for digestion. ST36 for Spleen. SP10 (Xuehai) cools blood. BL25 for large intestine.,"ST25, CV12, ST36, SP10, BL25",Pattern-based - often heat-clearing,Coordinate with medical care during pregnancy
What is the treatment for intestinal parasites?,ST25 and ST36 for intestines. CV12 for middle jiao. SP6 for Spleen. LI11 to clear. Appropriate herbal treatment essential.,"ST25, ST36, CV12, SP6, LI11",Wu Mei Wan; antiparasitic herbs,Avoid antiparasitic herbs during pregnancy
How to treat dysphagia (difficulty swallowing)?,CV22 (Tiantu) for throat. CV23 (Lianquan) for tongue root. PC6 for chest. CV17 for esophagus. ST36 for overall.,"CV22, CV23, PC6, CV17, ST36",Ban Xia Hou Po Tang,Investigate cause during pregnancy
What points help with esophageal spasm?,PC6 (Neiguan) for chest/esophagus. CV17 for chest. CV12 for upper GI. LR3 for Liver Qi. ST36 for overall.,"PC6, CV17, CV12, LR3, ST36",Ban Xia Hou Po Tang; Xiao Yao San,Safe spasm treatment during pregnancy
How to treat gastroenteritis?,CV12 for Stomach. ST25 for intestines. PC6 for vomiting. ST36 for recovery. SP6 for Spleen. Acute and chronic phases differ.,"CV12, ST25, PC6, ST36, SP6",Huo Xiang Zheng Qi San acute; Liu Jun Zi Tang recovery,Hydration priority during pregnancy
What is the treatment for food poisoning?,CV12 for Stomach. PC6 for vomiting. ST25 for diarrhea. ST36 for recovery. LI11 to clear toxins.,"CV12, PC6, ST25, ST36, LI11",Huo Xiang Zheng Qi San; Bao He Wan,Seek medical care during pregnancy if severe
How to treat malabsorption?,ST36 essential for Spleen absorption. SP6 for Spleen. CV12 for digestion. BL20 (Pishu) for Spleen. CV6 for Qi.,"ST36, SP6, CV12, BL20, CV6",Shen Ling Bai Zhu San; Bu Zhong Yi Qi Tang,Safe absorption support during pregnancy
What points help with fatty liver?,LR14 and BL18 for Liver. GB34 for Liver/GB. ST40 (Fenglong) for phlegm. SP9 for dampness. LR3 for Liver Qi.,"LR14, BL18, GB34, ST40, SP9, LR3",Long Dan Xie Gan Tang; Er Chen Tang,Lifestyle modification primary during pregnancy
How to treat Liver Qi stagnation affecting digestion?,LR3 (Taichong) moves Liver Qi. LR14 for Liver front mu. CV12 for Stomach. ST36 for digestion. PC6 for chest.,"LR3, LR14, CV12, ST36, PC6",Xiao Yao San; Chai Hu Shu Gan San,Safe Liver-soothing during pregnancy
What is the treatment for Stomach Fire?,CV12 regulates Stomach. ST44 (Neiting) clears Stomach heat. LI11 clears heat. ST36 harmonizes. PC6 for nausea.,"CV12, ST44, LI11, ST36, PC6",Qing Wei San; Yu Nu Jian,Avoid strong heat-clearing during pregnancy
How to treat damp-heat in the intestines?,ST25 for intestines. SP9 (Yinlingquan) drains dampness. LI11 clears heat. ST44 for Yangming heat. CV12 for middle.,"ST25, SP9, LI11, ST44, CV12",Ge Gen Qin Lian Tang; Huang Lian Jie Du Tang,Mild damp-heat clearing during pregnancy
What points help with cold in the abdomen?,CV12 with moxa for Stomach cold. CV4 (Guanyuan) with moxa. ST36 with moxa. BL20 and BL23 with moxa. Warming essential.,"CV12, CV4, ST36, BL20, BL23",Li Zhong Wan; Fu Zi Li Zhong Wan,Gentle warming during pregnancy
How to treat Spleen and Stomach deficiency cold?,CV12 and ST36 with moxa. SP6 for Spleen. CV4 for warming lower. BL20 and BL21 for back shu. Warming technique.,"CV12, ST36, SP6, CV4, BL20, BL21",Li Zhong Wan; Xiang Sha Liu Jun Zi Tang,Safe warming tonification during pregnancy
What is the treatment for diverticulitis?,ST25 for large intestine. CV12 for digestion. LI11 to clear heat. ST36 for Spleen. SP6 for blood if needed.,"ST25, CV12, LI11, ST36, SP6",Pattern-based - often heat-clearing,Medical supervision during pregnancy
How to treat functional dyspepsia?,CV12 (Zhongwan) central point. ST36 for Stomach Qi. PC6 for chest/nausea. LR3 for Liver affecting Stomach. SP6 for Spleen.,"CV12, ST36, PC6, LR3, SP6",Xiang Sha Liu Jun Zi Tang; Ban Xia Xie Xin Tang,Safe digestive support during pregnancy
What points help with gastroparesis?,CV12 for Stomach motility. PC6 descends Stomach Qi. ST36 for Stomach Qi. SP6 for Spleen. CV6 for overall Qi.,"CV12, PC6, ST36, SP6, CV6",Xiang Sha Liu Jun Zi Tang; Liu Mo Tang,Coordinate with medical care during pregnancy
How to treat intestinal gas?,CV6 (Qihai) for abdominal Qi. CV12 for middle jiao. ST25 for intestines. LR3 for Qi stagnation. ST36 for overall.,"CV6, CV12, ST25, LR3, ST36",Mu Xiang Shun Qi San,Safe gas treatment during pregnancy
What is the treatment for loss of taste?,CV23 (Lianquan) for tongue. SP6 for Spleen. ST36 for Stomach (Spleen opens to mouth). LI4 for face. HT5 for tongue.,"CV23, SP6, ST36, LI4, HT5",Liu Jun Zi Tang; Shen Ling Bai Zhu San,LI4 contraindicated during pregnancy
How to treat candida overgrowth?,SP9 drains dampness. ST36 strengthens Spleen. CV12 for digestion. LI11 clears heat if present. SP6 for lower jiao.,"SP9, ST36, CV12, LI11, SP6",Er Chen Tang; Long Dan Xie Gan Tang,Mild damp-clearing during pregnancy
What points help with SIBO?,ST25 for intestines. CV12 for digestion. ST36 for Spleen. SP9 for dampness. LI11 if heat.,"ST25, CV12, ST36, SP9, LI11",Pattern-based formulas,Coordinate with medical care during pregnancy
How to treat leaky gut syndrome?,ST36 strengthens Spleen barrier. SP6 for Spleen. CV12 for middle jiao. BL20 for Spleen. ST25 for intestines.,"ST36, SP6, CV12, BL20, ST25",Bu Zhong Yi Qi Tang; Shen Ling Bai Zhu San,Safe gut healing during pregnancy
What is the treatment for pancreatitis?,CV12 for upper abdomen. PC6 for pain and nausea. LI11 to clear heat. ST36 for Spleen/Pancreas. SP6 for blood.,"CV12, PC6, LI11, ST36, SP6",Pattern-based - often damp-heat,Medical supervision essential during pregnancy
How to treat ascites?,CV9 (Shuifen) for water. SP9 drains water. CV6 for Qi. ST36 for Spleen. BL22 (Sanjiaoshu) for water metabolism.,"CV9, SP9, CV6, ST36, BL22",Wu Ling San; Shi Pi Yin,Medical supervision needed during pregnancy
What points help with liver cirrhosis support?,LR14 and BL18 for Liver. SP6 for blood. ST36 for Spleen. LR3 for Liver Qi. GB34 for Liver/GB.,"LR14, BL18, SP6, ST36, LR3, GB34",Pattern-based supportive formulas,Serious condition - medical coordination during pregnancy
How to treat post-cholecystectomy syndrome?,GB34 for residual Gallbladder function. CV12 for digestion. LR3 for Liver Qi. ST36 for overall. PC6 for nausea.,"GB34, CV12, LR3, ST36, PC6",Xiao Yao San; digestive support,Safe supportive treatment during pregnancy
What is the treatment for celiac disease support?,ST36 for Spleen and absorption. SP6 for Spleen. CV12 for digestion. BL20 for Spleen. Gluten-free diet essential.,"ST36, SP6, CV12, BL20",Shen Ling Bai Zhu San,Safe digestive support during pregnancy
How to treat morning sickness?,PC6 (Neiguan) is the key point. CV12 regulates Stomach. ST36 harmonizes. SP4 for Chong Mai. KI21 if severe.,"PC6, CV12, ST36, SP4, KI21",Xiang Sha Liu Jun Zi Tang; Ban Xia formulas,Essential pregnancy treatment - safe points
What points help with pregnancy-related constipation?,SJ6 (Zhigou) for constipation. ST25 for intestines. KI6 moistens. ST36 for Qi. SP6 with gentle technique.,"SJ6, ST25, KI6, ST36, SP6",Gentle moistening formulas only,Safe gentle approach during pregnancy
