asset_type,question,answer,category,tags
diagnosis,"What is Liver Qi Stagnation?","Liver Qi Stagnation (肝郁气滞) is a common TCM pattern characterized by emotional frustration, sighing, distending pain in chest/hypochondrium, irregular menstruation. Tongue: normal or slightly dark with thin coating. Pulse: wiry (xuan). Often caused by emotional stress, anger, or frustration suppressing the Liver's function of ensuring smooth Qi flow.",diagnosis,liver|qi|stagnation|pattern
diagnosis,"What is Blood Deficiency pattern?","Blood Deficiency (血虚) manifests as pale complexion, dizziness, palpitations, insomnia, pale lips and nails, scanty or absent menstruation. Tongue: pale, thin. Pulse: thin (xi), choppy. Common in women post-menstruation, after blood loss, or with poor nutrition. Heart Blood Deficiency adds anxiety; Liver Blood Deficiency adds blurred vision, numbness.",diagnosis,blood|deficiency|pattern
diagnosis,"What is Kidney Yang Deficiency?","Kidney Yang Deficiency (肾阳虚) presents with cold sensation in lower back and knees, weak legs, fatigue, clear abundant urination, impotence/infertility, loose stools. Tongue: pale, swollen with tooth marks, wet coating. Pulse: deep (chen), weak (ruo). The Ming Men fire is depleted, failing to warm the body.",diagnosis,kidney|yang|deficiency|pattern
diagnosis,"What is Spleen Qi Deficiency?","Spleen Qi Deficiency (脾气虚) shows poor appetite, abdominal distension after eating, loose stools, fatigue, weak limbs, sallow complexion. Tongue: pale with tooth marks. Pulse: weak, especially in right guan position. The Spleen fails to transform and transport, leading to Dampness accumulation.",diagnosis,spleen|qi|deficiency|pattern
diagnosis,"What is Heart Fire pattern?","Heart Fire (心火) manifests as mouth/tongue ulcers, red face, bitter taste, insomnia, restlessness, palpitations, dark scanty urine. Tongue: red tip, possibly with red points. Pulse: rapid, overflowing. Can disturb the Shen causing anxiety and mental agitation.",diagnosis,heart|fire|pattern
principle,"What is the treatment principle for Liver Qi Stagnation?","Treatment principle: Soothe Liver Qi, relieve constraint (疏肝理气). Secondary principles may include nourishing Blood if deficient, clearing Heat if generating Liver Fire. Primary goal is restoring smooth flow of Qi throughout the body. Use points and herbs that move Qi and regulate the Liver.",principle,liver|treatment|soothe
principle,"What is the treatment for Blood Stasis?","Treatment principle: Invigorate Blood, dispel Stasis (活血化瘀). Use blood-moving herbs and points. For trauma: add herbs to reduce swelling. For pain: combine with Qi-moving herbs. For masses: add phlegm-resolving substances. Always identify the root cause - Qi stagnation, Cold, or Heat affecting blood.",principle,blood|stasis|treatment
principle,"How to treat Kidney Yang Deficiency?","Treatment principle: Warm and tonify Kidney Yang (温补肾阳). Strengthen Ming Men fire. Use warming herbs like Fu Zi, Rou Gui. Moxibustion is essential - apply on KI3, BL23, DU4, REN4. Avoid cold foods and overwork. Protect the lower back from cold exposure.",principle,kidney|yang|warm|tonify
principle,"What is the principle for Dampness?","Treatment principle: Transform/Drain Dampness (化湿/利湿). For Damp-Cold: warm and transform with aromatic herbs. For Damp-Heat: clear Heat while draining Dampness. Strengthen Spleen to prevent recurrence. Use points like SP9, SP6, ST40 to resolve Dampness.",principle,dampness|transform|drain
principle,"How to treat Yin Deficiency with Empty Heat?","Treatment principle: Nourish Yin, clear Empty Heat (滋阴清虚热). Use Yin-nourishing herbs like Sheng Di, Mai Dong. Avoid overly cold herbs that damage Spleen. Points: KI3, KI6, SP6 to nourish Yin. Clear Empty Heat with KI2, HT8.",principle,yin|deficiency|empty|heat
points,"What is LI4 (Hegu) used for?","LI4 (Hegu 合谷) - Yuan-Source point of Large Intestine. Location: between 1st and 2nd metacarpals. Actions: expels Wind, releases exterior, regulates Wei Qi, stops pain, regulates face/head. Indications: headache, toothache, facial paralysis, common cold, pain anywhere. CONTRAINDICATED in pregnancy.",points,li4|hegu|pain|head
