Question,Answer,Acupuncture Points,Chinese Pharmacopeia
How does work stress manifest physically in adults 18-50?,"Work stress creates Liver Qi stagnation manifesting as tension headaches, tight shoulders, irritability, digestive issues (IBS), menstrual irregularities, and insomnia. Chronic stress depletes Kidney essence and can transform stagnation into Heat or Phlegm patterns.","LR-3 (Taichong), PC-6 (Neiguan), GB-21 (Jianjing), GB-20 (Fengchi), LI-4 (Hegu), HT-7 (Shenmen), Yintang",Xiao Yao San (Free and Easy Wanderer) - foundational for work stress. Add Long Dan Xie Gan Tang if Heat signs present; modify with tonics if Qi deficiency develops.
What digestive patterns are common in working adults?,"Working adults often show Liver invading Spleen pattern: alternating constipation/diarrhea, bloating, abdominal pain with stress, irregular eating, skipping meals, eating while working. This represents Wood overacting on Earth.","ST-36 (Zusanli), SP-6 (Sanyinjiao), LR-3 (Taichong), REN-12 (Zhongwan), ST-25 (Tianshu), PC-6 (Neiguan)",Xiao Yao San for primary Liver-Spleen disharmony; Si Jun Zi Tang if Spleen Qi deficiency prominent; Tong Xie Yao Fang for IBS-type symptoms.
How to address chronic insomnia in this age group?,"Insomnia in 18-50 year-olds often stems from overwork (Heart Blood deficiency), stress (Liver Fire disturbing Shen), overthinking (Spleen-Heart disharmony), or irregular schedules. Screen time before bed scatters Shen and creates Heat.","HT-7 (Shenmen), PC-6 (Neiguan), SP-6 (Sanyinjiao), KI-6 (Zhaohai), Yintang, Anmian, HT-5 (Tongli), BL-15 (Xinshu)",Suan Zao Ren Tang for Heart Blood deficiency; Tian Wang Bu Xin Dan for severe Heart-Kidney disconnection; Huang Lian E Jiao Tang for Yin deficiency with Heat.
What causes lower back pain in young to middle-aged adults?,"Lower back pain shows Kidney deficiency (constitutional or overwork), Qi and Blood stagnation (sedentary work, poor posture), Cold-Damp invasion (environmental), or acute sprain. Chronic cases usually combine deficiency with stagnation.","BL-23 (Shenshu), BL-40 (Weizhong), DU-4 (Mingmen), KI-3 (Taixi), GB-30 (Huantiao), BL-25 (Dachangshu), Ashi points",Deficiency: Du Huo Ji Sheng Tang or You Gui Wan. Stagnation: Shen Tong Zhu Yu Tang. Cold-Damp: Du Huo Ji Sheng Tang. Often combine approaches.
How do menstrual irregularities relate to lifestyle in this age group?,"Irregular periods in 18-50 reflect stress (Liver Qi stagnation), poor diet (Spleen weakness), overwork (Kidney-Liver Blood deficiency), weight extremes, or hormonal issues requiring medical evaluation. Modern lifestyle strongly impacts cycle regularity.","SP-6 (Sanyinjiao), LR-3 (Taichong), SP-10 (Xuehai), REN-4 (Guanyuan), ST-36 (Zusanli), BL-23 (Shenshu), KI-3 (Taixi)",Pattern-based: Xiao Yao San for Liver Qi stagnation; Si Wu Tang for Blood deficiency; Ba Zhen Tang for combined Qi and Blood deficiency; modify accordingly.
What emotional patterns emerge from work-life imbalance?,"Work-life imbalance creates frustration (Liver Qi stagnation), anxiety (Heart-Gallbladder disharmony), depression (Heart Blood/Spleen Qi deficiency), burnout (Kidney exhaustion), resentment, and disconnection from joy. Impacts all organ systems progressively.","HT-7 (Shenmen), PC-6 (Neiguan), LR-3 (Taichong), LR-14 (Qimen), GB-40 (Qiuxu), REN-17 (Shanzhong), Yintang",Xiao Yao San for frustration; Gui Pi Tang for worry and anxiety; Gan Mai Da Zao Tang for severe emotional instability; Chai Hu Shu Gan San for chest constraint.
How does sedentary work affect Qi and Blood circulation?,"Prolonged sitting creates Qi and Blood stagnation especially in lower body, weakens Spleen (transformation function), causes neck/shoulder tension, hemorrhoids, weight gain, and depletes Kidney Yang. Modern epidemic of sitting disease.","ST-36 (Zusanli), SP-6 (Sanyinjiao), LR-3 (Taichong), GB-34 (Yanglingquan), BL-17 (Geshu), BL-23 (Shenshu), local Ashi points",Bu Yang Huan Wu Tang for Qi and Blood stagnation; Si Jun Zi Tang to strengthen Spleen; encourage regular movement - exercise itself is medicine.
What causes chronic fatigue in working adults?,"Chronic fatigue represents Spleen Qi deficiency (can't transform food to Qi), Kidney essence depletion (overwork), Heart Blood deficiency (poor sleep), or Damp accumulation (poor diet). Often multi-system pattern requiring layered treatment.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-4 (Guanyuan), REN-6 (Qihai), KI-3 (Taixi), DU-20 (Baihui), BL-20 (Pishu)",Bu Zhong Yi Qi Tang for Spleen Qi sinking; Gui Pi Tang for combined Heart-Spleen deficiency; Ba Zhen Tang or Shi Quan Da Bu Tang for comprehensive deficiency.
How to treat tension headaches from desk work?,"Tension headaches represent Liver Yang rising, Qi and Blood stagnation in neck and shoulders, or Liver-Gallbladder disharmony from stress and poor posture. Location determines channel involvement: temporal (Liver/Gallbladder), frontal (Stomach), vertex (Liver).","GB-20 (Fengchi), GB-21 (Jianjing), Taiyang, Yintang, LI-4 (Hegu), LR-3 (Taichong), GB-14 (Yangbai), Du-20 (Baihui)",Xiao Yao San for Liver Qi base; Chuan Xiong Cha Tiao San for acute headache; Tian Ma Gou Teng Yin if Liver Yang rising prominent.
What fertility challenges relate to TCM patterns in this age?,"Fertility challenges show Kidney essence deficiency (late marriage, age), Liver Qi stagnation (stress), Spleen deficiency (poor nutrition), Blood deficiency, Cold in uterus, or Phlegm-Dampness. Men: Kidney deficiency, Damp-Heat. Requires thorough diagnosis.","Women: REN-4 (Guanyuan), REN-3 (Zhongji), SP-6 (Sanyinjiao), SP-10 (Xuehai), ST-36 (Zusanli), KI-3 (Taixi), ZI gong. Men: REN-4, KI-3, ST-36, SP-6, BL-23",Women: Ba Zhen Tang foundation with modifications. Men: Wu Zi Yan Zong Wan or modified You Gui Wan. Pattern-specific adjustments essential for fertility.
