Question,Answer,Acupuncture Points,Chinese Pharmacopeia
What are the key TCM considerations for elderly patients (70-120)?,"Elderly patients have natural decline in Kidney Jing, Qi, Blood, Yin, and Yang. Treatment must be gentle: shallow needling, fewer points, shorter retention time, lower herb doses. Focus on quality of life, safety, maintaining independence, and working with Western medical care. Respect fragility and individual goals.","Use fewer points (5-8 maximum), gentle technique, avoid strong stimulation. Core elderly points: ST-36, SP-6, KI-3, LI-4, HT-7, DU-20, BL-23","Reduce all herbal doses to 1/3-1/2 normal adult dose. Favor gentle, tonifying formulas. Avoid overly draining or strong cold/hot herbs. Monitor for interactions with medications."
How to assess mobility issues in elderly patients?,"Assess walking distance, assistive devices (cane, walker), ability to rise from chairs, stair climbing, and fall history. Mobility decline reflects Liver-Kidney deficiency (tendons, bones), Spleen Qi deficiency (muscle weakness), Qi and Blood deficiency, or specific joint issues (Bi syndrome).","ST-36 (Zusanli), GB-34 (Yanglingquan), BL-23 (Shenshu), KI-3 (Taixi), SP-6 (Sanyinjiao), BL-40 (Weizhong), GB-39 (Xuanzhong)",Du Huo Ji Sheng Tang (Angelica and Loranthus) for Liver-Kidney support with Bi syndrome; Bu Zhong Yi Qi Tang if significant Qi sinking; gentle doses.
What causes falls in elderly and how to prevent?,"Falls indicate Liver-Kidney weakness (legs, balance), Qi and Blood deficiency (dizziness, weakness), Phlegm-Dampness (dizziness), medications (orthostatic hypotension), or environmental hazards. TCM supports balance, strength, and circulation while addressing safety concerns.","GB-34 (Yanglingquan), GB-39 (Xuanzhong), KI-3 (Taixi), BL-23 (Shenshu), ST-36 (Zusanli), DU-20 (Baihui), GB-20 (Fengchi)",Du Huo Ji Sheng Tang for Liver-Kidney weakness; Bu Zhong Yi Qi Tang for Qi deficiency; Ban Xia Bai Zhu Tian Ma Tang for Phlegm-Dampness causing dizziness.
How to support elderly with multiple chronic diseases?,"Multiple conditions (heart disease, COPD, diabetes, kidney disease) reflect multi-system Qi, Yang, and Jing deficiency. TCM provides supportive care improving symptoms and quality of life while coordinating with medical management. Avoid herb-drug interactions.","Gentle constitutional support: ST-36, KI-3, SP-6, HT-7, LU-9, REN-4, BL-23 - adapt based on primary symptoms and individual tolerance",Gentle tonification: modified Shi Quan Da Bu Tang (Ten Complete Great Supplementing) or Ba Zhen Tang; individual organ support based on diseases; careful medication interaction review.
How do medications affect TCM treatment in elderly?,"Polypharmacy common in elderly. Many medications deplete Qi, Yang, or Yin, cause Dampness, or dry fluids. Side effects may present as TCM patterns. Must know all medications to avoid interactions and understand side effect patterns versus disease patterns.","Support medication side effects: ST-36, SP-6 for digestive issues; HT-7 for sleep/mood meds; KI-3, BL-23 for diuretics depleting Kidney; LR-3 for statin side effects","Choose herbs carefully avoiding interactions. Common concerns: blood thinners (avoid blood-moving herbs), diabetes meds (monitor with tonics), blood pressure meds (careful with warming herbs)."
What causes cognitive decline in TCM terms?,"Cognitive decline represents Kidney Jing depletion, Heart-Kidney disconnection, Phlegm misting the orifices, Blood stasis in brain, or Spleen Qi unable to send clear Yang to head. Dementia shows profound multi-system depletion. TCM provides supportive care.","DU-20 (Baihui), Sishencong, HT-7 (Shenmen), KI-3 (Taixi), ST-36 (Zusanli), ST-40 (Fenglong), SP-6 (Sanyinjiao), PC-6 (Neiguan)",Kidney essence: Liu Wei Di Huang Wan or modified. Phlegm: Wen Dan Tang or Di Tan Tang. Blood stasis: minimal Tao Hong Si Wu Tang. Heart-Kidney: Tian Wang Bu Xin Dan (gentle doses).
How to address sleep issues in the elderly?,"Elderly sleep changes: lighter sleep, early waking, napping. Pathological insomnia shows Yin deficiency, Heart-Kidney disconnection, Heart Blood deficiency, or Spleen-Heart disharmony. Pain, nocturia, medications, and sleep apnea affect sleep. Gentle, supportive treatment.","HT-7 (Shenmen), KI-6 (Zhaohai), SP-6 (Sanyinjiao), Anmian, Yintang, PC-6 (Neiguan), BL-15 (Xinshu), BL-23 (Shenshu)",Suan Zao Ren Tang (gentle dose) for Heart Blood deficiency; Tian Wang Bu Xin Dan (reduced) for Heart-Kidney; Liu Wei Di Huang Wan for Yin deficiency; avoid strong sedating herbs.
What pain patterns are common in elderly adults?,"Chronic pain reflects Liver-Kidney deficiency (joints, back), Qi and Blood deficiency, Blood stasis, Cold-Damp Bi syndrome, or osteoarthritis. Pain affects mobility and quality of life significantly. Balance pain relief with safety; coordinate with pain management physicians.","Location-specific points + distal: ST-36, SP-6, LI-4, KI-3, BL-23 for back, GB-34 for knees, LR-3 generally. Local Ashi points gently. Consider ear acupuncture",Du Huo Ji Sheng Tang for Liver-Kidney deficiency with Bi; Juan Bi Tang for chronic joint pain; Shen Tong Zhu Yu Tang if Blood stasis prominent (gentle dose); external liniments.
How to address poor appetite and weight loss?,"Poor appetite indicates Spleen Qi deficiency, Stomach Yin deficiency (no hunger), Liver Qi stagnation (depression), or serious illness. Weight loss concerning in elderly - assess dentition, swallowing, depression, medications, and underlying diseases. Gentle Spleen support.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), PC-6 (Neiguan), BL-20 (Pishu), BL-21 (Weishu), REN-6 (Qihai)",Si Jun Zi Tang (Four Gentlemen) or Shen Ling Bai Zhu San for Spleen Qi; Xiang Sha Liu Jun Zi Tang if Qi stagnation present; Yi Wei Tang for Stomach Yin deficiency; small frequent doses.
What causes constipation in the elderly?,"Elderly constipation extremely common: Qi deficiency (no power to move), Blood and Yin deficiency (intestinal dryness), Yang deficiency (slow motility), medications (especially opioids), or immobility. Gentle, moistening approach essential. Monitor for obstruction.","ST-25 (Tianshu), ST-36 (Zusanli), SJ-6 (Zhigou), KI-6 (Zhaohai), SP-15 (Daheng), gentle clockwise abdominal massage, BL-25 (Dachangshu)",Ma Zi Ren Wan (Hemp Seed Pill) or Zeng Ye Tang (Increase Fluids) for deficiency-dryness type; Warm the Kidney to move if Yang deficiency; adjust to individual pattern gently.
How to treat urinary incontinence and frequency?,"Urinary issues show Kidney Qi not consolidating (stress incontinence), Kidney Yang deficiency (frequency, nocturia), Bladder Damp-Heat (urgency, infection), or Spleen Qi sinking. Significantly impacts dignity and quality of life. Supportive, compassionate treatment.","KI-3 (Taixi), SP-6 (Sanyinjiao), REN-4 (Guanyuan), REN-3 (Zhongji), BL-23 (Shenshu), BL-28 (Pangguangshu), ST-36 (Zusanli), DU-20 (Baihui) for sinking",Kidney Yang deficiency: Jin Gui Shen Qi Wan (gentle dose). Kidney Qi not consolidating: Suo Quan Wan. Spleen sinking: Bu Zhong Yi Qi Tang. Damp-Heat: gentle clearing formula.
