Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
What points treat dysmenorrhea (painful periods)?,SP6 (Sanyinjiao) regulates blood and Qi in the lower jiao. CV4 (Guanyuan) tonifies Kidney and warms the uterus. LR3 (Taichong) moves Liver Qi stagnation. SP8 (Diji) is the Xi-cleft point for acute blood stasis pain. CV6 (Qihai) tonifies Qi and blood in the lower abdomen.,"SP6, CV4, LR3, SP8, CV6",Tao Hong Si Wu Tang (Peach Kernel and Safflower Four Substance Decoction),AVOID SP6 during pregnancy - strongly moves blood and can induce labor
How to treat amenorrhea with acupuncture?,For blood deficiency: SP6 and ST36 to tonify blood. For blood stasis: SP10 (Xuehai) and LR3 to move blood. CV4 and KI3 to nourish Kidney essence. BL23 (Shenshu) and BL32 (Ciliao) to warm and tonify Kidney Yang.,"SP6, ST36, SP10, LR3, CV4, KI3, BL23, BL32",Si Wu Tang for blood deficiency; Tao Hong Si Wu Tang for blood stasis,Investigate pregnancy first before treating amenorrhea
What is the point protocol for PMS with breast distension?,LR3 (Taichong) and LR14 (Qimen) to soothe Liver Qi. PC6 (Neiguan) calms the spirit and regulates Qi. GB41 (Zulinqi) with SJ5 (Waiguan) for Dai Mai issues. CV17 (Shanzhong) for chest oppression.,"LR3, LR14, PC6, GB41, SJ5, CV17",Xiao Yao San (Free and Easy Wanderer),Safe during pregnancy when used appropriately
How to treat menopausal hot flashes?,KI3 (Taixi) and KI6 (Zhaohai) nourish Kidney Yin. HT6 (Yinxi) clears Heart heat. SP6 nourishes Yin and blood. LR2 (Xingjian) clears Liver fire. GV14 (Dazhui) clears heat from the upper body.,"KI3, KI6, HT6, SP6, LR2, GV14",Liu Wei Di Huang Wan (Six Ingredient Pill with Rehmannia),Not applicable - menopause
What points help with infertility due to Kidney Yang deficiency?,CV4 (Guanyuan) and CV6 (Qihai) warm the lower jiao. BL23 (Shenshu) tonifies Kidney. GV4 (Mingmen) warms the Gate of Vitality. ST36 strengthens overall Qi. Moxa is essential on these points.,"CV4, CV6, BL23, GV4, ST36",You Gui Wan (Restore the Right Kidney Pill),Use warming herbs cautiously if pregnancy is suspected
How to treat morning sickness with acupuncture?,PC6 (Neiguan) is the primary point for nausea. ST36 harmonizes the Stomach. CV12 (Zhongwan) regulates Stomach Qi. SP4 (Gongsun) with PC6 opens Chong Mai.,"PC6, ST36, CV12, SP4",Xiang Sha Liu Jun Zi Tang,SAFE points for pregnancy - use gentle needling
What is the treatment for uterine fibroids?,SP10 (Xuehai) and SP6 move blood stasis. LR3 regulates Liver Qi. CV3 (Zhongji) and CV4 local points for uterus. ST29 (Guilai) treats masses in the lower abdomen. BL32 (Ciliao) for pelvic blood stasis.,"SP10, SP6, LR3, CV3, CV4, ST29, BL32",Gui Zhi Fu Ling Wan (Cinnamon Twig and Poria Pill),CONTRAINDICATED during pregnancy - moves blood strongly
How to treat PCOS with acupuncture?,SP6 and ST36 to strengthen Spleen and transform dampness. CV4 and KI3 to tonify Kidney. LR3 to move Liver Qi. ST40 (Fenglong) to resolve phlegm. BL20 (Pishu) for Spleen support.,"SP6, ST36, CV4, KI3, LR3, ST40, BL20",Cang Fu Dao Tan Wan,Avoid blood-moving herbs if pregnancy possible
What points treat leucorrhea (vaginal discharge)?,SP6 and SP9 (Yinlingquan) resolve dampness. CV3 and CV6 strengthen the lower jiao. BL32 for local effect. GB26 (Daimai) regulates the Dai vessel. ST36 strengthens Spleen to transform dampness.,"SP6, SP9, CV3, CV6, BL32, GB26, ST36",Wan Dai Tang (End Discharge Decoction),Generally safe during pregnancy with proper diagnosis
How to support postpartum recovery?,ST36 and SP6 to tonify Qi and blood. CV4 and CV6 to restore the lower jiao. BL20 and BL23 for Spleen and Kidney support. LI4 with SP6 to promote milk flow if needed.,"ST36, SP6, CV4, CV6, BL20, BL23, LI4",Sheng Hua Tang for blood stasis; Ba Zhen Tang for Qi and blood deficiency,Postpartum - monitor for breastfeeding herb contraindications
What is the treatment for breast lumps (fibrocystic breasts)?,LR3 and LR14 to move Liver Qi. CV17 (Shanzhong) for chest. GB21 (Jianjing) for upper body Qi flow. ST18 (Rugen) local point. SP6 to nourish blood and regulate menstruation.,"LR3, LR14, CV17, GB21, ST18, SP6",Xiao Yao San with additions for phlegm,GB21 CONTRAINDICATED during pregnancy - descends Qi
How to treat endometriosis with TCM?,SP10 and SP6 for blood stasis. LR3 for Liver Qi stagnation. CV3 and CV4 local points. BL32 (Ciliao) and BL54 (Zhibian) for pelvic blood flow. KI14 (Siman) for masses.,"SP10, SP6, LR3, CV3, CV4, BL32, BL54, KI14",Gui Zhi Fu Ling Wan; Shao Fu Zhu Yu Tang,CONTRAINDICATED during pregnancy - strongly moves blood
What points help with labor preparation?,GB21 (Jianjing) descends Qi and promotes labor. LI4 with SP6 is the classic induction combination. BL67 (Zhiyin) with moxa for breech presentation. BL31-34 (Baliao) for pelvic opening.,"GB21, LI4, SP6, BL67, BL31-34",Not typically used,USE ONLY AT TERM (37+ weeks) - these points can induce labor
How to treat threatened miscarriage?,Du20 (Baihui) raises Qi. CV4 with moxa to hold the fetus. KI9 (Zhubin) is the specific point for threatened miscarriage. ST36 to strengthen overall Qi. Bed rest essential.,"DU20, CV4, KI9, ST36",Shou Tai Wan (Fetus Longevity Pill),Critical case - refer for medical evaluation immediately
What is the treatment for hyperemesis gravidarum?,PC6 is the primary antiemetic point. ST36 harmonizes Stomach. CV12 regulates middle jiao. KI21 (Youmen) for severe vomiting. SP4 opens Chong Mai.,"PC6, ST36, CV12, KI21, SP4",Xiang Sha Liu Jun Zi Tang; Su Ye Huang Lian Tang,SAFE during pregnancy - essential treatment
How to treat mastitis with acupuncture?,SI1 (Shaoze) is the empirical point for breast issues. LI4 and LI11 clear heat. GB21 and GB41 for Shaoyang channel. ST18 (Rugen) local point. SJ5 (Waiguan) for lateral breast.,"SI1, LI4, LI11, GB21, GB41, ST18, SJ5",Pu Gong Ying (Dandelion) decoction,Safe for breastfeeding - monitor milk supply
What points treat insufficient lactation?,SI1 (Shaoze) promotes lactation. CV17 regulates chest Qi. ST18 (Rugen) local breast point. ST36 and SP6 tonify Qi and blood. LI4 promotes milk flow.,"SI1, CV17, ST18, ST36, SP6, LI4",Tong Ru Dan (Promote Lactation Special Pill),Safe postpartum - monitor for galactagogue herb interactions
