Question,Answer,Acupuncture_Points,Pharmacopeia
What is LU QI XU?,"3 הסתבכויות שמקורן בSP YANG XU או HT YANG XU או LU QI XU שמובילים למצב שהיאנג של הכליות נחלש וישנה הצפה של נוזלים * הסימפטומים - בצקות בפלג גוף תחתון, הצטברות של נוזלים בחלק גוף תחתון מהגפיים ולאט יעלו למעלה כי אין יאנג, תנועה והנוזלים מצטברים ומתחילים להרגיש תחושה של חנק זה בעיקר באזור האגן ומתחתיו הנוזלים הם כבדים ונטייתם לשקוע כלפי מטה אך הם מרמים כי אין תנועה אלא הצטברות","LU1, LU9, TH4, BL13, LU2, CV4, GV4, BL23, ST40, KID3, SP10, ST37, ST39, KID2, KID7",
What is LU YIN XU?,"הכליות אינן מעגנות את האנרגיה, KID YIN XU, גם KID YANG XU וLU YIN XU או התחלה של LU DRY יש כשל של מקור מים תחתון וגם עליון (העישון) תסמינים נוספים אפשריים - עצירות, קשיי נשימה, כאבי ברכיים, סחרחורות, שתן מרוכז וצהוב בעיות שינה, יכולות להיות הזעות ספונטניות (בגלל הפחד) תמונת הלשון - מחורצת (חריץ מהכליות, מבסיס הלשון), היא תהיה יבשה, נפולה - אין טונוס תמונת הדופק - KID - מהיר, ריק, לא חיוני, אין ויטליות תמונת הדופק - LU - שטחי, דק, ריק, אלמנט מהיר אסטרטגיה טיפולית - לחזק את הכליות, את האספקט של היין, את האספקט של הצ'י, לתמוך בLU, ללחלח אותן נקודות לטיפול הראשון - KID 7, מחזקת את היין ואת הצ'י יש למטופל יותר מדי מתכתיות, הוא מהוסס וסגור, הנקודה היא נהר, מתכת, חיזוק של הכליות היא מחזקת את הכליות בשני האספקטים","LU10, LU6, CV17, LU5, CO11, KID10, LU1, KID6, LU7, LU4, LU9, KID7, KID3, CV4, GB25",
What is LU DRY?,"הכליות אינן מעגנות את האנרגיה, KID YIN XU, גם KID YANG XU וLU YIN XU או התחלה של LU DRY יש כשל של מקור מים תחתון וגם עליון (העישון) תסמינים נוספים אפשריים - עצירות, קשיי נשימה, כאבי ברכיים, סחרחורות, שתן מרוכז וצהוב בעיות שינה, יכולות להיות הזעות ספונטניות (בגלל הפחד) תמונת הלשון - מחורצת (חריץ מהכליות, מבסיס הלשון), היא תהיה יבשה, נפולה - אין טונוס תמונת הדופק - KID - מהיר, ריק, לא חיוני, אין ויטליות תמונת הדופק - LU - שטחי, דק, ריק, אלמנט מהיר אסטרטגיה טיפולית - לחזק את הכליות, את האספקט של היין, את האספקט של הצ'י, לתמוך בLU, ללחלח אותן נקודות לטיפול הראשון - KID 7, מחזקת את היין ואת הצ'י יש למטופל יותר מדי מתכתיות, הוא מהוסס וסגור, הנקודה היא נהר, מתכת, חיזוק של הכליות היא מחזקת את הכליות בשני האספקטים","KID7, KID3, KID10, CV4, GB25, LU2, PC6, LU1",
What is SP YANG XU?,"יהיו לנו סימפטומים של SP YANG XU - קור בגפיים, חוסר תיאבון, חוסר T AND T, כאבי בטן המוטבים על ידי חום, עייפות תמונת הלשון - חיוורת, נפוחה עם סימני שיניים, כיסוי לבן דופק - איטי, חלש, עמוק, אין יאנג, אין ויטליות, אין מה שירים למעלה עיקרון טיפולי - חיזוק KID/SP YANG ולגרום לצ'י המרכזי בגוף שהנו הSP לעלות למעלה הסתבכויות - יכולים להיות לנו שלשולים כרוניים קרים בגלל הקור שנובע מחוסר T AND T הטיפול - רוצים לתת הרבה יאנג, זה על ידי מוקסה","BL23, KID2, KID7, BL60, CV9, SP9, SP6, SP7, TH3, TH2, BL22, CO11, CO9, ST36, KID10",
What is SP CHI XU?,"- אנו מדברים בדרך כלל על מצב החמרה של SP CHI XU או KID YANG XU - זה יכול להגיע גם מדיאטה של מזון קר לאורך זמן * כל הירקות השורשיים והכתומים - דלעת, דלורית, בטטה, גזר, סלק שמחזק דם,  - הטחול מאבד מהכוח היאנגי שלו ואחד התסמינים יהיה של קור נוסף על התסמינים של SP QI XU יתווספו תסמינים של קור בגפיים, קור כללי, יהיו כאבי בטן של כיווץ - יוטבו על ידי חום האדם יסבול משלשולים קרים עם חתיכות של אוכל לא מעוכל","SP3, ST36, BL20, BL23, LIV13, GV4",
What is HT QI XU?,"1 קודם כל HT QI XU, 2 מחלה כרונית ממושכת שהתישה את הגוף ","LU9, TH4, BL13, LU2, CV4, ST36, CV12",
What is HT YANG XU?,"* אטיולוגיה - של HT YANG XU וKID YANG XU * תסמינים - פלפיטציות, קוצר נשימה והרגשה של קור, הרבה השתנה, בצקות בקרסוליים וכפות הרגליים יהיו שלשולים קרים צואה מימית, כאבי גב, ברכיים, אימפוטנציה גם הFIRE של הכליות וגם של הלב לא נמצא","BL23, KID2, KID7, BL60, CV9, SP9, SP6, SP7, TH3, TH2, BL22, HT9, PC5, GB39, BL14",
What is HT YIN XU?,"אם זה לא המקור HT YIN XU או KID YIN XU עיקרון טיפולי - נרצה לחזק ST YIN וגם YIN כללי * לא נעשה שימוש במוקסה, במילא יש לנו חום מדומה נקודות הדיקור: ST 44 - נקודת מעיין, מים, שער הנוזלים, מחזקת KID YIN לפזר את ST 1 PC 6 - מסטר של YIN WEI, היא אמפירית נגד בחילות ונגד ריח רע מהפה CV 12 SP 12 - מחזקת יין אצל נשים ST 36 KID 27 - מחזקת יין אצל גברים KID 10 KID 7 KID 6 - אם יש צרבת ויובש הנקודה תהיה טובה ותעלה יין למעלה 4 ST FIRE BLAZING","KID3, KID6, HT8, HT3, HT7, ST40, LIV8, CV14, HT6, ST44, ST1, PC6, CV12, SP12, ST36",
What is HT BLOOD XU?,"HT YIN XU - החמרה של HT BLOOD XU יכול לבוא על רקע LIV BLOOD XU, יכול להופיע על רקע KID YIN XU, LIV YIN XU, גורם נוסף הוא מחלה כרונית ממושכת, כגון דלקת פרקים * גורם נוסף הנו מצב אמוציונלי כמו חרדות, כעס, תסכול, עצבות שיוצר סטגנציה, היוצרת חום ומעיבה על כל מערך הYIN בגוף כאשר יש לנו HT YIN XU התסמין העיקרי הנו שינה לא טובה, אנשים קמים הרבה פעמים במהלך הלילה וכן הם חולמים הרבה חלומות שהינם מאוד אמיתיים יש לנו פלפיטציות, אין את הכוח הייני שממתן, מרגיע, יש דפיקות לב מואצות, לא מוסדרות, ללא קשר למאמץ","ST37, SI4, SP4, BL11, CV14, PC6, CV4, SP10, SP1",
What is HT CHI XU?,"ה LU CHI XU יכול לגרום לHT CHI XU * תסמינים - של חסר צ'י כללי כמו חיוורון, עייפות, לאות, גפיים כבדות יהיה לנו גם תסמינים של HT, בעיקר פלפיטציות, בעיקר בשעת מאמץ בנוסף קוצר נשימה, עייפות כללית של כל הגוף","SP3, ST36, BL20, BL23, LIV13, HT7, HT9, HT5, SI4, HT6, KID22",
What is HT FIRE?,"* הכי מסוכן יכול להיות HT FIRE BLAZING ,דרך ST 40 עובר חום אל הHT * חום בתוך הCO דרך היאנג מינג * חום בSI דרך מערכת העיכול ","HT6, PC6, KID10, SP6, SP4, GB25, ST41, KID7",
What is KID QI XU?,"- החמרה של LU QI XU, יכול להיות גם KID QI XU, יכול להיות גם KID YANG XU סימפטומים:",,
What is KID YANG XU?,1 מצב קשה של חסר יאנג בSP שנובע או גורם לKID YANG XU 2 זה גורם לחסר יאנג בCO ויכול להוביל לקריסת הרקטום החלק האחרון של הCO נופל למטה סימפטומים שלשול ומלווה בדם,"GV4, LU7, CO4, BL13, KID2, ST37, ST39, CV4, CV6, BL39, CO10, KID3, ST36, LU1, SP6",
