Question,Answer,Trigger Points,Pharmacopeia
"When I am about to start a run, what can I do to warm up?","Begin with 3–5 minutes of easy walking, then dynamic moves like leg swings to activate running muscles.","ST36 (Zusanli), GB34 (Yanglingquan)",Cordyceps Sinensis (Energy)
"When I finish a run, how should I cool down?","Walk for a few minutes, then stretch calves, hamstrings, and quads for 20–30 seconds each.","BL57 (Chengshan), KI3 (Taixi)","Magnesium Glycinate, Zinc"
"As a swimmer aged 40+, how do I prevent shoulder injury?",Focus on rotator cuff warming with bands before entering water. Ensure high-elbow catch technique to reduce strain.,"LI15 (Jianyu), SI9 (Jianzhen)","Turmeric (Curcumin), Boswellia"
Recovering from a heavy CrossFit session (Young Adult)?,Prioritize active recovery and protein intake immediately. Use foam rolling on quads and lats.,"GB30 (Huantiao), BL23 (Shenshu)","Whey Protein, Creatine Monohydrate"
"Starting Tai Chi as a senior (60+), what implies knee safety?",Maintain a high stance initially. Ensure knees track over toes and do not collapse inward during weight shifts.,"ST35 (Dubi), SP9 (Yinlingquan)","Du Zhong (Eucommia Bark), Glucosamine"
Yoga practitioner feeling lower back tightness after backbends?,Counter-pose with gentle forward folds (Child's Pose). Engage core (Mula Bandha) to protect lumbar spine next time.,"BL23 (Shenshu), BL40 (Weizhong)","Xu Duan (Teasel Root), Arnica Montana"
Cyclist (50+) experiencing neck stiffness on long rides?,Check bike fit (handlebar height). Perform neck retractions and shoulder shrugs every 15 minutes while riding.,"GB20 (Fengchi), SI3 (Houxi)","Ge Gen (Kudzu Root), Magnesium Oil"
Golfer dealing with 'Golfer's Elbow' pain?,Strengthen forearm flexors. Massage the medial epicondyle area gently and use a brace if acute.,"HT3 (Shaohai), LI10 (Shousanli)","Bromelain, Jiang Huang (Turmeric)"
High-intensity interval training (HIIT) recovery for women 30+?,Hydrate with electrolytes immediately. Focus on sleep quality to regulate cortisol levels post-workout.,"SP6 (Sanyinjiao), LV3 (Taichong)","Ashwagandha, B-Complex Vitamins"
Marathon runner hitting 'The Wall' (Energy depletion)?,"Train metabolism with long slow runs. During race, consume gels every 45 mins. Mental focus on breath.","CV6 (Qihai), CV12 (Zhongwan)","Ren Shen (Ginseng), Electrolytes"
Elderly walking for fitness - calf cramping at night?,Ensure hydration and mineral balance. Stretch calves before bed. Keep legs warm.,"BL57 (Chengshan), SP6 (Sanyinjiao)",Shao Yao Gan Cao Tang (Peony & Licorice)
Tennis player with acute ankle sprain?,"R.I.C.E protocol (Rest, Ice, Compression, Elevation) immediately. Do not massage directly on swelling in first 24h.","GB40 (Qiuxu), ST41 (Jiexi)","San Qi (Notoginseng), Arnica Gel"
Qi Gong practice for mental stress and anxiety?,Focus on 'Dantian' breathing. Perform 'Shaking the Tree' movement to release tension.,"PC6 (Neiguan), HT7 (Shenmen)","Suan Zao Ren (Jujube Seed), Chamomile Tea"
Powerlifter aiming for CNS (Central Nervous System) recovery?,Sleep 8-9 hours. Contrast showers (Hot/Cold). Meditation/NSDR (Non-Sleep Deep Rest) sessions.,"GV20 (Baihui), KI1 (Yongquan)","Reishi Mushroom, ZMA (Zinc Magnesium Aspartate)"
Teenage athlete with growing pains (Osgood-Schlatter)?,Reduce jumping impact. Ice knees after activity. Stretch quadriceps regularly but gently.,"ST35 (Dubi), ST36 (Zusanli)","Calcium, Vitamin D3"
What should I eat before early morning training?,Light carbohydrates 30-60 minutes before: banana with honey or rice cake. Avoid heavy fats or protein.,"SP6 (Sanyinjiao), ST25 (Tianshu)","Honey, Dates, Shan Yao (Chinese Yam)"
How to prevent blisters during long-distance hiking?,Wear moisture-wicking socks. Apply anti-friction balm on hot spots. Break in boots gradually before the hike.,"ST41 (Jiexi), GB40 (Qiuxu)","Calendula Cream, Aloe Vera Gel"
Boxing training - protecting hands and wrists?,Wrap hands properly with 180-inch wraps. Strengthen wrist extensors. Use bag gloves appropriate for your weight class.,"LI4 (Hegu), TE5 (Waiguan)","Glucosamine, MSM (Methylsulfonylmethane)"
Pilates for core strength - beginner tips?,Focus on breath coordination (exhale on exertion). Engage transverse abdominis. Start with fundamental mat exercises.,"LV13 (Zhangmen), CV6 (Qihai)","Magnesium Citrate, Probiotics"
Rock climbing finger strength without injury (20s-30s)?,Progressive hangboard training. Rest 48h between sessions. Use open-hand grip rather than crimp when possible.,"LI4 (Hegu), TE5 (Waiguan)","Collagen Peptides, Vitamin C"
Pregnant woman (2nd trimester) - safe exercise?,"Walking, prenatal yoga, swimming. Avoid supine positions after 16 weeks. Monitor heart rate and hydration.","LV13 (Zhangmen), CV6 (Qihai)","Folate, Iron, Omega-3"
Post-menopause bone health through exercise?,"Weight-bearing activities: walking, dancing, resistance training 3x/week. Impact exercises if cleared medically.","GB34 (Yanglingquan), LV8 (Ququan)","Calcium Citrate, Vitamin K2, Vitamin D3"
Soccer player with recurring hamstring pulls?,Eccentric strengthening (Nordic curls). Dynamic warm-up with high knees. Address muscle imbalances.,"GB30 (Huantiao), BL60 (Kunlun)","Magnesium Glycinate, Bai Shao (White Peony)"
Triathlete experiencing ITB (Iliotibial Band) syndrome?,Reduce mileage temporarily. Foam roll lateral thigh. Strengthen hip abductors (glute medius).,"GB34 (Yanglingquan), LV8 (Ququan)","Fish Oil (Omega-3), Boswellia"
Badminton player with wrist tendonitis?,Ice after play. Use wrist brace during activity. Perform wrist curls and reverse wrist curls for strengthening.,"LI4 (Hegu), TE5 (Waiguan)","Bromelain, Niu Xi (Achyranthes Root)"
