id,segment,topic,patient_question,clinic_answer,tcm_focus_area,modality
1,condition_specific_global_burden,hypertension_support,I have high blood pressure. Can TCM help and is it safe?,"TCM may support stress reduction, sleep, and circulation alongside your prescribed medication; blood pressure must still be monitored by your doctor, and medicines are not stopped without medical advice.",Cardiovascular risk; Blood and Phlegm patterns,mixed
2,condition_specific_global_burden,hypertension_red_flags,"When is high blood pressure an emergency, not for TCM?","Severe headache, chest pain, shortness of breath, or neurological symptoms with high blood pressure require emergency care; TCM only plays a supportive role after stabilization.",Cardiovascular risk; Blood and Phlegm patterns,mixed
3,condition_specific_global_burden,cholesterol_support,My cholesterol is high. What can acupuncture or herbs do?,"TCM focuses on digestion, Dampï¿½ï¿½ï¿½Phlegm, and lifestyle changes such as diet and movement to support lipid balance, while you continue medical monit",Cardiovascular risk; Blood and Phlegm patterns,mixed
4,condition_specific_global_burden,heart_disease_history,I had a heart attack in the past. Can I still get acupuncture?,"Many postï¿½ï¿½ï¿½heartï¿½ï¿½ï¿½attack patients can receive gentle TCM care once stable, but intensity, positions, and points are adapted and cardiology followï¿½ï¿½ï¿½u",Cardiovascular risk; Blood and Phlegm patterns,mixed
5,condition_specific_global_burden,palpitations_non_emergency,I sometimes feel palpitations but my tests are normal. Can TCM help?,"If serious causes are ruled out, TCM can calm Shen, regulate Qi, and address triggers such as stress or caffeine, while you continue periodic medical checks.",Cardiovascular risk; Blood and Phlegm patterns,mixed
6,condition_specific_global_burden,leg_swelling_heart,My legs swell by evening. Is this for TCM?,"Leg swelling can be related to heart, kidney, or venous issues; medical evaluation comes first, then TCM can help circulation and fluid metabolism.",Cardiovascular risk; Blood and Phlegm patterns,mixed
7,condition_specific_global_burden,stroke_rehab,I had a stroke. What is the role of acupuncture now?,"Acupuncture is used in many countries in stroke rehabilitation to support mobility, spasticity, and mood, always in coordination with neurologists and physiotherapists.",Cardiovascular risk; Blood and Phlegm patterns,mixed
8,condition_specific_global_burden,cvd_lifestyle,What lifestyle changes do you suggest for heart health?,"TCM emphasizes moderate movement, stress management, reducing Dampï¿½ï¿½ï¿½forming foods, not smoking, and regular sleep as the base for any trea",Cardiovascular risk; Blood and Phlegm patterns,mixed
9,condition_specific_global_burden,family_history_cvd,My family has strong heartï¿½ï¿½ï¿½disease history. Can TCM preve,"TCM cannot replace screening or medications, but can support blood pressure, weight, and stress patterns to lower overall risk together with medical care.",Cardiovascular risk; Blood and Phlegm patterns,mixed
10,condition_specific_global_burden,cvd_exercise_safety,Is it safe for me to start exercise recommended by TCM?,"Patients with heart disease should follow cardiology advice; TCM suggests gentle, progressive movement and avoids sudden intense effort without clearance.",Cardiovascular risk; Blood and Phlegm patterns,mixed
