id,age_group,condition,tcm_pattern,acupuncture_points,pharmacopeia
1,adults_50_70,Menopausal hot flashes and night sweats,Kidney Yin Deficiency with Empty Heat,"KI-3 (Taixi), KI-6 (Zhaohai), SP-6 (Sanyinjiao), HT-6 (Yinxi), KI-7 (Fuliu), LV-2 (Xingjian)","Zhi Bai Di Huang Wan (Anemarrhena, Phellodendron, Rehmannia Pill)"
2,adults_50_70,Menopausal insomnia and irritability,Heart-Kidney Disharmony with Liver Qi Stagnation,"HT-7 (Shenmen), PC-6 (Neiguan), KI-3 (Taixi), SP-6 (Sanyinjiao), LV-3 (Taichong), Yintang",Tian Wang Bu Xin Dan (Emperor of Heaven's Special Pill) plus Xiao Yao San modified
3,adults_50_70,Post-menopausal vaginal dryness,Kidney Yin and Essence Deficiency,"KI-3 (Taixi), REN-4 (Guanyuan), SP-6 (Sanyinjiao), KI-13 (Qixue), LV-8 (Ququan)",Zuo Gui Wan (Restore the Left [Kidney] Pill)
4,adults_50_70,Menopausal depression and mood swings,Liver Qi Stagnation with Heart Blood Deficiency,"LV-3 (Taichong), PC-6 (Neiguan), HT-7 (Shenmen), SP-6 (Sanyinjiao), LV-14 (Qimen)",Xiao Yao San (Free and Easy Wanderer) plus Gan Mai Da Zao Tang
5,adults_50_70,Menopausal bone loss and osteoporosis prevention,Kidney Yang and Essence Deficiency,"KI-3 (Taixi), BL-23 (Shenshu), DU-4 (Mingmen), ST-36 (Zusanli), SP-6 (Sanyinjiao), BL-11 (Dazhu)",You Gui Wan (Restore the Right [Kidney] Pill)
6,adults_50_70,Menopausal weight gain and metabolic slowdown,Spleen Qi Deficiency with Dampness,"ST-36 (Zusanli), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), REN-12 (Zhongwan), ST-40 (Fenglong)","Shen Ling Bai Zhu San (Ginseng, Poria, Atractylodes Powder)"
7,adults_50_70,Menopausal heart palpitations,Heart Yin Deficiency with Empty Fire,"HT-7 (Shenmen), PC-6 (Neiguan), KI-3 (Taixi), REN-15 (Jiuwei), SP-6 (Sanyinjiao)",Tian Wang Bu Xin Dan (Emperor of Heaven's Special Pill)
8,adults_50_70,Menopausal memory fog and concentration issues,Kidney Essence Deficiency affecting Heart-Brain,"DU-20 (Baihui), KI-3 (Taixi), BL-23 (Shenshu), HT-7 (Shenmen), GB-39 (Xuanzhong)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia Pill) plus Bu Nao Herbs
9,adults_50_70,Post-menopausal urinary incontinence,Kidney Qi Not Consolidating,"REN-4 (Guanyuan), REN-6 (Qihai), SP-6 (Sanyinjiao), BL-23 (Shenshu), BL-28 (Pangguangshu)",Suo Quan Wan (Shut the Sluice Pill) plus Bu Zhong Yi Qi Tang
10,adults_50_70,Menopausal skin dryness and aging,Kidney and Lung Yin Deficiency,"LU-7 (Lieque), KI-6 (Zhaohai), SP-6 (Sanyinjiao), LI-4 (Hegu), KI-3 (Taixi)",Bai He Gu Jin Tang (Lily Bulb Preserve Metal Decoction)
11,adults_50_70,Andropause fatigue and low energy,Kidney Yang Deficiency with Qi Deficiency,"ST-36 (Zusanli), KI-3 (Taixi), REN-6 (Qihai), DU-4 (Mingmen), BL-23 (Shenshu)",Jin Gui Shen Qi Wan (Kidney Qi Pill from Golden Cabinet)
12,adults_50_70,Benign prostatic hyperplasia (BPH) with urinary frequency,Kidney Qi Deficiency with Damp-Heat in Lower Jiao,"BL-28 (Pangguangshu), REN-3 (Zhongji), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), KI-3 (Taixi)",Ba Zheng San (Eight-Herb Powder for Correction) modified
13,adults_50_70,Erectile dysfunction in middle age,Kidney Yang Deficiency with Liver Qi Stagnation,"REN-4 (Guanyuan), DU-4 (Mingmen), KI-3 (Taixi), BL-23 (Shenshu), ST-36 (Zusanli), LV-3 (Taichong)",Zan Yu Dan (Elaboration Pill) plus Gui Zhi Fu Ling Wan
14,adults_50_70,Low libido and decreased sexual function,Kidney Essence and Yang Deficiency,"KI-3 (Taixi), REN-4 (Guanyuan), DU-4 (Mingmen), BL-23 (Shenshu), BL-52 (Zhishi)",Wu Zi Yan Zong Wan (Five-Seed Progeny Pill)
15,adults_50_70,Andropause irritability and mood changes,Liver Qi Stagnation with Kidney Deficiency,"LV-3 (Taichong), LV-14 (Qimen), PC-6 (Neiguan), KI-3 (Taixi), ST-36 (Zusanli)",Chai Hu Shu Gan San (Bupleurum Liver-Soothing Powder) plus Liu Wei Di Huang Wan
16,adults_50_70,Prostate inflammation (chronic prostatitis),Damp-Heat and Blood Stasis in Lower Jiao,"REN-3 (Zhongji), SP-9 (Yinlingquan), SP-6 (Sanyinjiao), LV-5 (Ligou), BL-33 (Zhongliao)",Long Dan Xie Gan Tang (Gentian Drain Liver Decoction) plus Gui Zhi Fu Ling Wan
17,adults_50_70,Male pattern baldness acceleration,Kidney Essence and Liver Blood Deficiency,"KI-3 (Taixi), BL-23 (Shenshu), GB-20 (Fengchi), DU-20 (Baihui), LV-8 (Ququan)",Qi Bao Mei Ran Dan (Seven-Treasure Beautiful Whisker Pill)
18,adults_50_70,Andropause muscle loss and weakness,Spleen and Kidney Yang Deficiency,"ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-6 (Qihai), KI-3 (Taixi), DU-4 (Mingmen)",You Gui Wan (Restore Right [Kidney] Pill) plus Bu Zhong Yi Qi Tang
