question,answer,acupuncture_points,pharmacopeia
What TCM treatment helps patients who skip breakfast and feel weak in the morning?,"Spleen and Stomach Qi Deficiency with Yang Deficiency. Skipping breakfast depletes morning yang qi production. Tonify spleen, warm yang, restore morning digestive fire to build daily energy foundation.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), REN-6 (Qihai), BL-20 (Pishu), DU-14 (Dazhui)",Bu Zhong Yi Qi Tang (Tonify Middle) plus warming foods at breakfast
How does TCM address digestive issues from eating late at night?,"Spleen Yang Deficiency with Dampness Accumulation. Late eating overwhelms spleen when yang qi descends, creating dampness and phlegm. Warm spleen, resolve dampness, establish proper eating rhythm before 7pm.","REN-12 (Zhongwan), ST-36 (Zusanli), SP-9 (Yinlingquan), SP-6 (Sanyinjiao), REN-6 (Qihai), ST-40 (Fenglong)","Shen Ling Bai Zhu San (Ginseng, Poria) plus moxa on REN-12, avoid eating after 7pm"
What acupuncture points help someone with irregular eating patterns and bloating?,"Spleen and Stomach Disharmony with Qi Stagnation. Irregular times disrupt digestive rhythm and qi transformation. Harmonize middle jiao, regulate qi flow, establish consistent meal schedule.","REN-12 (Zhongwan), ST-25 (Tianshu), ST-36 (Zusanli), SP-6 (Sanyinjiao), PC-6 (Neiguan), LV-3 (Taichong)",Si Jun Zi Tang (Four Gentlemen) plus establish 3 regular meal times
How to treat fatigue from intermittent fasting (OMAD)?,"Qi and Blood Deficiency with Spleen Yang Depletion. Severe calorie restriction over time depletes vital qi and blood. Tonify qi-blood, strengthen spleen, gradually increase meal frequency and nourishment.","ST-36 (Zusanli), REN-6 (Qihai), SP-6 (Sanyinjiao), BL-20 (Pishu), BL-21 (Weishu), ST-25 (Tianshu)",Ren Shen Yang Rong Tang (Ginseng Nourish Luxuriance) plus Ba Zhen Tang (Eight Treasures)
What TCM approach helps patients who graze all day (5-6 small meals)?,"Spleen Qi Deficiency with Food Stagnation. Constant eating overworks spleen without rest, disrupting transformation. Strengthen spleen, resolve stagnation, reduce to 3 regular meals.","REN-12 (Zhongwan), ST-36 (Zusanli), SP-6 (Sanyinjiao), ST-25 (Tianshu), BL-20 (Pishu), PC-6 (Neiguan)","Bao He Wan (Preserve Harmony) plus reduce to 3 meals, allow digestive rest"
How does TCM support the best meal timing for digestive health?,"Optimal when largest meal at lunch (11am-1pm) during spleen-stomach peak qi time. Support earth element when strongest, ensure proper transformation and transportation function.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), BL-20 (Pishu), BL-21 (Weishu)","Xiang Sha Liu Jun Zi Tang (Aucklandia, Amomum Six-Gentleman) with largest meal at lunch"
What helps patients who eat largest meal at dinner and feel heavy?,"Spleen Qi Sinking with Dampness and Phlegm. Heavy evening meals create dampness as yang qi descends. Lift spleen qi, resolve dampness, shift meal timing to lunch for largest portion.","REN-12 (Zhongwan), ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), SP-6 (Sanyinjiao), REN-6 (Qihai)","Bao He Wan (Preserve Harmony) plus Ping Wei San (Calm Stomach), shift meals earlier"
How to treat digestive weakness from irregular meal times?,"Severe Spleen and Stomach Qi Deficiency. Irregular timing damages transformation function and depletes qi. Strengthen spleen-stomach, regulate qi, establish 3 meals at consistent times daily.","REN-12 (Zhongwan), ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-6 (Qihai), BL-20 (Pishu), BL-21 (Weishu)",Bu Zhong Yi Qi Tang (Tonify Middle) plus establish consistent daily schedule
What TCM treatment helps shift workers with disrupted eating schedules?,"Spleen-Kidney Yang Deficiency with Qi-Blood Disharmony. Night work disrupts circadian rhythm affecting organs. Tonify spleen-kidney yang, regulate qi-blood, adapt eating to work schedule.","ST-36 (Zusanli), REN-6 (Qihai), KI-3 (Taixi), SP-6 (Sanyinjiao), BL-20 (Pishu), BL-23 (Shenshu)","Jin Gui Shen Qi Wan (Kidney Qi Pill) plus adapt timing to work, maintain regularity"
How does TCM address poor appetite in the morning?,"Spleen Qi Deficiency with Yang Qi Not Rising. Morning appetite requires spleen yang and rising clear qi. Tonify spleen, warm yang, lift qi, start with warm foods.","REN-12 (Zhongwan), ST-36 (Zusanli), REN-6 (Qihai), SP-6 (Sanyinjiao), BL-20 (Pishu), DU-4 (Mingmen)",Bu Zhong Yi Qi Tang (Tonify Middle) plus warm breakfast foods
What helps patients who feel exhausted after eating?,"Spleen Qi Deficiency with Food Stagnation. Post-meal fatigue indicates weak spleen transformation. Strengthen spleen, resolve stagnation, eat smaller portions, avoid cold-damp foods.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), ST-25 (Tianshu), BL-20 (Pishu), PC-6 (Neiguan)","Xiang Sha Liu Jun Zi Tang (Aucklandia, Amomum) plus smaller portions, digestive bitters"
How to treat nausea and bloating from eating too quickly?,"Spleen Qi Deficiency with Rebellious Stomach Qi. Rushed eating prevents proper chewing and qi extraction. Strengthen spleen, descend stomach qi, slow down and chew thoroughly.","REN-12 (Zhongwan), PC-6 (Neiguan), ST-36 (Zusanli), ST-25 (Tianshu), SP-6 (Sanyinjiao)",Bao He Wan (Preserve Harmony) plus slow eating practice
What TCM treatment helps digestive issues from Standard Western diet?,"Spleen Qi Deficiency with Damp-Heat and Phlegm. Processed foods, excess sugar and fat create dampness-phlegm and deplete spleen. Transform phlegm-damp, clear heat, tonify spleen, shift to whole foods.","ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), REN-12 (Zhongwan), SP-6 (Sanyinjiao), LI-11 (Quchi)","Shen Ling Bai Zhu San (Ginseng, Poria) plus Er Chen Tang (Two-Cured)"
How does TCM support long-term vegetarians with fatigue and pale complexion?,"Qi and Blood Deficiency with Yang Qi Depletion. Long-term cooling vegetarian diet depletes blood and yang over time. Tonify qi-blood, warm yang, add eggs/fish or warming plant proteins.","ST-36 (Zusanli), SP-6 (Sanyinjiao), BL-17 (Geshu), BL-20 (Pishu), REN-6 (Qihai), DU-4 (Mingmen)","Ba Zhen Tang (Eight Treasures) plus warming proteins, consider fish/eggs"
What helps vegans experiencing cold hands/feet and low energy?,"Spleen-Kidney Yang Deficiency with Blood Deficiency. Vegan diet very cooling, depletes yang and blood. Tonify spleen-kidney yang, nourish blood, consider warming foods and supplements.","ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), KI-3 (Taixi), SP-6 (Sanyinjiao), BL-17 (Geshu)","You Gui Wan (Restore Right Kidney) plus warming foods, supplements"
How to treat dryness and constipation from ketogenic diet?,"Yin and Blood Deficiency with Internal Dryness. Keto diet warming-drying nature depletes yin and fluids. Nourish yin-blood, generate fluids, add moisture and cooling foods, balance fats.","KI-3 (Taixi), SP-6 (Sanyinjiao), BL-17 (Geshu), ST-36 (Zusanli), REN-12 (Zhongwan), KI-6 (Zhaohai)",Zeng Ye Tang (Increase Fluids) plus Liu Wei Di Huang Wan (Six-Ingredient Rehmannia)
What TCM approach helps raw food dieters with chronic diarrhea?,"Severe Spleen Yang Deficiency with Cold-Dampness. Raw foods extremely cold and damp, damage spleen yang transformation. Warm spleen yang, resolve cold-damp, transition to cooked warm foods.","REN-12 (Zhongwan), ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), SP-6 (Sanyinjiao), moxa therapy","Li Zhong Wan (Regulate Middle) with heavy moxa, warm foods only"
