Condition/Formula Name,Q&A (Questions and Answers),TCM Trigger Acupuncture Points,Pharmacopeia
Cancer General Support - Yu Ping Feng San Modified (Jade Windscreen with Anticancer Herbs),"Q: How does TCM support cancer patients? A: TCM supports by boosting immunity, reducing treatment side effects, improving quality of life, and addressing underlying imbalances. Q: Can this be used for all ages? A: Yes, dosage adjusted for pediatric, adult, and elderly patients based on constitution and conventional treatment.","ST36, SP6, LI4, LI11, BL20, BL21, CV12, GV14, BL17, CV4","Chinese Pharmacopoeia 2020, Integrative Oncology Protocols"
Chemo-Induced Nausea/Vomiting - Xuan Fu Dai Zhe Tang Modified,"Q: What does this treat in cancer patients? A: Nausea, vomiting, poor appetite during chemotherapy, particularly severe morning nausea. Q: What ages can use this? A: Safe for children (age 3+), adults, and elderly with dose modification; pediatric dose 1/4-1/2 adult dose.","PC6, ST36, CV12, ST25, LI4, SP4, PC8, CV13","Chinese Pharmacopoeia 2020, Oncology Supportive Care"
Chemo-Induced Bone Marrow Suppression - Dang Gui Bu Xue Tang + Huang Qi,"Q: What does this formula address? A: Leukopenia, anemia, thrombocytopenia following chemotherapy by tonifying Qi and Blood to support bone marrow recovery. Q: Is this safe for children with cancer? A: Yes, widely used in pediatric oncology with appropriate dosing; combines well with G-CSF when needed.","ST36, SP6, BL20, BL17, CV4, CV6, GV4, LI11","Chinese Pharmacopoeia 2020, Pediatric Oncology TCM Protocols"
Chemo-Induced Peripheral Neuropathy - Huang Qi Gui Zhi Wu Wu Tang,"Q: What syndrome does this treat? A: Numbness, tingling, pain in hands and feet from chemotherapy drugs (especially platinum-based and taxanes). Q: What is the mechanism? A: Warms channels, nourishes Blood, improves circulation to peripheral nerves, reduces oxidative nerve damage.","LI4, LI11, ST36, SP6, GB34, BL40, SI3, BL62","Chinese Pharmacopoeia 2020, Integrative Oncology"
Chemo Brain Fog/Fatigue - Bu Zhong Yi Qi Tang Modified,"Q: What does this address? A: Post-chemotherapy fatigue, cognitive impairment ('chemo brain'), poor concentration, memory issues. Q: How long should it be used? A: Can be used throughout treatment and recovery phase; improves mental clarity and energy within 2-4 weeks.","GV20, GV24, ST36, CV12, CV6, BL20, PC6, HT7","Chinese Pharmacopoeia 2020, Cancer Rehabilitation"
Radiation-Induced Dry Mouth (Xerostomia) - Sha Shen Mai Dong Tang,"Q: What condition does this treat? A: Severe dry mouth from head/neck radiation causing difficulty swallowing, speaking, tooth decay. Q: Does it help saliva production? A: Yes, nourishes Yin, generates fluids, stimulates salivary glands; often combined with acupuncture for best results.","LI4, ST36, KI6, LU7, CV24, ST6, LI18, CV23","Chinese Pharmacopoeia 2020, Radiation Oncology Support"
Radiation Burns/Skin Damage - Qing Ying Tang + External Applications,"Q: What does this treat? A: Radiation dermatitis, burns, skin inflammation from radiotherapy treatment fields. Q: Can this be used externally? A: Yes, internal decoction plus external wash/compress with herbs like Di Yu, Huang Lian, Bai Ji reduces inflammation and promotes healing.","LI4, LI11, SP10, BL17, GB21, local points around affected area","Chinese Pharmacopoeia 2020, External Applications Monograph"
Radiation-Induced Lung Injury (Pneumonitis) - Mai Men Dong Tang + Bei Sha Shen,"Q: What pattern does this address? A: Dry cough, shortness of breath, chest tightness from radiation to chest causing lung inflammation. Q: When should this be started? A: Can be used preventatively during radiation and for treatment of acute/chronic radiation pneumonitis.","LU1, LU5, LU9, CV17, BL13, ST36, KI6, CV22","Chinese Pharmacopoeia 2020, Pulmonary Oncology Protocols"
Lung Cancer Support - Yangzheng Xiaoji Capsule,"Q: What evidence supports this for lung cancer? A: Randomized controlled trials show 23.3% vs 14% response rate when combined with chemotherapy, reduces bone marrow suppression. Q: What does it do? A: Tonifies Qi, resolves phlegm, softens hardness, inhibits cancer cell adhesion/migration, reduces angiogenesis.","LU1, LU5, LU7, CV17, BL13, ST36, ST40, CV12","Chinese Pharmacopoeia 2020, Clinical Oncology Trials 2013"
Breast Cancer Support - Xiao Yao San + Xia Ku Cao + Chuan Shan Jia,"Q: What does this formula treat? A: Breast cancer with Liver Qi stagnation causing breast masses, pain, emotional stress, irregular menses. Q: Can this be used with hormone therapy? A: Yes, but avoid strongly estrogenic herbs; focus on Qi-regulating and Blood-invigorating herbs; consult oncologist.","LR3, GB34, CV17, ST18, SP6, PC6, LR14, SI1","Chinese Pharmacopoeia 2020, Breast Cancer Integrative Care"
Liver Cancer (HCC) Support - Hua Chan Su + Radix Astragali Formula,"Q: What is Hua Chan Su? A: Toad venom extract with bufadienolides; induces apoptosis in liver cancer cells, inhibits growth. Q: What are the risks? A: Can cause cardiac toxicity at high doses; requires professional monitoring; improves performance status in HCC patients.","LR3, LR14, GB34, BL18, BL19, ST36, SP6, CV12","Chinese Pharmacopoeia 2020, Hepatocellular Carcinoma Protocols"
Colorectal Cancer - Bai Hua She She Cao + Ban Zhi Lian + FOLFOX Support,"Q: How does this support colorectal cancer treatment? A: Used with FOLFOX chemotherapy; improves tumor response, reduces neutropenia, nausea, neurotoxicity. Q: What are the key herbs? A: Bai Hua She She Cao (Oldenlandia) and Ban Zhi Lian (Scutellaria barbata) have anti-tumor properties.","ST25, ST37, ST44, CV6, BL25, SP6, ST36, LI11","Chinese Pharmacopoeia 2020, GI Oncology TCM Protocols"
Gastric Cancer Support - Modified Huang Qi Jian Zhong Tang,"Q: What pattern does this address? A: Spleen-Stomach weakness in gastric cancer with poor appetite, weight loss, epigastric pain, fatigue. Q: Can this improve chemotherapy tolerance? A: Yes, strengthens Middle Jiao, reduces gastrointestinal side effects, improves nutritional status.","CV12, ST36, PC6, BL20, BL21, CV6, ST21, CV10","Chinese Pharmacopoeia 2020, Upper GI Cancer Management"
Pancreatic Cancer Support - Shen Qi Fuzheng + Hua Chan Su,"Q: What does this combination do? A: Shen Qi Fuzheng tonifies Qi, Hua Chan Su has anti-tumor effects; improves performance status, reduces chemo toxicity. Q: What is the prognosis support? A: Helps maintain quality of life; may extend survival time when combined with conventional treatment.","CV12, ST36, BL20, SP6, LR14, GB34, PC6, CV6","Chinese Pharmacopoeia 2020, Pancreatic Cancer Supportive Care"
Prostate Cancer - Liu Wei Di Huang Wan + Gui Zhi Fu Ling Wan,"Q: What syndrome is this for? A: Kidney deficiency with Blood stasis causing urinary symptoms, lower back pain, lower abdominal masses. Q: Can this be used with hormone therapy? A: Yes, supports Kidney function during androgen deprivation therapy; reduces hot flashes, fatigue, bone loss.","CV3, CV4, BL23, BL28, SP6, SP9, KI3, ST36","Chinese Pharmacopoeia 2020, Urological Oncology"
Ovarian Cancer - Gui Zhi Fu Ling Wan + Tao Hong Si Wu Tang,"Q: What does this formula address? A: Blood stasis and masses in Lower Jiao; supports treatment of ovarian masses, ascites, dysmenorrhea. Q: When is this used? A: Can be used alongside chemotherapy to improve pelvic circulation, reduce tumor burden, alleviate symptoms.","CV3, SP10, ST29, LR3, SP6, SP8, CV4, BL17","Chinese Pharmacopoeia 2020, Gynecologic Oncology"
