Question,Answer,Acupuncture_Points,Pharmacopeia
What are the four characteristics of Yin-Yang relationship?,"The four characteristics of Yin-Yang are: 1) Opposition - Yin and Yang are opposite but complementary forces. 2) Interdependence - Each depends on the other for its existence. 3) Mutual Consumption - As one increases, the other decreases. 4) Intertransformation - Under certain conditions, Yin can transform into Yang and vice versa.","CV-4, GV-20, HT-7, KI-3","Fu Zi, Huang Lian, Ren Shen, Zhi Mu"
Describe the generating (Sheng) and controlling (Ke) cycles of the Five Elements.,"Generating Cycle (Sheng): Wood generates Fire, Fire generates Earth, Earth generates Metal, Metal generates Water, Water generates Wood. Controlling Cycle (Ke): Wood controls Earth, Earth controls Water, Water controls Fire, Fire controls Metal, Metal controls Wood.","HT-7, HT-8, KI-2, KI-3, LR-3, LR-8, LU-10, LU-9, SP-2, SP-3","Dang Gui, Huang Lian, Huang Qi, Mai Men Dong, Shan Yao"
What are the five Zang (solid/Yin) organs and their primary functions?,The five Zang organs are: 1) Heart - governs Blood and houses the Shen (Spirit). 2) Lung - governs Qi and respiration. 3) Spleen - governs transportation and transformation of food. 4) Liver - stores Blood and ensures smooth Qi flow. 5) Kidney - stores Essence (Jing) and governs water metabolism.,"BL-13, BL-15, BL-18, BL-20, BL-23, HT-7, KI-3, LR-3, LU-9, SP-3","Dang Gui, Huang Qi, Ren Shen, Shu Di Huang"
What are the six Fu (hollow/Yang) organs and their functions?,"The six Fu organs are: 1) Small Intestine - separates clear from turbid. 2) Stomach - receives and ripens food. 3) Large Intestine - transports waste. 4) Gallbladder - stores and secretes bile, controls decision-making. 5) Bladder - stores and excretes urine. 6) San Jiao (Triple Burner) - governs water passages and Qi transformation.","BL-28, CV-12, GB-34, LI-4, SI-4, ST-25, ST-36, TE-5","Da Huang, Lai Fu Zi, Zhi Shi"
What are the main types of Qi in the body and their functions?,"Main types of Qi: 1) Yuan Qi (Original Qi) - inherited from parents, stored in Kidneys. 2) Zong Qi (Gathering Qi) - formed in chest from air and food. 3) Ying Qi (Nutritive Qi) - circulates in meridians with Blood. 4) Wei Qi (Defensive Qi) - protects body surface from external pathogens. 5) Zang-Fu Qi - Qi of each organ.","BL-23, CV-17, CV-4, CV-6, LU-7, ST-36","Bai Zhu, Dang Gui, Huang Qi, Ren Shen"
Name and describe the Six External Pathogens (Liu Yin).,"The Six External Pathogens are: 1) Wind - causes sudden onset, moving symptoms. 2) Cold - causes contraction, pain, stagnation. 3) Summer-Heat - causes fever, sweating, thirst. 4) Dampness - causes heaviness, stickiness, difficult to resolve. 5) Dryness - causes dry symptoms, damages fluids. 6) Fire/Heat - causes inflammatory symptoms, restlessness.","BL-12, GB-20, GV-14, LI-4, LU-7","Fang Feng, Gui Zhi, Jing Jie, Ma Huang, Sheng Jiang"
What are the Four Examinations (Si Zhen) in TCM diagnosis?,"The Four Examinations are: 1) Inspection (Wang) - observing spirit, complexion, tongue, body, and secretions. 2) Auscultation and Olfaction (Wen) - listening to voice, breath, cough; smelling body odor. 3) Inquiry (Wen) - asking about symptoms, medical history, lifestyle. 4) Palpation (Qie) - pulse taking, palpating channels and body.","HT-7, LU-9, PC-6, ST-9",N/A
Name the three positions and three levels of pulse diagnosis.,"Three Positions: 1) Cun (inch, distal) - relates to Heart/Lung (left), Lung/Pericardium (right). 2) Guan (bar, middle) - relates to Liver/Gallbladder (left), Spleen/Stomach (right). 3) Chi (cubit, proximal) - relates to Kidney (both sides), also Small Intestine/Bladder (left), Large Intestine (right). Three Levels: 1) Superficial (Fu) - light pressure. 2) Middle (Zhong) - moderate pressure. 3) Deep (Chen) - heavy pressure.","HT-7, KI-3, LU-8, LU-9, PC-7",N/A
Describe five common pathological pulse qualities.,"1) Floating (Fu) - felt at superficial level, indicates Exterior pattern. 2) Deep (Chen) - felt only with heavy pressure, indicates Interior pattern. 3) Rapid (Shu) - over 90 bpm, indicates Heat. 4) Slow (Chi) - under 60 bpm, indicates Cold. 5) Wiry (Xian) - feels like a tight string, indicates Liver issues or pain.","LU-9, PC-6, SP-6",N/A
What are the main aspects examined in tongue diagnosis?,"Main aspects: 1) Tongue Body Color - pale, red, crimson, purple. 2) Tongue Body Shape - thin, swollen, cracked, tooth-marked. 3) Tongue Coating Color - white, yellow, gray, black. 4) Tongue Coating Quality - thin, thick, peeled, greasy. 5) Tongue Moisture - dry, moist, wet. 6) Tongue Spirit - vitality and movement.","CV-23, HT-5, SP-6",N/A
What are the Eight Principles (Ba Gang) of pattern differentiation?,The Eight Principles are four pairs of opposites: 1) Interior (Li) vs. Exterior (Biao) - depth of disease. 2) Cold (Han) vs. Heat (Re) - nature of pathogen. 3) Deficiency (Xu) vs. Excess (Shi) - strength of Qi vs. pathogen. 4) Yin vs. Yang - overall nature categorization.,"CV-12, GV-14, LI-4, LU-7, ST-36","Da Huang, Ma Huang, Ren Shen, Shi Gao"
List the 12 primary meridians and their Yin-Yang pairing.,Yin-Yang pairs: 1) Lung (Yin) - Large Intestine (Yang). 2) Spleen (Yin) - Stomach (Yang). 3) Heart (Yin) - Small Intestine (Yang). 4) Kidney (Yin) - Bladder (Yang). 5) Pericardium (Yin) - San Jiao (Yang). 6) Liver (Yin) - Gallbladder (Yang).,"BL-40, GB-34, HT-7, KI-3, LI-4, LR-3, LU-7, PC-6, SI-3, SP-6, ST-36, TE-5",N/A
Name the Eight Extraordinary Vessels (Qi Jing Ba Mai).,The Eight Extraordinary Vessels are: 1) Du Mai (Governing Vessel). 2) Ren Mai (Conception Vessel). 3) Chong Mai (Penetrating Vessel). 4) Dai Mai (Girdle Vessel). 5) Yin Qiao Mai (Yin Heel Vessel). 6) Yang Qiao Mai (Yang Heel Vessel). 7) Yin Wei Mai (Yin Linking Vessel). 8) Yang Wei Mai (Yang Linking Vessel).,"BL-62, CV-4, CV-6, GB-41, GV-20, GV-4, KI-6, PC-6, SI-3, SP-4, TE-5",N/A
What are the Five Shu (Transport) Points and their applications?,"The Five Shu Points are: 1) Jing-Well (finger/toe tips) - treats fullness below Heart, mental issues. 2) Ying-Spring - treats Heat. 3) Shu-Stream - treats heaviness and joint pain. 4) Jing-River - treats cough, chills, fever. 5) He-Sea - treats disorders of Fu organs. Each corresponds to a Five Element and seasonal influence.","LI-1, LI-11, LI-2, LI-3, LI-5, LU-10, LU-11, LU-5, LU-8, LU-9",N/A
What are Yuan (Source) Points and when are they used?,Yuan Points are where the Original Qi (Yuan Qi) of each meridian gathers. There is one Yuan Point per meridian. They are used to: 1) Tonify deficiency of the organ. 2) Treat chronic diseases of the corresponding organ. 3) Regulate the Zang-Fu organ function. Often combined with Luo (Connecting) points for Zang-Fu relationships.,"BL-64, GB-40, HT-7, KI-3, LI-4, LR-3, LU-9, PC-7, SI-4, SP-3, ST-42, TE-4",N/A
Where are the Back-Shu Points located and what is their function?,"Back-Shu Points are located on the Bladder meridian, 1.5 cun lateral to the spine. Each corresponds to a Zang-Fu organ (e.g., BL-13 Fei Shu for Lung). Functions: 1) Treat disorders of corresponding organ. 2) Diagnostic - tender when organ is diseased. 3) Often used with Front-Mu points (Front-Back combination). 4) Effective for chronic and internal organ diseases.","BL-13, BL-14, BL-15, BL-18, BL-19, BL-20, BL-21, BL-22, BL-23, BL-25, BL-27, BL-28",N/A
What are Front-Mu (Alarm) Points and their clinical use?,Front-Mu Points are located on the chest and abdomen where Qi of each Zang-Fu organ gathers. Functions: 1) Treat acute conditions of corresponding organ. 2) Diagnostic - tender when organ has excess or acute pathology. 3) Often combined with Back-Shu points. 4) Effective for acute and excess conditions. Example: LR-14 (Qi Men) is Mu point for Liver.,"CV-12, CV-14, CV-17, CV-3, CV-4, CV-5, CV-7, GB-24, GB-25, LR-13, LR-14, LU-1",N/A
Describe three main needle insertion angles and their applications.,"1) Perpendicular (90°) - used for points on fleshy areas like limbs, buttocks, abdomen. Allows deeper penetration. 2) Oblique (45°) - used for areas with less flesh or where perpendicular is unsafe (e.g., chest, back, face). 3) Horizontal/Transverse (15-25°) - used for thin areas like scalp, face, or when threading between points.","BL-40, GB-20, GV-20, LI-4, ST-36",N/A
What is De Qi and why is it important?,"De Qi (Arrival of Qi) is the sensation felt by both practitioner and patient when Qi is accessed during needling. Patient may feel: soreness, numbness, heaviness, distension. Practitioner feels: heaviness, pulling on needle. Importance: 1) Indicates proper needle placement. 2) Necessary for therapeutic effect. 3) Sign that Qi is being regulated. Without De Qi, treatment effectiveness is reduced.","GB-34, LI-4, LR-3, SP-6, ST-36",N/A
Explain the basic principles of Tonification (Bu) vs. Sedation (Xie) in needling.,Tonification (Bu) - used for Deficiency: 1) Insert needle gently and slowly. 2) Shallow insertion. 3) Retain needle longer. 4) Remove needle quickly. 5) Close hole after removal. Sedation (Xie) - used for Excess: 1) Insert needle quickly. 2) Deeper insertion. 3) Shorter retention time. 4) Remove needle slowly. 5) Leave hole open. Rotation and lifting-thrusting techniques also differ.,"CV-6, LI-4, LR-3, SP-6, ST-36","Da Huang, Huang Qi, Mang Xiao, Ren Shen"
