question,answer,acupuncture_points,pharmacopeia
What is the immediate TCM approach for traumatic shock?,Restore Yang qi and consciousness using resuscitation points. Focus on stabilizing Shen (spirit) and preventing qi collapse.,"DU-26 (Renzhong), DU-20 (Baihui), PC-6 (Neiguan), KI-1 (Yongquan), LI-4 (Hegu)","Sheng Mai San (Restore the Pulse Powder) - Ren Shen, Mai Men Dong, Wu Wei Zi"
How do you treat severe blood loss (hemorrhagic shock)?,"Tonify qi and blood urgently, stop bleeding, and prevent organ collapse. Strengthen Spleen and Kidney yang.","SP-6 (Sanyinjiao), ST-36 (Zusanli), SP-10 (Xuehai), LI-4 (Hegu), SP-1 (Yinbai)","Dang Gui Bu Xue Tang (Tangkuei Decoction to Tonify Blood) - Huang Qi, Dang Gui"
What points treat traumatic unconsciousness?,Open the orifices and restore consciousness by clearing obstruction and anchoring the spirit.,"DU-26 (Renzhong), DU-20 (Baihui), PC-9 (Zhongchong), LI-4 (Hegu), Yintang (Extra)",An Gong Niu Huang Wan (Calm the Palace Pill with Cattle Gallstone) - emergency resuscitation
How to address acute pain from multiple fractures?,"Move qi and blood in channels, reduce swelling, stop pain. Use distal and local points.","LI-4 (Hegu), LI-11 (Quchi), GB-34 (Yanglingquan), SP-6 (Sanyinjiao), Ashi points","Die Da Wan (Trauma Pill) - Ru Xiang, Mo Yao, Dang Gui, Hong Hua"
What is the treatment for traumatic internal bleeding?,"Stop bleeding, move stagnant blood, prevent blood stasis accumulation while preserving zheng qi.","SP-10 (Xuehai), LV-3 (Taichong), SP-6 (Sanyinjiao), ST-36 (Zusanli), SP-1 (Yinbai)",Yun Nan Bai Yao (Yunnan White Medicine) - emergency hemostatic formula
How do you treat acute head trauma with confusion?,"Clear heat from head, calm spirit, resolve phlegm obstruction, restore mental clarity.","DU-20 (Baihui), DU-26 (Renzhong), GB-20 (Fengchi), Yintang, Sishencong (Extra)",Tong Qiao Huo Xue Tang (Free the Orifices and Invigorate Blood Decoction)
What points address traumatic respiratory distress?,"Open chest, regulate lung qi, descend rebellious qi, restore normal breathing pattern.","LU-7 (Lieque), REN-17 (Danzhong), LU-1 (Zhongfu), PC-6 (Neiguan), ST-40 (Fenglong)",Su Zi Jiang Qi Tang (Perilla Seed Qi-Descending Decoction) if wheezing present
How to treat blast injury with chest trauma?,"Regulate qi in chest, stop bleeding, reduce swelling, prevent blood stasis in thorax.","REN-17 (Danzhong), LU-1 (Zhongfu), PC-6 (Neiguan), BL-17 (Geshu), LI-4 (Hegu)",Xue Fu Zhu Yu Tang (Drive Out Stasis in the Mansion of Blood Decoction)
What is the emergency treatment for spinal trauma?,"Protect essence, tonify kidney, regulate du mai, reduce inflammation along spine.","DU-14 (Dazhui), DU-4 (Mingmen), BL-23 (Shenshu), GB-34 (Yanglingquan), avoid manipulation",Du Huo Ji Sheng Tang (Angelica Pubescens and Loranthus Decoction) - modified
How do you address acute traumatic pain crisis?,"Strongly move qi and blood, open channels, use master points for pain relief immediately.","LI-4 (Hegu), LV-3 (Taichong), GB-34 (Yanglingquan), SP-6 (Sanyinjiao), local Ashi",Yan Hu Suo San (Corydalis Powder) - strong analgesic effect
What points treat crush injuries with tissue damage?,"Promote blood circulation, remove stasis, reduce swelling, regenerate tissues, prevent necrosis.","SP-10 (Xuehai), LV-3 (Taichong), GB-34 (Yanglingquan), LI-11 (Quchi), ST-36 (Zusanli)",Huo Xue Zhi Tong Tang (Invigorate Blood and Stop Pain Decoction)
How to manage traumatic abdominal injuries?,"Regulate qi in middle jiao, stop bleeding, prevent peritonitis, support spleen and stomach.","ST-36 (Zusanli), REN-12 (Zhongwan), REN-6 (Qihai), ST-25 (Tianshu), SP-6 (Sanyinjiao)",Shao Fu Zhu Yu Tang (Drive Out Blood Stasis in the Lower Abdomen Decoction)
What is the treatment for traumatic limb amputation (acute)?,"Stop bleeding urgently, stabilize shock, tonify qi and blood massively, calm spirit.","SP-1 (Yinbai), LI-4 (Hegu), ST-36 (Zusanli), HT-7 (Shenmen), proximal to injury",Du Sheng San (Only Ginseng Powder) for severe qi collapse + Yun Nan Bai Yao
How do you treat burns from explosions?,"Clear heat and fire toxins, nourish yin, prevent fluid loss, promote tissue regeneration.","LI-11 (Quchi), SP-6 (Sanyinjiao), SP-10 (Xuehai), ST-44 (Neiting), distal points only",Qing Ying Tang (Clear the Nutritive Level Decoction) + topical Jing Wan Hong ointment
What points address acute emotional trauma (psychological shock)?,"Calm spirit, anchor ethereal soul, regulate heart and liver, open chest to release constraint.","HT-7 (Shenmen), PC-6 (Neiguan), DU-20 (Baihui), LV-3 (Taichong), Yintang","Gan Mai Da Zao Tang (Licorice, Wheat, and Jujube Decoction) for anxiety"
How to treat chronic post-traumatic pain?,"Invigorate blood, remove long-term stasis, open channels, harmonize ying and wei.","LI-4 (Hegu), LV-3 (Taichong), SP-6 (Sanyinjiao), GB-34 (Yanglingquan), BL-17 (Geshu)",Shen Tong Zhu Yu Tang (Drive Out Blood Stasis from a Painful Body Decoction)
What is the treatment for phantom limb pain?,"Regulate qi and blood in affected channel, calm spirit, anchor ethereal soul, address residual pathogen.","LI-4 (Hegu), GB-34 (Yanglingquan), HT-7 (Shenmen), LV-3 (Taichong), mirror points opposite limb",Shao Yao Gan Cao Tang (Peony and Licorice Decoction) for muscle spasms
How do you address neuropathic pain from nerve damage?,"Nourish blood, open channels, extinguish wind, regulate liver and kidney to support nerves.","GB-34 (Yanglingquan), BL-60 (Kunlun), GB-39 (Xuanzhong), LV-3 (Taichong), SP-6 (Sanyinjiao)",Huang Qi Gui Zhi Wu Wu Tang (Astragalus and Cinnamon Twig Five Herb Decoction)
What points treat intercostal pain from rib fractures?,"Move qi in channels, stop pain, reduce stagnation in hypochondrium, harmonize liver and gallbladder.","GB-34 (Yanglingquan), LV-3 (Taichong), GB-40 (Qiuxu), LV-14 (Qimen), local Jiaji points",Chai Hu Shu Gan San (Bupleurum Powder to Spread the Liver)
