Western/Common Language Symptom,TCM Pattern Name,TCM Pattern Description,Key TCM Terms Used,Clinical Notes
Feeling sad all the time,Lung Qi Deficiency with Shen Disturbance,Bei Shang Fei Qi Xu (悲伤肺气虚) - Sadness depleting Lung Qi,"Bei (悲 sadness), Qi Xu (气虚 Qi deficiency), Fei (肺 Lung), Shen Bu An (神不安 Spirit unsettled)",Primary grief pattern. Sadness is the emotion of the Lung. Bei Shang Guo Du (excessive sadness) damages Lung Qi.
"Can't stop crying, tears come easily",Lung Qi Xu - Wei Qi Bu Gu,Lung Qi deficiency - Defensive Qi not consolidating (泪出不止 tears continuously flowing),"Lei (泪 tears), Wei Qi Bu Gu (卫气不固 defensive Qi not securing), Fei Qi Xu (肺气虚)","Lungs control opening and closing of pores/orifices. When weak, fluids leak out as tears. Spontaneous tearing = Wei Qi deficiency."
"Feeling irritable, easily angered",Gan Qi Yu Jie (Liver Qi Stagnation),Liver Qi Constraint and Binding (肝气郁结) - Qi not flowing smoothly,"Yu (郁 constraint/depression), Jie (结 binding), Gan Huo (肝火 Liver Fire), Qi Zhi (气滞 Qi stagnation)",Unexpressed grief transforms to Liver constraint. May progress to Gan Huo Shang Yan (Liver Fire flaring upward).
"Feeling numb, emotionally shut down",Qi Xue Liang Xu with Shen Ming Feng Bi,Qi and Blood dual deficiency with Spirit-Brightness blocked (神明闭塞),"Qi Xue Liang Xu (气血两虚 Qi-Blood both deficient), Shen Ming (神明 Spirit-Brightness), Feng Bi (封闭 sealed/blocked)",Extreme depletion. Shen cannot manifest. Ma Mu (麻木 numbness) extends to emotions. Severe chronic grief pattern.
"Anxiety, feeling on edge, panic",Xin Shen Bu Ning or Xin Dan Qi Qie,Heart-Spirit not peaceful (心神不宁) or Heart timid Qi timid (心胆气怯),"Shen Bu Ning (神不宁 Spirit not calm), Jing Ji (惊悸 fright palpitations), Xin Huo (心火 Heart Fire)",Grief affecting Heart. May involve Xin Pi Liang Xu (Heart-Spleen deficiency) or Xin Shen Bu Jiao (Heart-Kidney not communicating).
"Depression, no interest in life",Yu Zheng (Depression Pattern),Constraint pattern (郁证) - Seven emotions damaging internal organs causing Qi mechanism disorder,"Qi Ji Yu Zhi (气机郁滞 Qi mechanism stagnant), Qing Zhi Bu Shu (情志不舒 emotions not flowing), Wu Zang Shi Tiao (五脏失调)","Yu Zheng has subtypes: Qi Yu, Huo Yu, Tan Yu, Xue Yu, Shi Yu, Shi Yu (6 constraints). Chronic grief progression."
"Tight chest, pressure on chest",Xiong Bi or Tan Qi Jiao Jie,Chest Blockage (胸痹) or Phlegm-Qi Bind and Knot (痰气交结),"Xiong Men (胸闷 chest oppression), Qi Zhi (气滞 Qi stagnation), Tan Zu (痰阻 phlegm obstruction)",Common grief complication. Xiong Bi usually implies Heart-Lung area. May progress to Xin Xue Yu Zu (Heart Blood stasis).
"Lump in throat, can't swallow",Mei He Qi (Plum-Pit Qi),Plum-Pit Qi (梅核气) - sensation of obstruction that cannot be swallowed or expectorated,"Yan Zhong Ru Zu (咽中如阻 throat as if obstructed), Tan Qi Hu Jie (痰气互结 phlegm-Qi mutually binding)",Classic grief pattern. Also called Globus Hystericus. Caused by Qi Yu Sheng Tan (Qi constraint generating phlegm).
"Shallow breathing, can't take deep breath",Fei Qi Bu Xuan Bu Jiang,Lung Qi not dispersing not descending (肺气不宣不降),"Hu Xi Duan Qian (呼吸短浅 breathing short and shallow), Qi Duan (气短 shortness of breath), Fei Shi Xuan Jiang (肺失宣降)",Lung's dispersing and descending functions impaired. Fundamental lung dysfunction from grief.
Sighing frequently,Gan Qi Yu Jie - Tai Xi,Liver Qi Stagnation - Long Sighing (太息),"Tai Xi (太息 sighing), Shan Tai Xi (善太息 tendency to sigh), Gan Yu Qi Zhi (肝郁气滞)",Sighing = body's attempt to move stagnant Liver Qi. Diagnostic sign of Gan Qi Yu Jie.
"Extreme fatigue, no energy",Qi Xu or Pi Fei Qi Xu,Qi deficiency (气虚) or Spleen-Lung Qi deficiency (脾肺气虚),"Pi Juan (疲倦 fatigue), Wu Li (无力 weakness), Shen Pi Fa Li (神疲乏力 spirit tired strength lacking)",Qi Xu is root pattern. May progress to Yang Xu (Yang deficiency) if prolonged. Involves multiple organs.
