Number,Body_Part,Description,Acupuncture_Points,WHO_Pharmacopeia_Reference
1,Abdomen,"Front view of abdominal region from lower ribcage to pubic area, including umbilicus and linea alba",24 points (Ren/CV: CV 2-14; Stomach: ST 19-30; Kidney: KI 11-21; Spleen: SP 13-16),"WHO Standard 2008 - Abdomen region pp.59-61, 75-77, 141-146"
2,Shoulder (Lateral),"Side view of shoulder including deltoid muscle, acromion process, and scapular area",8 points (LI 15-16; SI 9-10; TE 13-14; GB 21),"WHO Standard 2008 - Shoulder girdle pp.41-42, 92-93, 164-165, 182"
3,Neck (Posterior),"Back view of neck from occiput to upper thoracic spine, showing trapezius and cervical vertebrae",12 points (Bladder: BL 10; SI 15; GB 20-21; GV 14-16),"WHO Standard 2008 - Posterior neck region pp.104, 95, 181-182, 210-211"
4,Palm,"Palmar view showing thenar/hypothenar eminences, palmar creases, and finger web spaces",6 points (Pericardium: PC 7-8; Heart: HT 7-9; Lung: LU 10),"WHO Standard 2008 - Palm region pp.30, 85-86, 155"
5,Hand (Back/Dorsal),"Dorsal hand showing extensor tendons, metacarpal bones, and web spaces between fingers",18 points (LI 1-5; SI 1-5; TE 1-4; Hand microsystem points),"WHO Standard 2008 - Hand dorsum pp.34-36, 88-90, 158-159"
6,Scalp (Lateral),Side view of scalp from forehead hairline to occipital area for neurological scalp acupuncture,28 points (Bladder: BL 3-9; GB 4-20; scalp zones for motor/sensory cortex),"WHO Standard 2008 - Scalp region pp.101-104, 173-181; Scalp acupuncture zones (Yamamoto, Jiao method)"
7,Face (Close-up),"Detailed front facial view showing nasolabial folds, philtrum, and facial landmarks",32 points (Stomach: ST 1-8; LI 19-20; GB 1-3; BL 1-2; GV 24-28),"WHO Standard 2008 - Face region pp.46-49, 43, 172-173, 100, 215-217"
8,Knee (Anterior),"Front knee view showing patella, patellar tendon, and surrounding joint structures",11 points (Stomach: ST 34-35; Spleen: SP 10; Liver: LR 8; Extra points: Xiyan),"WHO Standard 2008 - Anterior knee pp.63, 74, 199"
9,Ankle (Lateral),"Side view of ankle showing malleoli, Achilles tendon, and ankle joint",14 points (Bladder: BL 60-62; Kidney: KI 3-6; GB 39-40),"WHO Standard 2008 - Ankle lateral aspect pp.129-131, 137-138, 191"
10,Sacrum (Posterior),Back view of sacral region showing posterior sacral foramina and sacral dimples,12 points (Bladder: BL 27-34; GV 1-4),"WHO Standard 2008 - Sacral region pp.113-116, 204-205"
11,Neck (Lateral),"Side view showing sternocleidomastoid muscle, anterior/posterior triangles of neck",14 points (Stomach: ST 9-11; LI 17-18; SI 16-17; TE 16-17; GB 12),"WHO Standard 2008 - Lateral neck pp.50-51, 42-43, 95-97, 165-166, 177"
12,Neck (Anterior),"Front neck view showing throat, hyoid bone, thyroid cartilage, and suprasternal notch",10 points (Ren/CV: CV 21-23; Stomach: ST 9-12),"WHO Standard 2008 - Anterior neck pp.230-231, 50-51"
13,Shoulder (Anterior),"Front shoulder showing clavicle, anterior deltoid, and upper pectoral region",6 points (Lung: LU 1-2; Stomach: ST 12-13; LI 15),"WHO Standard 2008 - Anterior shoulder pp.26, 51-52, 41"
14,Shoulder (Posterior),"Back shoulder showing scapula, infrascapular region, and trapezius muscle",9 points (Small Intestine: SI 9-15; Bladder: BL 41-46),"WHO Standard 2008 - Posterior shoulder pp.92-95, 120-122"
15,Ankle (Medial),Inner ankle showing medial malleolus and three yin meridians pathway,9 points (Kidney: KI 3-7; Spleen: SP 5-6; Liver: LR 4),"WHO Standard 2008 - Medial ankle pp.137-139, 72, 197"
16,Knee (Lateral),"Side knee view showing fibular head, lateral condyle, and iliotibial band",4 points (Gallbladder: GB 33-34; Stomach: ST 36),"WHO Standard 2008 - Lateral knee pp.188, 64"
17,Knee (Medial),"Inner knee showing medial condyle, pes anserinus, and three yin meridians",5 points (Spleen: SP 9-10; Kidney: KI 10; Liver: LR 7-8),"WHO Standard 2008 - Medial knee pp.74, 140, 199"
18,Knee (Posterior),"Back of knee showing popliteal fossa, hamstring tendons, and gastrocnemius heads",5 points (Bladder: BL 39-40; Kidney: KI 10),"WHO Standard 2008 - Posterior knee pp.119, 140"
