id,age_group,patient_question_prompt
1,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 1."
2,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 2."
3,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 3."
4,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 4."
5,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 5."
6,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 6."
7,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 7."
8,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 8."
9,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 9."
10,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 10."
11,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 11."
12,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 12."
13,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 13."
14,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 14."
15,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 15."
16,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 16."
17,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 17."
18,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 18."
19,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 19."
20,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 20."
21,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 21."
22,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 22."
23,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 23."
24,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 24."
25,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 25."
26,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 26."
27,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 27."
28,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 28."
29,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 29."
30,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 30."
31,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 31."
32,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 32."
33,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 33."
34,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 34."
35,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 35."
36,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 36."
37,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 37."
38,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 38."
39,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 39."
40,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 40."
41,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 41."
42,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 42."
43,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 43."
44,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 44."
45,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 45."
46,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 46."
47,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 47."
48,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 48."
49,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 49."
50,adults_50_70,"This patient is aged 50–70. Ask clarifying questions that include chronic disease history, medications, sleep, pain, digestion, emotions, and energy, using TCM concepts and my stored assets. Case 50."
