Question_Assessment,TCM_Pattern_Diagnosis,CM_Dot_Numbers_Acupoints,Pharmacopeia_Formula
"Does the child have delayed speech development compared to peers?",Heart/Kidney Qi Deficiency,HT5 (Tongli) + KI3 (Taixi) + DU20 (Baihui),Bu Nao Wan (Brain Tonic)
"Is the child hyperactive and unable to sit still in class?",Liver Yang Rising / Heat,LR3 (Taichong) + LI4 (Hegu) + DU20 (Baihui),Kong Sheng Zhen Zhong Dan
"Does the child experience night terrors or scream during sleep?",Heart Heat / Liver Fire,HT7 (Shenmen) + LR2 (Xingjian) + Yintang,Dao Chi San (Guide Out Red)
"Is the child prone to bedwetting past age 5?",Kidney Qi Deficiency,UB23 (Shenshu) + CV4 (Guanyuan) + KI3 (Taixi),Sang Piao Xiao San
"Does the child have poor memory or difficulty focusing on homework?",Spleen/Heart Blood Deficiency,SP6 (Sanyinjiao) + HT7 (Shenmen) + Sishencong,Gui Pi Tang (Restore the Spleen)
"Does the teenager exhibit extreme mood swings and irritability?",Liver Qi Stagnation,LR3 (Taichong) + GB34 (Yanglingquan) + PC6 (Neiguan),Xiao Yao San (Free & Easy Wanderer)
"Is the teenager suffering from acne worsened by stress?",Lung/Stomach Heat,LI11 (Quchi) + LU5 (Chize) + BL13 (Feishu),Pi Pa Qing Fei Yin
"Does the teenager have trouble falling asleep due to racing thoughts?",Heart Yin Deficiency,HT7 (Shenmen) + SP6 (Sanyinjiao) + Anmian,Tian Wang Bu Xin Dan
"Does the teenager experience exam anxiety with palpitations?",Heart/Gallbladder Qi Deficiency,HT7 (Shenmen) + GB40 (Qiuxu) + PC6 (Neiguan),An Shen Ding Zhi Wan
"Is the teenager lethargic and unmotivated (dampness signs)?",Spleen Qi Deficiency with Damp,SP9 (Yinlingquan) + ST40 (Fenglong) + ST36 (Zusanli),Shen Ling Bai Zhu San
"Does the young adult experience frequent tension headaches?",Liver Yang Rising,GB20 (Fengchi) + LR3 (Taichong) + Taiyang,Tian Ma Gou Teng Yin
"Is the patient experiencing burnout from a high-pressure job?",Kidney/Heart Yin Deficiency,KI3 (Taixi) + HT7 (Shenmen) + CV4 (Guanyuan),Liu Wei Di Huang Wan
"Does the patient rely on caffeine to function in the morning?",Kidney Yang Deficiency,UB23 (Shenshu) + GV4 (Mingmen) + KI7 (Fuliu),You Gui Wan
"Is there brain fog after eating lunch?",Spleen Qi Deficiency,ST36 (Zusanli) + SP3 (Taibai) + CV12 (Zhongwan),Xiang Sha Liu Jun Zi Tang
"Does the patient have difficulty making decisions (Gallbladder issue)?",Gallbladder Qi Deficiency,GB40 (Qiuxu) + GB34 (Yanglingquan),Wen Dan Tang (Warm the Gallbladder)
"Is the patient easily startled or fearful?",Kidney/Heart Disharmony,KI3 (Taixi) + HT7 (Shenmen) + PC6 (Neiguan),Ding Zhi Wan
"Does the patient experience visual fatigue or dry eyes from screens?",Liver Blood Deficiency,UB18 (Ganshu) + ST1 (Chengqi) + GB37 (Guangming),Qi Ju Di Huang Wan
"Is there chronic neck stiffness affecting concentration?",Taiyang Meridian Stagnation,SI3 (Houxi) + UB10 (Tianzhu) + GB20 (Fengchi),Ge Gen Tang
"Does the patient wake up between 1 AM and 3 AM?",Liver Fire / Stagnation,LR2 (Xingjian) + LR14 (Qimen),Long Dan Xie Gan Tang
"Is the patient experiencing postpartum memory loss ('Mommy Brain')?",Blood Deficiency,ST36 (Zusanli) + SP10 (Xuehai) + CV4 (Guanyuan),Ba Zhen Tang (Eight Treasures)
"Does the patient feel a 'lump in the throat' when stressed?",Liver Qi Stagnation (Plum Pit Qi),CV22 (Tiantu) + PC6 (Neiguan) + LR3 (Taichong),Ban Xia Hou Po Tang
"Is there anxiety accompanied by shortness of breath?",Lung/Kidney Qi Deficiency,LU9 (Taiyuan) + KI6 (Zhaohai) + CV17 (Danzhong),Su Zi Jiang Qi Tang
"Does the patient have obsessive looping thoughts?",Spleen Qi Knotting,SP3 (Taibai) + HT7 (Shenmen) + Yi She (BL49),Gui Pi Tang
"Is the patient grieving a significant loss?",Lung Qi Stagnation / Po Soul,LU7 (Lieque) + UB13 (Feishu) + DU20 (Baihui),Gan Mai Da Zao Tang
"Does the patient have cold hands and feet with mental fatigue?",Yang Deficiency,GV14 (Dazhui) + CV6 (Qihai) + ST36 (Zusanli),Si Ni Tang (Frigid Extremities)
"Is the patient irritable with red eyes and a bitter taste in mouth?",Liver Fire Blazing,LR2 (Xingjian) + GB20 (Fengchi) + GB34 (Yanglingquan),Long Dan Xie Gan Tang
"Does the patient experience dizziness or vertigo?",Phlegm Dampness / Liver Wind,ST40 (Fenglong) + GV20 (Baihui) + PC6 (Neiguan),Ban Xia Bai Zhu Tian Ma Tang
"Is the patient suffering from insomnia (waking early)?",Heart/Gallbladder Deficiency,HT7 (Shenmen) + GB40 (Qiuxu),Suan Zao Ren Tang
"Does the patient have lower back pain associated with mental fatigue?",Kidney Deficiency,UB23 (Shenshu) + KI3 (Taixi) + DU4 (Mingmen),Du Huo Ji Sheng Tang
"Is the patient recovering from a concussion or head trauma?",Blood Stagnation,GB20 (Fengchi) + DU20 (Baihui) + SP10 (Xuehai),Tong Qiao Huo Xue Tang
"Does the patient feel 'manic' or unable to stop talking?",Phlegm Fire Misting the Heart,PC5 (Jianshi) + ST40 (Fenglong) + HT7 (Shenmen),Wen Dan Tang
"Is the patient withdrawing socially (depression signs)?",Liver Qi Stagnation / Shen disturbance,LR3 (Taichong) + DU20 (Baihui) + Yintang,Chai Hu Shu Gan San
"Does the patient have tremors or tics?",Liver Wind Agitating,LR3 (Taichong) + GB20 (Fengchi) + GB34 (Yanglingquan),Tian Ma Gou Teng Yin
"Is the patient experiencing tinnitus (high pitched)?",Kidney Yin Deficiency,KI3 (Taixi) + SI19 (Tinggong) + SJ3 (Zhongzhu),Er Long Zuo Ci Wan
"Is the patient experiencing tinnitus (low roar)?",Phlegm Damp / Liver Fire,ST40 (Fenglong) + LR2 (Xingjian) + SJ17 (Yifeng),Long Dan Xie Gan Tang
"Does the patient feel heavy and lethargic in humid weather?",Dampness Encumbering Spleen,SP9 (Yinlingquan) + ST8 (Touwei) + ST36 (Zusanli),Huo Xiang Zheng Qi San
"Is the patient experiencing panic attacks?",Heart Qi Deficiency / Shock,HT7 (Shenmen) + PC6 (Neiguan) + CV14 (Juque),Gui Pi Tang + Long Gu
"Does the patient have a history of drug/alcohol use affecting cognition?",Toxic Heat / Dampness,KI9 (Zhubin) + LR3 (Taichong) + ST40 (Fenglong),Ge Hua Jie Cheng San
"Is the patient prone to excessive sighing?",Liver Qi Stagnation,LR3 (Taichong) + PC6 (Neiguan),Yue Ju Wan
"Does the patient have vivid, disturbing dreams?",Heart/Liver Fire,HT8 (Shaofu) + LR2 (Xingjian) + BL15 (Xinshu),Zhu Sha An Shen Wan (Modified)
"Is the patient experiencing menopause-related brain fog?",Kidney Yin/Yang Deficiency,KI3 (Taixi) + SP6 (Sanyinjiao) + DU20 (Baihui),Er Xian Tang (Two Immortals)
"Does the patient have difficulty finding words (aphasia signs)?",Heart blood stasis / Phlegm,HT5 (Tongli) + DU15 (Yamen) + CV23 (Lianquan),Bu Yang Huan Wu Tang
"Is the patient experiencing numbness in extremities?",Blood Deficiency / Wind,LI4 (Hegu) + LR3 (Taichong) + SI3 (Houxi),Bu Yang Huan Wu Tang
"Does the patient have a pale face and weak voice?",Lung/Spleen Qi Deficiency,LU9 (Taiyuan) + SP3 (Taibai) + CV6 (Qihai),Bu Zhong Yi Qi Tang
"Is the patient constantly thirsty but water doesn't help?",Yin Deficiency / Diabetes signs,KI3 (Taixi) + SP6 (Sanyinjiao) + CV4 (Guanyuan),Yu Quan Wan
