Category,Chief_Complaint,TCM_Pattern,Common_Symptoms,Acupuncture_Points,Herbal_Formula
Pain,Headache - Frontal,Yangming Stomach Heat; Spleen Qi Deficiency,"Forehead pain, heavy sensation, digestive issues, fatigue after eating","ST8 (Touwei), ST44 (Neiting), LI4 (Hegu), Yintang","Bai Zhi, Ge Gen Tang"
Pain,Headache - Temporal,Shaoyang Gallbladder Fire; Liver Yang Rising,"Side head pain, irritability, bitter taste, alternating chills/fever","GB8 (Shuaigu), GB20 (Fengchi), SJ5 (Waiguan), LR3 (Taichong)","Xiao Chai Hu Tang, Tian Ma Gou Teng Yin"
Pain,Headache - Vertex,Liver Blood Deficiency; Jueyin Cold,"Top of head pain, dizziness, blurred vision, cold sensation","GV20 (Baihui), LR3 (Taichong), BL67 (Zhiyin), KI1 (Yongquan)","Wu Zhu Yu Tang, Si Wu Tang"
Pain,Headache - Occipital,Taiyang Bladder Cold; Kidney Deficiency,"Back of head/neck pain, stiffness, aversion to cold, low back weakness","BL10 (Tianzhu), GB20 (Fengchi), SI3 (Houxi), BL60 (Kunlun)","Ge Gen Tang, You Gui Wan"
Pain,Migraine,Liver Yang Rising; Blood Stasis; Phlegm,"Severe one-sided pain, nausea, light sensitivity, aura","GB20 (Fengchi), Taiyang, LR3 (Taichong), GB41 (Zulinqi)","Tian Ma Gou Teng Yin, Xue Fu Zhu Yu Tang"
Pain,Neck Pain - Acute,Wind-Cold Invasion; Qi Stagnation,"Stiff neck, limited ROM, pain worse with cold, sudden onset","GB20 (Fengchi), GB21 (Jianjing), SI3 (Houxi), BL10 (Tianzhu)","Ge Gen Tang, Qiang Huo Sheng Shi Tang"
Pain,Neck Pain - Chronic,Blood Stasis; Kidney Deficiency; Bi Syndrome,"Chronic stiffness, grinding, numbness to arms, weakness","GB20 (Fengchi), Jiaji points, SI3 (Houxi), BL11 (Dazhu)","Du Huo Ji Sheng Tang, Shen Tong Zhu Yu Tang"
Pain,Shoulder Pain,Qi-Blood Stagnation; Wind-Damp Bi,"Pain with movement, limited ROM, worse at night, local tenderness","LI15 (Jianyu), SJ14 (Jianliao), SI9 (Jianzhen), LI4 (Hegu)","Juan Bi Tang, Shen Tong Zhu Yu Tang"
Pain,Upper Back Pain,Qi Stagnation; Blood Stasis; Wind-Cold,"Pain between shoulder blades, tension, stress-related, breathing difficulty","BL11-17 (Huatuojiaji), SI14 (Jianwaishu), GB21 (Jianjing)","Ge Gen Tang, Xue Fu Zhu Yu Tang"
Pain,Lower Back Pain - Acute,Qi-Blood Stagnation; Cold-Damp,"Sudden onset, spasm, limited movement, worse with cold/damp","BL23 (Shenshu), BL25 (Dachangshu), BL40 (Weizhong), GV3 (Yaoyangguan)","Du Huo Ji Sheng Tang, Shen Tong Zhu Yu Tang"
Pain,Lower Back Pain - Chronic,Kidney Deficiency; Blood Stasis,"Dull ache, weakness, fatigue, worse standing, better lying","BL23 (Shenshu), GV4 (Mingmen), KI3 (Taixi), BL40 (Weizhong)","You Gui Wan, Du Huo Ji Sheng Tang"
Pain,Sciatica,Blood Stasis; Wind-Damp Bi; Kidney Deficiency,"Radiating leg pain, numbness, weakness, worse sitting","GB30 (Huantiao), GB34 (Yanglingquan), BL54 (Zhibian), BL40 (Weizhong)","Du Huo Ji Sheng Tang, Shen Tong Zhu Yu Tang"
Pain,Knee Pain,Bi Syndrome; Kidney Deficiency; Blood Stasis,"Pain, swelling, stiffness, worse with weather changes","ST35 (Dubi), Xiyan, SP9 (Yinlingquan), GB34 (Yanglingquan)","Du Huo Ji Sheng Tang, Juan Bi Tang"
Pain,Hip Pain,Blood Stasis; Kidney Deficiency; Damp-Heat,"Deep ache, limited ROM, worse at night, radiating pain","GB30 (Huantiao), GB29 (Juliao), BL54 (Zhibian), GB34 (Yanglingquan)","Du Huo Ji Sheng Tang, Si Miao San"
Pain,Abdominal Pain,Qi Stagnation; Cold; Food Stagnation,"Cramping, bloating, relief with warmth or bowel movement","CV12 (Zhongwan), ST25 (Tianshu), ST36 (Zusanli), PC6 (Neiguan)","Xiao Yao San, Li Zhong Wan"
Pain,Menstrual Cramps,Blood Stasis; Cold in Uterus; Qi Stagnation,"Cramping before/during menses, clots, relief with warmth","SP6 (Sanyinjiao), CV4 (Guanyuan), LR3 (Taichong), SP8 (Diji)","Tao Hong Si Wu Tang, Wen Jing Tang"
