Category,Generic_Name,Purpose,Western_Mechanism,TCM_Perspective,Common_Side_Effects,TCM_Considerations
Cardiovascular - Antihypertensives,Lisinopril (ACE Inhibitor),"High blood pressure, heart failure, post-MI","Blocks angiotensin-converting enzyme, reduces blood pressure","Strongly descends qi, may deplete kidney yang and qi over time","Dry cough, dizziness, hyperkalemia, angioedema","May weaken kidney qi, consider tonifying kidney and lung"
Cardiovascular - Antihypertensives,Amlodipine (Calcium Channel Blocker),"High blood pressure, angina",Relaxes blood vessels by blocking calcium channels,"Relaxes vessels, may deplete yang qi and cause fluid retention (dampness)","Edema, flushing, dizziness, palpitations",Monitor for lower limb edema (spleen-kidney yang deficiency)
Cardiovascular - Antihypertensives,Losartan (ARB - Angiotensin Receptor Blocker),"High blood pressure, diabetic nephropathy, heart failure","Blocks angiotensin II receptors, lowers blood pressure","Descends qi, gentler on kidney than ACE inhibitors","Dizziness, hyperkalemia, kidney function changes",Less likely to cause cough than ACE inhibitors
Cardiovascular - Antihypertensives,Metoprolol (Beta Blocker),"High blood pressure, angina, heart failure, arrhythmias","Blocks beta-adrenergic receptors, slows heart rate","Slows heart qi, cooling nature, may deplete heart yang","Fatigue, cold extremities, bradycardia, depression","Can create cold pattern, consider warming herbs cautiously"
Cardiovascular - Antihypertensives,Hydrochlorothiazide (Thiazide Diuretic),"High blood pressure, edema","Increases urine output, reduces fluid volume","Drains dampness through kidney, may deplete kidney yin and yang","Dehydration, electrolyte imbalance, dizziness, increased urination","Monitor for yin deficiency signs, may need to tonify kidney"
Cardiovascular - Cholesterol,Atorvastatin (Statin),"High cholesterol, cardiovascular disease prevention","Inhibits HMG-CoA reductase, lowers LDL cholesterol","Resolves phlegm-dampness in blood vessels, may deplete liver blood and qi","Muscle pain, liver enzyme elevation, fatigue","May cause liver blood deficiency, muscle weakness (spleen-liver involvement)"
Cardiovascular - Cholesterol,Simvastatin (Statin),"High cholesterol, cardiovascular protection",Reduces cholesterol production in liver,"Transforms phlegm-turbidity, may damage liver yin and blood","Myopathy, hepatotoxicity, digestive upset","Monitor liver function, nourish liver blood if needed"
Cardiovascular - Anticoagulants,Warfarin,"Blood clot prevention, atrial fibrillation, DVT","Vitamin K antagonist, inhibits clotting factors","Cools and thins blood, invigorates blood, depletes blood over time","Bleeding risk, bruising","AVOID blood-invigorating herbs (Dang Gui, Hong Hua), nourish blood"
Cardiovascular - Anticoagulants,Rivaroxaban (Direct Oral Anticoagulant),"Blood clot prevention, stroke prevention in AFib",Direct Factor Xa inhibitor,"Strongly moves blood, cooling, may create blood deficiency","Bleeding risk, no reversal agent readily available","CAUTION with blood-moving herbs, monitor for blood deficiency"
Cardiovascular - Antiplatelets,Aspirin (Low-dose),"Heart attack prevention, stroke prevention, antiplatelet","Irreversibly inhibits COX-1, prevents platelet aggregation","Bitter-cold, invigorates blood, may damage stomach and spleen","GI bleeding, stomach upset, bruising","AVOID strong blood-moving herbs, protect stomach qi"
