Diagnostic_Category,Finding,Chinese_Name,Description,TCM_Pattern_Indication,Clinical_Significance,Associated_Conditions,Treatment_Principle
Pulse Rate,Normal Rate (Huan Mai - Moderate Pulse),缓脉 Huǎn Mài,4 beats per breath cycle (about 60-90 BPM),"Normal, healthy state; harmonious qi and blood","Balanced physiology, no pathology","Health, recovery","Maintain balance, preventive care"
Pulse Rate,Rapid Pulse (Shuo Mai),数脉 Shuò Mài,"5-6 beats per breath, over 90 BPM, faster than normal","Heat (Excess or Deficiency), Yin deficiency","Heat accelerating blood circulation, fever, inflammation","Infections, fever, inflammation, yin deficiency, hyperthyroidism, anxiety","Clear heat, nourish yin if deficiency heat"
Pulse Rate,Slow Pulse (Chi Mai),迟脉 Chí Mài,"3 or fewer beats per breath, under 60 BPM","Cold (Excess or Deficiency), Yang deficiency","Cold slowing circulation, weak yang unable to propel blood","Yang deficiency, hypothyroidism, bradycardia, cold conditions","Warm yang, expel cold"
Pulse Rate,Racing/Hasty Pulse (Ji Mai),疾脉 Jí Mài,"7+ beats per breath, very rapid, over 120 BPM","Extreme heat, Yang excess, critical condition","Severe heat or yang excess, emergency situation","High fever, severe infection, extreme yang excess, crisis","Strongly clear heat, emergency cooling"
Pulse Depth,Superficial/Floating Pulse (Fu Mai),浮脉 Fú Mài,"Felt with light pressure, weakens with heavy pressure, at skin surface","Exterior pattern, Wei qi rising to surface to fight pathogen","Pathogen at exterior level, body mounting defensive response","Common cold, flu, exterior wind invasion, early stage illness","Release exterior, expel pathogen"
Pulse Depth,Deep/Sinking Pulse (Chen Mai),沉脉 Chén Mài,"Only felt with heavy pressure, deep below surface","Interior pattern, internal organ involvement","Pathogen has penetrated interior, or deep-seated chronic condition","Internal organ diseases, chronic conditions, interior cold or heat","Treat interior, address root cause"
Pulse Depth,Hidden/Secluded Pulse (Fu Mai/Bi Mai),伏脉 Fú Mài / 闭脉 Bì Mài,"Very deep, requires extreme pressure to feel, hidden at bone level","Extreme cold, severe pain, yang collapse, pathogen deeply hidden","Critical condition, severe interior pathology, or extreme pain","Severe pain, syncope, extreme cold, critical illness","Rescue yang, strongly warm interior, or address severe pain"
Pulse Width,Fine/Thin Pulse (Xi Mai),细脉 Xì Mài,"Thin like a thread, narrow diameter, clearly defined","Blood and/or Yin deficiency, Qi deficiency","Insufficient blood in vessels, depletion of yin fluids","Anemia, blood loss, chronic illness, yin deficiency, malnutrition","Nourish blood and yin, tonify qi"
Pulse Width,Big/Large Pulse (Da Mai),大脉 Dà Mài,"Wide, broad, takes up large area under fingers","Excess heat, overabundant qi and blood, or deficiency appearing excess","Vessels expanding with heat or overabundance, or false excess in severe deficiency","High fever, excess patterns, or critical deficiency appearing as excess",Clear excess heat OR strongly tonify if deficiency
Pulse Width,Flooding/Surging Pulse (Hong Mai),洪脉 Hóng Mài,"Very large and forceful, surges like flooding river, strong at all levels","Extreme excess heat in qi level, Yang Ming stage heat","Peak of heat, vessels maximally expanded, high fever pattern","High fever, extreme heat diseases, heat stroke, severe inflammation","Strongly clear heat, drain fire"
