id,system,western_label,tcm_pattern,key_symptoms,pulse_tongue,treatment_principle,acupoints,pharmacopeia,deep_thinking_note
1,Respiratory,Common Cold,Wind-Cold Invasion,"Chills > Fever, no sweat, stiff neck, runny clear nose",Floating-Tight Pulse; Thin White Coat,Release Exterior; Expel Cold,"LU7, LI4, GB20, BL12",Gui Zhi Tang,Do not use cooling herbs here. You must open the pores to sweat out the cold.
2,Respiratory,Common Cold,Wind-Heat Invasion,"Fever > Chills, sore throat, yellow phlegm",Floating-Rapid Pulse; Red tip/Yellow Coat,Release Exterior; Clear Heat,"LI4, LI11, LU10, DU14",Yin Qiao San,Focus on the throat (LU10). Heat has entered the Wei Qi level.
3,Respiratory,Asthma (Acute),Phlegm-Heat in Lung,"Barking cough, yellow sticky phlegm, chest tightness",Slippery-Rapid Pulse; Red Body/Yellow Greasy Coat,Clear Heat; Resolve Phlegm; Descend Qi,"LU5, ST40, Dingchuan, CV22",Ding Chuan Tang,Use Dingchuan (Extra Point) alongside spine. Stop the wheeze first tonify later.
4,Respiratory,Asthma (Chronic),Lung & Kidney Deficiency,"Shortness of breath on exertion, weak voice, cold limbs",Deep-Weak Pulse; Pale Tongue,Tonify Lung; Grasp Qi,"BL13, BL23, KD3, CV17",Su Zi Jiang Qi Tang,The Kidney is failing to grasp the Qi down. Treat the root (Kidney).
5,Digestive,Gastritis,Stomach Yin Deficiency,"Dull burning pain, dry mouth, hunger but no desire to eat",Thready-Rapid Pulse; Red/Peeled (Geographic) Tongue,Nourish Gastric Yin,"ST36, SP6, CV12, PC6",Yi Wei Tang,Avoid warming/drying herbs (like Ginger). The stomach lining is dry/atrophied.
6,Digestive,IBS (Diarrhea),Liver Overacting on Spleen,"Pain triggers diarrhea, worse with stress/anger",Wiry (Left) & Weak (Right) Pulse,Harmonize Liver & Spleen,"LV3, ST25, SP6, Yintang",Tong Xie Yao Fang,The Wood (Liver) is attacking the Earth (Spleen). Calm the mind to fix the gut.
7,Digestive,Constipation,Blood Deficiency,"Dry pebble stools, dizziness, pale face",Choppy/Fine Pulse; Pale Tongue,Nourish Blood; Moisten Intestines,"ST25, SJ6, BL25, SP6",Run Chang Wan,Do not purge with laxatives; the boat (stool) cannot move because there is no water (blood) in the river.
8,Cardiovascular,Hypertension,Liver Fire Rising,"Dizziness, red face, anger, throbbing headache",Wiry-Rapid Pulse; Red sides/Yellow Coat,Clear Liver Fire; Anchor Yang,"LV2, LV3, GB20, KD1",Long Dan Xie Gan Tang,Bleed the ear apex (Erjian) for immediate pressure reduction.
9,Cardiovascular,Hypertension,Yin Deficiency with Yang Rising,"Dizziness, tinnitus, night sweats, weak knees",Thready-Rapid Pulse; Red/No Coat,Nourish Yin; Subdue Yang,"KD3, LV3, SP6, PC6",Tian Ma Gou Teng Yin,This is the tired but wired patient. Anchoring is key.
10,Cardiovascular,Palpitations,Heart Blood Deficiency,"Fluttering heart, anxiety, insomnia, pale face",Thready/Weak Pulse; Pale Tongue,Nourish Heart Blood; Calm Shen,"HT7, PC6, BL15, CV14",Gui Pi Tang,The heart lacks fluid (blood) to house the Shen so the Shen floats (anxiety).
11,Psychological,Depression,Liver Qi Stagnation,"Sighing, sensation of stuckness, mood swings",Wiry Pulse; Normal or Dusky Tongue,Move Qi; Relieve Constraint,"LV3, LI4, GB34, Yintang",Xiao Yao San,The classic Four Gates treatment. The Qi just needs a reminder to flow.
12,Psychological,Anxiety,Heart & Gallbladder Qi Deficiency,"Easily startled, timid, waking up early",Weak/Thready Pulse; Pale/Swollen Tongue,Tonify Qi; Calm Spirit,"HT7, GB40, CV14, Anmian",Wen Dan Tang,Treat the Gallbladder to give the patient guts or courage.
13,Psychological,Insomnia,Heart Yin Deficiency (Empty Heat),"Waking frequently, night sweats, 5-palm heat",Thready-Rapid Pulse; Red tip,Nourish Yin; Clear Empty Heat,"HT7, KD6, SP6, Anmian",Tian Wang Bu Xin Dan,The water (Yin) is not controlling the fire (Heart). Cool the engine.
14,Musculoskeletal,Lower Back Pain (Acute),Qi & Blood Stagnation,"Sharp fixed pain, history of trauma/lifting",Wiry/Choppy Pulse; Purple spots on Tongue,Move Qi; Break Stasis,"BL23, BL40 (Bleed), Yaotongxue",Die Da Wan,Do not use tonic points yet. You must clear the traffic jam (stasis) first.
15,Musculoskeletal,Lower Back Pain (Chronic),Kidney Yang Deficiency,"Dull ache, coldness, better with warmth/rubbing",Deep-Slow Pulse; Pale/Wet Tongue,Tonify Kidney Yang; Strengthen Back,"GV4 (Moxa), BL23, KD3, BL52",You Gui Wan,Moxa is mandatory here. The battery is low.
16,Musculoskeletal,Frozen Shoulder,Wind-Cold Invasion,"Fixed pain, worse at night, aversion to cold",Tight Pulse; White Coat,Expel Wind-Cold; Warm Channels,"ST38, GB34, LI15, Jianqian",Juan Bi Tang,Use ST38 (distal point) while the patient moves their arm.
17,Neurological,Headache (Migraine),Liver Yang Rising,"Unilateral throbbing, visual aura, nausea",Wiry Pulse; Red edges,Subdue Liver Yang; Clear Wind,"GB20, GB8, LV3, GB41",Tian Ma Gou Teng Yin,GB41 opens the Dai Mai (belt vessel) to drain excess from the head.
18,Neurological,Post-Stroke,Qi Deficiency & Blood Stasis,"Hemiplegia, facial droop, weakness",Weak/Choppy Pulse; Pale/Purple Tongue,Tonify Qi significantly; Move Blood,"GV20, LI11, GB34, ST36",Bu Yang Huan Wu Tang,Use high doses of Huang Qi (Astragalus) to push the blood through the stagnation.
19,Gynecology,Dysmenorrhea (Cramps),Liver Qi Stagnation,"Pain before flow, clots, breast distension",Wiry Pulse; Purple spots,Move Qi; Regulate Menses,"SP8, LV3, LI4, CV3",Tao Hong Si Wu Tang,SP8 is the Xi-Cleft point for acute uterine pain.
20,Gynecology,Menopause,Kidney Yin Deficiency,"Hot flashes, night sweats, irritability",Thready-Rapid Pulse; Red/Dry Tongue,Nourish Kidney Yin; Clear Heat,"KD6, SP6, HT6, CV4",Zhi Bai Di Huang Wan,Use The Triangle (KD3 KD6 SP6) to generate fluids.
