Question,Answer,Acupuncture_Points,Pharmacopeia
"- הגורמים יכולים להיות - עבודה רבה לא מאוזנת המחלישה את היאנג, דיאטה לא מאוזנת של הרבה מזון קר, חוסר תפקוד של אחד מאיברי הזאנג פו ברמת היאנג, SP YANG XU, KID YANG XU. גורמים חיצוניים יכולים להיות תנאי אקלים קרים, רוח קרה.","- יש תהליך חדירה של קור לתוך הגוף והוא תוקע, יכול לגרום לכאבי בטן, מחזור, חוסר זרימה נאותה שמובילה להרבה תסמינים מאטים. אני ארצה לבנות ולחזק את היאנג, לחמם. נעשה שימוש במוקסה, דיקור בנקודה KID2 לדוגמא. אני אשפעל אנרגיות או נקודות שמעודדות את היאנג בגוף. * חום נוצר בגוף מחוסר יין ואז הוא נחשב כחום מדומה. גורם אחר היא עלייה של חום הגוף כתוצאה מדלקת, רוח חום שמתקיפה את הגוף. - הסימפטומים יהיו הרעה בחום והטבה בקור, תחושות של צמאון ויובש, עור ולשון אדמומיים, אדם יזיע וזיעה תברח החוצה כי הנקבוביות פתוחות, השתן יהיה כהה, צהוב, בעל ריח. אצל האישה יכולות להיות הפרשות צהובות, צמיגיות. צואה יבשה, אין סיכה. יכולות להיות בעיות עור. חום בדרך כלל מתלבש על הדם ואז הSHEN שלנו מתחילה להשתגע, נדודי שינה, חוסר שקט, חוסר רגיעה, קשיי הירדמות. - שילוב של חום ברמת הדם יכולים לגרום לנו להרבה בעיות עור. - במצב של חום הדופק יהיה מהיר ועצבני כי החום מאיץ. הלשון תהיה אדומה ויבשה, יהיו פצעים בפה. חשוב לזכור שהנטייה של חום הינה לעלות למעלה. - מהגורמים הפנימיים אנו נראה תופעות של חום מאוכל חריף ומתובל. עודף של תיבול אינו בריא, אנו מנתקים את הגוף מהטעם האוטנטי הראשוני של מזון. - רגשות של כעס, תסכול, יוצרים לנו חום פנימי. - אנו נרצה לפזר את החום ולקרר. שיעור 4 - 19.11.12 פנימי וחיצוני - פנימי, BIAO, חיצוני, LI כאשר מדברים על פנימי וחיצוני אנו מפרידים. סיבות לבעיות חיצוניות יכולות להיגרם על ידי רוח, קור, חום, לחות. כל אחד מהגורמים יכול לתקוף את הגוף ולחולל בתוכו פתולוגיה. אם זה רוח קור, חום, אקלים של סביבה לחה. כל מה שבמרחב יכול לגרום לבעיה. מאפייני בעיות חיצוניות: - מגיעים באופן פתאומי. - אקוטי - משפיע על רקמ","BL11, BL17, KID2",
8. LU DRY.,"רוח קרה, רוח חמה זה משהו עודף שהצטבר על הגוף. ליחה - חומר שלא צריך להיות במצב נורמלי בLU. פירוט הסינדרומים מבוא: רוח רוח מוגדרת כיאנג שלילי אשר משפיע על החלקים החיצוניים והעליונים של הגוף. נוכחות הרוח מחלישה מאוד את הצ'י המגן. מאמר מוסגר - פגועי נפש בזמן מלחמה (זמן אקוטי של לחץ) עסוקים בלשרוד. אחרי המלחמה התסמינים מופיעים ביתר שאת. הגוף שלנו בזמן התמודדות עם הצ'י המגן (אין טונוס, זקיפות), זקוק לאנרגייה לשם כך. לכן אנו חלשים אחרי מחלה כי הגוף שלנו ניתב אנרגייה כדי להתמודד עם הפתוגן, חלק מהאנרגייה הלך למלחמה קיומית מול הפתוגן. המשך לרוח: לרוח אנו מייחסים סימפטומיים פתאומיים מהירים שיכולים גם לזוז ממקום למקום כמו רוח. יש לה נטייה להשתלב עם אקלים: יכולה להיות רוח חמה, קרה. רוח קרה - רוח מסוג יין שמשפיעה ישירות על היאנג, כלומר נוכחות גבוהה של רוח קרה תגרום לחוסר תפקוד של המחמם, היאנג. הרוח הקרה תגרום להאטה או תקיעה של אנרגייה. כמו כן, קור מכווץ את נקבוביות העור ואז אין דרך להוציא את הפתוגן החוצה, יש סטגנצייה. אנו נעשה שימוש בכוסות רוח, מוקסה. רוח מסוג חום - יש השפעה על היין, על נוזלי הJIN/YE ויתחיל יובש. זה יגרום לעליית טמפרטורה של הגוף, אדמומיות וצימאון. התקפה של רוח קרה על הLU אטיולוגיה מערכת חיסון קשורה למבנה המולד. יש אנשים שנולדים עם מערכת חיסון חלשה, ישנם גורמים נוספים למערכת חיסון חלשה: א. חוסר איזון בין מנוחה לעבודה - הפניית משאבים אנרגתיים לעבודה ומאמץ ופחות לשימור הגוף, לא נותר בגוף אנרגייה לצ'י המגן. ב. התזונה - מהמזון הגוף מפיק דם, אנרגייה, נוזלי גוף. מאוכל זבל נפיק זבל. איכות התזונה תקבע את איכות האנרגייה. ג. בעולם המערבי העבודה היא סטטית ולא אקטיבית. רוב הזמן יושבים ",,
* אחת הבעיות בהצטברות של ליחה חמה בריאות הנה שהחום מתחיל לאכול את היין ומגיע למצב של LU YIN XU.,"- בסימפטומים יש שיעול עמוק וחזק עם הוצאה של ליחה צהובה וירוקה. הליחה תהיה צמיגית, במקרים מוחמרים יכול להיות שיתחילו להופיע בליחה כתמי דם כי החום פוגע ופוצע את כלי הדם. קוצר נשימה היכול להגיע עד לאסטמה. - אנשים הסובלים מליחה הם בעלי ריח של ליחה, עובש, ריח נזלתי. זה מאוד מורגש אצל תינוקות ואצל אנשים מבוגרים, זה ריח של ריקבון. - הלשון של האדם תהיה אדומה עם שכבה עבה, צהובה וצמיגית. - הדופק יהיה מתגלגל בשל הליחה ומהיר בשל החום. - העיקרון הטיפולי יהיה להמיס ולפזר את הליחה. - אפשר להשתמש בST40,  הנקודה LU 10 בפיזור, LU 6, CV 17. הנקודה LU 5 כמים שתקרר את הריאות, הנקודה CO 11 הבונה יין ודם ומחזקת ומקררת.","CO11, CV17, LU10, LU5, LU6",
LU YIN XU,"- מדברים על מחלה כרונית עמוקה במיוחד, מחלה של חום ויובש. היא יכולה להיגרם על ידי החמרה של הצטברות ליחה חמה בLU, זה יכול להיגרם מKID YIN XU, יהיו סימפטומים של יין שו כללי כגון חוסר שקט, שתן מרוכז, יובש על גבי העור, גלי חום, תחושת  בערה, פנים ואוזניים אדומות, סלידה ממשקאות חמים, רצון לשתות משקאות קרים. - תסמינים של LU כגון יובש, שיעול יבש, דקדוק בגרון, צרידות, עור יבש מאוד, עיניים יבשות ומגרדות. - העיקרון הטיפולי יהיה לחזק יין כללי ובצורה ספציפית את היין של הLU. - הנקודה KID 10 תחזק את היין של הכליות ויין כללי בגוף. הנקודה LU1 כנקודת התראה תחזק את היין של הריאות ובכללי את היין של הכליות. הנקודה KID 6 כמסטר של יין צאו מאי, היא מניעה יין למעלה. הנקודה  LU7 היא מסטר של CV והנקודה KID 6 היא נקודת COUPLE של  CV.  מאחר ומרידיאני האקסטרא מהווים את מאגר האנרגיה הטהורה והעמוקה ביותר בגוף שלנו , על מנת לעשות שימוש במאגר אנרגטי טהור זה עלינו לפתוח מרידאן אקסטרא, מה שמסביר לנו שהאנרגיה אינה זמינה וחופשית אלא עמוקה שאנחנו רוצים לחשוב האם להשתמש בה. רק אחרי שדקרתי את נקודת המסטר והCOUPLE נפתח מרידיאן האקסטרא והאנרגיה זורמת בגוף. - הנקודה LU4 היא האחרונה לפני יציאת המרידיאן לאזור היאנגי. היא נקראת מגן הלבן, יש לה יכולת לווסת את האספקט הייני והיאנגי של הריאות.","KID10, KID6, LU1, LU4, LU7",
1. זה יכול להיות החמרה של LU YIN XU.,"2. זה יכול להיגרם על ידי רוח יבשה וחמה, זה פתוגן חיצוני מוחצן מאוד או חום פנימי מופרז שעולה לריאות ומייבש אותם. - הסימפטומים יהיו: שיעול יבש, יכולה להיות מעט ליחה, דביקה, כאב בחזה כי הריאות הן יבשות, כל נשימה הנה קשה. המצב הטבעי של הריאות הינה של לחות ופתאום יש יובש, זה כמו אדמה חרוכה. יכול להיות יובש בפה, שפתיים, בכל האזורים האמורים להיות עם לחות- עיניים, שפתיים, עור. תהיה צרידות. - תהיה עצירות, כאבי ראש כי אין נוזלים, חוסר הזעה. - הלשון תהיה אדומה, יבשה, היא תתחיל להתקלף. היא תהיה דקה. - הדופק יהיה דק, מהיר כי אין חומר, אין ענן, יש יובש. לדופק יהיה אלמנט חוטי דק. חוט מצביע על דק, מיתרי מצביע על כך שהמיתר מתוח ועלול להיקרע. - העיקרון הטיפולי יהיה להרטיב ולחלח את הריאות. במידה וזה פתוגן חיצוני נרצה להרחיק אותו. במידה וזה מרחב עבודה חיצוני עם אקלים קיצוני  כגון מאפייה, בתי מלאכה חמים מאוד. אנשים הרוחצים מכוניות רוב היום הנעליים שלהם רטובות וזה הורג את היאנג של הכליות. - אם זה על רקע החמרה של יין נעשה חיזוק, טונופיקציה ליין. יש לנו את LU9 שתחזק את הריאות ופונה ליואן המרכזי. הנקודה LU5 תכניס נוזלים, LU1 תחזק את האספקט הייני.","LU1, LU5, LU9",
LU QI XU - חסר צ'י בריאות,"- אנו מדברים על חסר צ'י בגוף כי הריאות מפזרות את הצ'י בגוף. הריאות זקוקות לצ'י על מנת לתפקד. כל פתולוגיה של חסר צ'י בגוף יכול ליצור לנו פתולוגיות של LU. - נקודת היואן החיזוק היחידה בגוף היא של LU. הגוף נשען על רמת הLU, תחילת הזרימה בגוף היא במרידיאן הריאות. לכן גם LU1 היא נקודת ההתראה של הריאות כי הוא חייב להתאים את עצמו כל הזמן. אטיולוגיה - חוסר צ'י בגוף, הריאות קשה להן לפזר את האנרגיה, אני מכלה את הצ'י בגוף. - שיעול כרוני מכלה את הצ'י בגוף ומחליש את הגוף. שיעול יכול להיות רגשי. - החלמה לא טובה ממחלה כרונית או פתוגן חיצוני, הגוף השאיר אחריו את הLU עם צ'י חסר. - מבנה מולד של ריאות חלשות. הסימפטומים: - השיעול יהיה חלש, אין צ'י להשתעל. ההפרשה מהשיעול תהיה דלילה וקטנה כי כדי לכייח אני צריך שיעול עמוק אך אין לי צ'י בשביל זה. - זה יכול להתפתח לאסטמה של סוג שקשה לנו להוציא את האוויר החוצה. - יש אסטמה של הריאות ויש של הכליות. קושי בהכנסת אוויר הנה אסטמה של הכליות ובהוצאת אוויר של הריאות. הוצאת האוויר היא תהליך של הפיזור החוצה על ידי הריאות. - יהיה קול חלש, קושי לזוז, הגפיים יהיו כבדות כי הריאות לא מפזרות לפריפריות. - צבע הפנים יהיה חיוור. - הזעה במשך היום כי אין לי צ'י לפתוח ולסגור את הנקבוביות. - הלשון תהיה חיוורת, נפולה, גדולה, אין צ'י הדואג שיהיה טונוס וזקיפות. אין צ'י לסירקולצייה של נוזלים ולכן היא תהיה גדולה. - הדופק יהיה חלש, איטי והוא יהיה עמוק כי אין את הצ'י שמעלה כלפי מעלה.",LU1,
"* כאשר האדם סובל מLU QI XU הבעיה המרכזית שאין צ'י במחמם העליון. אחד הסיבוכים יכול להיות HT QI XU, זה יכול להוביל לפלפיטציות שמכך יפגע הלב.","העיקרון הטיפולי יהיה לחזק צ'י כללי ואת הצ'י של הריאות. הנקודות יכולות להיות LU 9,  TH 4, BL 13, הנקודה LU 2 תחזק את היין ותעלה את היאנג של הכליות. הנקודה CV 4 וCV 6","BL13, CV4, LU2, LU9, TH4",
"- החמרה של LU QI XU, יתחילו תסמינים של קור מדומה.","- האדם ירגיש קר, יכולות להתחיל להיווצר בצקות, יהיה המון זיעה במשך היום, הפנים חיוורות, האדם ירגיש קור כי אין לי את האלמנט המחמם, יהיה שתן מרובה, שלשולים קרים. הLU שאחראי על פיזור הנוזלים אינו מניע. - יהיה כאב המוטב על ידי חום. האדם ירצה מגע של חום, כרית חמה וכדומה. - הלשון תהיה נפוחה מנוזלים, רטובה, נפולה, חיוורת, כבדה כי אין יאנג שמעלה ומאדה את הנוזלים. - הדופק יהיה איטי, עמוק, מתגלגל כי יש הצטברות של נוזלים. העיקרון הטיפולי יהיה לחזק את היאנג הכללי בגוף, לחזק את הריאות. אנו נעשה שימוש באותם נקודות שהיו בLU QI XU רק הפעם נעשה שימוש במוקסה כי היא מחממת ובונה יאנג. הגוף שואב את החום, היאנג. נוסיף את הנקודה GV 4 שנקראת שער החיים, אפשר BL23 כאסוציאציה של הכליות, אפשר TH 4. * האנרגיה של TH היא חמה, היא יכולה להעצים את החום הפנימי. כשבוחרים נקודות צריך לחשוב על האנרגיה שלהן, מה הן מחוללות בגוף. שיעור 7 - 17.12.12 הSP ממוקם במרכז הגוף ומהווה מרכז של יצירה של דם ואנרגיה, תפקידו גם כמרכז לפזר אל הפריפריות. הטחול כמרכז, מהווה חשיבות גדולה ומעניק לגוף את היציבות. אם מרכז הגוף שלנו יוצא מאיזון, ישנה פגיעה בכל שאר האלמנטים. הטחול מוגדר כ - LI מאחר והוא מבטא ומייצג את האש במחמם האמצעי. הסימן של LI הנו שלושה קווים כאשר הקו האמצעי הקטוע מבטא חומר, יין, מזון ו2 הקווים העליוניים והתחתוניים השלמים מבטאים את כוח הפירוק, האש וההתמרה, משנה מצב צבירה ומפזר. כשאוכלים יין, חומר, אנו זקוקים להרבה אנרגיה/יאנג על מנת להפריד את האוכל לאנרגיה פנימית/דם. המחמם האמצעי שבו נמצא הטחול הנו מקום של ריכוז ושל הפרדה בין טהור ללא טהור. המחמם האמצעי נותן אנרגיה ומייצר אנרגיה ומעניק את הכיוון. הוא מרכז את אנרגיית ה","BL23, GV4, TH4",
2. SP QI XU,3. SP לא שולט בדם. 4. קריסה/התמוטטות של הטחול. 5. פלישה של קור ולחות לטחול. 6. פלישה של חום ולחות לטחול.,,
"מוגדר כמצב של חסר פנימי. האטיולוגיה של CHI XU מתאימה כאן, גם אובססיות. יכול להיות סינדרום מינורי לאורך זמן. רובנו לא מאזנים בין עבודה למנוחה, לא מקפידים על תזונה, נמצאים בלחץ. אפשר על ידי מנוחה טובה להתאושש, אם זה לא SP CHI XU עמוק.","סימפטומים: * חוסר תיאבון - נשאר מזון תקוע במערכת העיכול. הטחול לא מפרק/ יש תחושת שובע. * תחושת עייפות - אם יש חסר אנרגיה במרכז, יש עייפות. * נטייה להירדמות פתאום. * נפיחות של הבטן שעם השנים הופכת לכרס הישראלית, אין צ'י במרכז לפרק והנפיחות הולכת וגדלה. * שינוי באיכות הצואה, היא נעשית נוזלית יותר (הכל נופל למטה, אין חום ואין פירוק כמו שצריך). * חולשה בארבעת הגפיים. * הרגשת כבדות, שרירים חלשים, חוסר יכולת להתרכז, חוסר פוקוס. * אנשים לא ישנים מספיק בימינו, יש יותר עיסוקים שמשמרים עירנות ומכניסים סטימולציה לגוף, לא יודעים מתי לעשות את הCUT, הרבה מחוסר האיזון זה חוסר שינה. הדופק - יהיה חלש, חוסר חיוניות, סביר שגם קצת ריק (אין לו את העוצמה כשיש צ'י ומרכז חזק). הלשון - תהיה נפולה, רפוסה, עם סימני שיניים. * אנשים נשענים על הקיר כי לא יכולים לעמוד הרבה זמן, אין זקיפות, גוררים רגליים, בכיסא נשפכים.",,
