Question_Symptom,Channel_Physiological_Mechanism,TCM_Dot_Numbers_Acupoints,Pharmacopeia_Formula
"Do you have pain radiating down the back of your leg (Sciatica)?",Bladder Channel / Sciatic Nerve fascial entrapment,BL23 (Shenshu) + BL40 (Weizhong) + GB30 (Huantiao),Du Huo Ji Sheng Tang
"Do you have temporal migraines (side of head)?",Gallbladder Channel / Trigeminal Nerve sensitization,GB8 (Shuaigu) + GB20 (Fengchi) + SJ5 (Waiguan),Tian Ma Gou Teng Yin
"Do you have pain in the front of the shoulder?",Large Intestine Channel / Bicipital tendon groove inflammation,LI15 (Jianyu) + LI11 (Quchi) + LI4 (Hegu),Juan Bi Tang
"Do you have thumb pain or Texting Thumb?",Lung Channel / Radial Nerve pathway tension,LU7 (Lieque) + LU9 (Taiyuan) + LI4 (Hegu),Gui Zhi Tang
"Do you wake up with a stiff neck/unable to turn head?",Small Intestine Channel / Levator Scapulae myofascial trigger,SI3 (Houxi) + SI11 (Tianzong) + UB10 (Tianzhu),Ge Gen Tang
"Do you have chronic acid reflux or heartburn?",Stomach Channel / Vagal-Esophageal motor dysfunction,ST36 (Zusanli) + CV12 (Zhongwan) + PC6 (Neiguan),Ban Xia Xie Xin Tang
"Do you have weak knees or difficulty climbing stairs?",Stomach Channel / Quadriceps tendon insertion weakness,ST35 (Dubi) + ST34 (Liangqiu) + SP10 (Xuehai),Bu Yang Huan Wu Tang
"Do you have heavy, swollen legs (Edema)?",Spleen Channel / Lymphatic return insufficiency,SP9 (Yinlingquan) + SP6 (Sanyinjiao) + ST40 (Fenglong),Wu Ling San
"Do you have Carpal Tunnel Syndrome?",Pericardium Channel / Median Nerve compression,PC7 (Daling) + PC6 (Neiguan) + LU7 (Lieque),Huang Qi Gui Zhi Wu Wu Tang
"Do you have pinky finger numbness?",Heart Channel / Ulnar Nerve entrapment,HT7 (Shenmen) + HT3 (Shaohai) + SI3 (Houxi),Shao Yao Gan Cao Tang
"Do you have chronic lower back pain (Dull ache)?",Kidney Channel / Lumbar fascia ischemia,UB23 (Shenshu) + KD3 (Taixi) + GV4 (Mingmen),Jin Gui Shen Qi Wan
"Do you have rib-side pain or intercostal neuralgia?",Liver Channel / Intercostal nerve compression,LR14 (Qimen) + SJ6 (Zhigou) + GB34 (Yanglingquan),Chai Hu Shu Gan San
"Do you have pain along the spine itself?",Du Mai (Governing Vessel) / Dural tube tension,GV14 (Dazhui) + GV3 (Yaoyangguan) + Hua Tuo Jia Ji,Du Huo Ji Sheng Tang
"Do you have frontal headaches (Forehead)?",Stomach Channel / Supraorbital nerve tension,ST8 (Touwei) + ST44 (Neiting) + LI4 (Hegu),Bai Zhi (Single herb addition)
"Do you have pain at the vertex (Top of head)?",Liver Channel / Vertex fascial convergence tension,LR3 (Taichong) + GV20 (Baihui) + SI3 (Houxi),Wu Zhu Yu Tang
"Do you have tightness in the chest (Anxiety/Asthma)?",Lung/Pericardium fascia restriction in mediastinum,CV17 (Danzhong) + LU1 (Zhongfu) + PC6 (Neiguan),Xue Fu Zhu Yu Tang
"Do you have jaw pain or TMJ clicking?",Stomach/Gallbladder myofascial tension (Masseter),ST6 (Jiache) + ST7 (Xiaguan) + LI4 (Hegu),Shao Yao Gan Cao Tang
"Do you have plantar fasciitis (Heel pain)?",Kidney/Bladder fascial chain tightness,KD3 (Taixi) + UB57 (Chengshan) + KD1 (Yongquan),Liu Wei Di Huang Wan
"Do you have pain on the inside of the knee?",Spleen/Liver Channel / Pes Anserine bursitis,SP9 (Yinlingquan) + LR8 (Ququan) + SP10 (Xuehai),Dang Gui Nian Tong Tang
"Do you have frozen shoulder (can't lift arm side)?",San Jiao Channel / Deltoid fascia adhesion,SJ14 (Jianliao) + SJ5 (Waiguan) + GB21 (Jianjing),Juan Bi Tang
