Question,Answer,Points,Pharmacopeia,Safety_Notes
What is the pre-IVF acupuncture protocol for egg quality?,"Start treatment 3 months before egg retrieval to influence follicular development. KI3 (Taixi) and KI6 (Zhaohai) nourish Kidney Yin for egg quality. CV4 (Guanyuan) and GV4 (Mingmen) balance Kidney Yin and Yang. SP6 (Sanyinjiao) nourishes blood and regulates menstruation. ST36 (Zusanli) strengthens overall Qi. BL23 (Shenshu) tonifies Kidney essence. Treat 1-2x weekly during preparation phase.","KI3, KI6, CV4, GV4, SP6, ST36, BL23",Zuo Gui Wan for Kidney Yin deficiency; You Gui Wan for Kidney Yang deficiency,Stop blood-moving herbs 1 week before retrieval
What points support IVF stimulation phase?,"During ovarian stimulation (days 1-10): ST36 and SP6 to support blood production. KI3 to nourish Kidney Yin being depleted by medications. LR3 (Taichong) to reduce stress and move Liver Qi. PC6 (Neiguan) for medication-induced nausea. CV4 gently to support lower jiao. Avoid strong blood-moving points during this phase.","ST36, SP6, KI3, LR3, PC6, CV4",Liu Wei Di Huang Wan to support Yin during stimulation,Avoid SP10 and strong blood movers during stimulation
What is the IVF embryo transfer day protocol?,"Pre-transfer (25 mins before): GV20 (Baihui) calms spirit. PC6 for relaxation. SP8 (Diji) and ST29 (Guilai) increase uterine blood flow. LR3 to reduce anxiety. Post-transfer (25 mins after): SP6 and ST36 to support implantation. CV4 with gentle moxa to warm uterus. KI3 to nourish Kidney. Yintang for calming. This Paulus Protocol has shown increased pregnancy rates.","GV20, PC6, SP8, ST29, LR3, SP6, ST36, CV4, KI3, Yintang",Shou Tai Wan after transfer to hold fetus,Critical: No strong stimulation after transfer - use gentle technique only
How to support the IVF two-week wait (implantation phase)?,"During 2WW after transfer: KI9 (Zhubin) is the specific fetus-calming point. CV4 with very gentle technique to warm and hold. SP6 with light stimulation. ST36 to maintain Qi. HT7 (Shenmen) and Yintang for anxiety. GV20 to lift and calm spirit. AVOID all blood-moving points. Treat 2x during this phase with extremely gentle needling.","KI9, CV4, SP6, ST36, HT7, Yintang, GV20",Shou Tai Wan (Fetus Longevity Pill),CRITICAL: Avoid LI4 SP6 combination - Avoid all blood movers - Gentle technique only
What causes recurrent miscarriage in TCM and how to treat?,"TCM patterns: 1) Kidney deficiency - weak holding function. 2) Spleen Qi deficiency - cannot hold blood. 3) Blood heat - agitates fetus. 4) Blood stasis - blocks nourishment. Pre-conception treatment: BL23 and GV4 to strengthen Kidney. ST36 and BL20 for Spleen Qi. SP6 and KI3 for blood and essence. CV4 to strengthen Chong and Ren Mai. Treat for 3 months before conception.","BL23, GV4, ST36, BL20, SP6, KI3, CV4",Shou Tai Wan; Bu Shen Gu Chong Wan,Begin treatment 3 months pre-conception for best results
What is the threatened miscarriage emergency protocol?,"Immediate rest essential. GV20 (Baihui) with moxa to raise and hold Qi. KI9 (Zhubin) is the key point for threatened miscarriage. CV4 with gentle moxa to warm and secure. ST36 to strengthen Spleen holding function. SP6 very gently to calm. DU20 lifts the sinking Qi. AVOID all lower abdominal points with strong stimulation. Refer for medical evaluation immediately.","GV20, KI9, CV4, ST36, SP6",Shou Tai Wan emergency formula; An Tai Wan,URGENT: Refer for ultrasound - No blood movers - Bed rest essential
How to treat Kidney Yang deficiency causing infertility?,"Signs: Cold lower back and abdomen scanty menses late ovulation low BBT. Points: GV4 (Mingmen) with moxa is essential for warming Kidney Yang. BL23 (Shenshu) with moxa tonifies Kidney. CV4 (Guanyuan) with moxa warms the uterus. CV6 (Qihai) tonifies Qi. ST36 strengthens overall Yang. KI7 (Fuliu) tonifies Kidney Yang specifically. Use moxa extensively on lower back and abdomen.","GV4, BL23, CV4, CV6, ST36, KI7",You Gui Wan (Restore the Right Kidney Pill),Stop warming herbs and moxa after confirmed pregnancy
How to treat Kidney Yin deficiency causing infertility?,"Signs: Night sweats scanty cervical fluid short luteal phase thin uterine lining. Points: KI3 (Taixi) and KI6 (Zhaohai) nourish Kidney Yin. SP6 nourishes Yin and blood. CV4 regulates Chong Mai. HT6 (Yinxi) clears deficiency heat. LR8 (Ququan) nourishes Liver blood. BL23 tonifies Kidney essence. Focus on nourishing rather than moving.","KI3, KI6, SP6, CV4, HT6, LR8, BL23",Zuo Gui Wan (Restore the Left Kidney Pill); Liu Wei Di Huang Wan,Safe to continue Yin-nourishing herbs in early pregnancy
How to treat Liver Qi stagnation causing infertility?,"Signs: Irregular cycles PMS breast distension emotional stress. Points: LR3 (Taichong) is primary to soothe Liver Qi. LR14 (Qimen) for chest oppression. GB41 (Zulinqi) opens Dai Mai. PC6 (Neiguan) calms and regulates Qi. CV17 (Shanzhong) for chest stagnation. Yintang for emotional calm. SJ5 (Waiguan) with GB41 for Dai vessel. Stress management essential.","LR3, LR14, GB41, PC6, CV17, Yintang, SJ5",Xiao Yao San (Free and Easy Wanderer); Jia Wei Xiao Yao San if heat signs,Safe for early pregnancy - helps implantation by reducing stress
How to treat Blood Stasis causing infertility?,"Signs: Painful periods dark clotted blood fixed abdominal pain history of surgery or endometriosis. Points: SP10 (Xuehai) moves blood. SP6 regulates blood. LR3 moves Liver Qi. CV3 and CV4 for lower jiao stasis. BL32 (Ciliao) for pelvic blood flow. ST29 (Guilai) for uterine blood stasis. BL17 (Geshu) influential point for blood. Treat in follicular phase only.","SP10, SP6, LR3, CV3, CV4, BL32, ST29, BL17",Gui Zhi Fu Ling Wan; Xue Fu Zhu Yu Tang,STOP all blood-moving treatment after ovulation - Resume after period
How to treat Phlegm-Damp causing infertility (PCOS pattern)?,"Signs: Overweight irregular or absent periods abundant cervical mucus. Points: ST40 (Fenglong) resolves phlegm - primary point. SP9 (Yinlingquan) drains dampness. SP6 strengthens Spleen. CV12 (Zhongwan) for middle jiao dampness. CV9 (Shuifen) for water metabolism. BL20 (Pishu) strengthens Spleen to transform damp. ST36 tonifies Spleen Qi. Diet modification essential.","ST40, SP9, SP6, CV12, CV9, BL20, ST36",Cang Fu Dao Tan Wan; Er Chen Tang base,Safe during conception attempts - Continue Spleen support in pregnancy
What is the male factor infertility treatment protocol?,"For low sperm count or motility: GV4 (Mingmen) with moxa warms Kidney Yang for sperm production. BL23 (Shenshu) tonifies Kidney. CV4 (Guanyuan) strengthens essence. KI3 (Taixi) nourishes Kidney. ST36 for overall vitality. LR3 to move Liver Qi and reduce stress. SP6 nourishes blood. BL52 (Zhishi) supports willpower and essence. Treat 2-3x weekly for 3 months (one sperm cycle).","GV4, BL23, CV4, KI3, ST36, LR3, SP6, BL52",Wu Zi Yan Zong Wan (Five Seed Progeny Pill),3 months treatment minimum to affect sperm quality
How to treat varicocele affecting male fertility?,"Varicocele causes blood stasis and heat in the scrotum. Points: SP6 and SP10 move blood. LR3 for Liver channel stasis. LR5 (Ligou) for genital Liver connection. CV3 for lower jiao blood flow. BL32 for pelvic circulation. KI10 (Yingu) clears heat from Kidney. Local Ahshi points around inguinal area with care. Cool the area - avoid heat.","SP6, SP10, LR3, LR5, CV3, BL32, KI10",Gui Zhi Fu Ling Wan with heat-clearing additions,Avoid heat exposure - No hot baths or saunas - Loose clothing recommended
How to improve sperm morphology with acupuncture?,"Poor morphology often relates to Kidney essence deficiency or toxic heat. Points: KI3 and KI6 nourish Kidney essence. BL23 and GV4 tonify Kidney. CV4 strengthens reproductive essence. ST36 for overall nourishment. LI11 (Quchi) clears heat toxins. SP10 cools blood. BL17 (Geshu) nourishes blood. Lifestyle: reduce alcohol avoid toxins eat antioxidants reduce heat exposure.","KI3, KI6, BL23, GV4, CV4, ST36, LI11, SP10, BL17",Wu Zi Yan Zong Wan with Zhi Bai Di Huang Wan if heat present,Avoid environmental toxins - Reduce phone in pocket - No laptop on lap
How to support IUI (intrauterine insemination) cycle?,"Pre-IUI treatment similar to natural cycle support. Follicular phase: SP6 ST36 and KI3 to build blood and essence. LR3 for smooth Qi flow. Day of IUI: PC6 for relaxation. ST29 (Guilai) for uterine blood flow. SP8 (Diji) for pelvic circulation. Post-IUI (2WW): KI9 (Zhubin) to calm fetus. CV4 gently. GV20 to raise Qi. HT7 for anxiety. Same precautions as IVF 2WW.","SP6, ST36, KI3, LR3, PC6, ST29, SP8, KI9, CV4, GV20, HT7",Pattern-based herbs pre-IUI; Shou Tai Wan post-IUI,Same precautions as IVF - No blood movers after insemination
What is the treatment for unexplained infertility?,"When all tests normal focus on optimization. Pre-ovulation: LR3 PC6 for stress reduction. SP6 KI3 ST36 for blood and Qi. CV4 BL23 for Kidney. Post-ovulation: Add KI9 for fetus calming. GV20 to lift Qi. Reduce LR3 intensity. Address subclinical patterns: slight Kidney weakness subtle blood stasis mild Liver Qi stagnation. Lifestyle optimization essential. Mind-body connection important.","LR3, PC6, SP6, KI3, ST36, CV4, BL23, KI9, GV20",Xiao Yao San base with Kidney tonics added,Treat both partners - Address emotional factors - 3-6 months commitment
How to regulate the menstrual cycle for fertility?,"Phase-based treatment: Days 1-5 (Menstrual): SP6 LR3 to ensure complete shedding. Days 6-13 (Follicular): SP6 ST36 KI3 to build blood and Yin. Days 14-15 (Ovulation): LR3 GB41 to promote smooth release. PC6 for timing. Days 16-28 (Luteal): CV4 KI9 GV4 to support Yang and potential implantation. Adjust based on individual pattern.","SP6, LR3, ST36, KI3, GB41, PC6, CV4, KI9, GV4",Si Wu Tang follicular; Xiao Yao San ovulation; You Gui Wan luteal,Track BBT and cervical mucus to guide treatment timing
How to treat short luteal phase (luteal phase defect)?,"Short luteal phase indicates Kidney Yang deficiency or Spleen Qi deficiency. Post-ovulation focus: GV4 (Mingmen) with moxa for Kidney Yang. CV4 with moxa to warm uterus. BL23 to tonify Kidney. ST36 and BL20 to strengthen Spleen holding function. KI7 (Fuliu) specifically for Kidney Yang. Progesterone-like effect from warming treatment. Begin treatment mid-cycle and continue until period.","GV4, CV4, BL23, ST36, BL20, KI7",You Gui Wan; Bu Shen Gu Chong Wan,Support continues into early pregnancy if conception occurs
How to treat thin uterine lining for IVF?,"Thin lining indicates Blood deficiency or stasis. Points: SP6 and ST36 to build blood. BL17 (Geshu) influential point for blood. SP10 to invigorate blood gently. CV4 for uterine blood supply. ST29 (Guilai) increases uterine circulation. KI3 nourishes essence. LR8 (Ququan) nourishes Liver blood. Electroacupuncture can increase uterine artery blood flow. Start treatment 4-6 weeks before transfer.","SP6, ST36, BL17, SP10, CV4, ST29, KI3, LR8",Si Wu Tang (Four Substance Decoction); Dang Gui Bu Xue Tang,Can use gentle blood movers until transfer day - Then stop
How to treat elevated FSH affecting fertility?,"High FSH indicates depleted Kidney essence. Points: KI3 and KI6 nourish Kidney Yin and essence. BL23 tonifies Kidney. CV4 regulates Chong Mai. GV4 balances Kidney Yin/Yang. ST36 strengthens overall Qi. BL52 (Zhishi) supports essence. SP6 nourishes blood. Long-term treatment needed - 6+ months. Realistic expectations important - focus on egg quality over quantity.","KI3, KI6, BL23, CV4, GV4, ST36, BL52, SP6",Zuo Gui Wan with essence-nourishing additions; Gui Shao Di Huang Wan,Long-term commitment needed - May need 6-12 months treatment
