Question,Answer,Acupuncture Points,Herbal Formula
What is the Five Elements Theory in TCM?,"Five Elements (Wu Xing) is a fundamental theory describing five phases of transformation: Wood, Fire, Earth, Metal, and Water. Each element corresponds to organs, seasons, emotions, colors, and natural phenomena, forming an interconnected system.","LR3, HT7, SP6, LU9, KI3",Wu Ling San
What are the five elements and their characteristics?,"Wood: growth, spring, green, sour, anger. Fire: transformation, summer, red, bitter, joy. Earth: nourishment, late summer, yellow, sweet, worry. Metal: contraction, autumn, white, pungent, grief. Water: storage, winter, black, salty, fear.","LR3, HT8, SP3, LU7, BL23",Wu Wei Zi (Five Flavors)
What is the generating cycle (Sheng) in Five Elements?,"The generating cycle shows how each element nourishes the next: Wood feeds Fire, Fire creates Earth (ash), Earth bears Metal, Metal enriches Water, Water nourishes Wood. This is the mother-son relationship.","LR8, HT8, SP3, LU8, KI10",Liu Wei Di Huang Wan
What is the controlling cycle (Ke) in Five Elements?,"The controlling cycle maintains balance through mutual restriction: Wood controls Earth, Earth controls Water, Water controls Fire, Fire controls Metal, Metal controls Wood. This prevents any element from becoming excessive.","LR2, HT3, SP5, LU5, BL66",Long Dan Xie Gan Tang
What organs correspond to each element?,Wood: Liver and Gallbladder. Fire: Heart and Small Intestine (also Pericardium and Triple Burner). Earth: Spleen and Stomach. Metal: Lung and Large Intestine. Water: Kidney and Bladder.,"LR3, HT7, SP6, LU9, KI3",Ba Zhen Tang
What emotions correspond to each element?,Wood: anger and frustration. Fire: joy and mania. Earth: worry and pensiveness. Metal: grief and sadness. Water: fear and fright. Balanced emotions reflect healthy elements.,"LR3, HT7, SP6, LU7, KI3",Xiao Yao San
What seasons correspond to each element?,Wood: Spring (growth and renewal). Fire: Summer (expansion and joy). Earth: Late Summer (harvest and transformation). Metal: Autumn (contraction and release). Water: Winter (storage and rest).,"GB41, SI3, ST36, LI4, BL60",Dang Gui
What flavors correspond to each element?,Wood: Sour (astringent). Fire: Bitter (clearing). Earth: Sweet (tonifying). Metal: Pungent (dispersing). Water: Salty (softening). Each flavor affects its corresponding element and organs.,"LR13, HT5, SP4, LU10, KI7",Wu Mei Wan
What colors correspond to each element?,Wood: Green/Blue (growth). Fire: Red (warmth). Earth: Yellow (nourishment). Metal: White (purity). Water: Black/Blue (depth). Colors in diagnosis indicate elemental imbalances.,"GB37, SI5, SP21, LI11, BL40",Classical formulas
What climates affect each element?,Wood: Wind. Fire: Heat. Earth: Dampness. Metal: Dryness. Water: Cold. Excessive exposure to these climates can damage corresponding organs and elements.,"GB20, HT8, SP9, LU7, KI3",Huo Xiang Zheng Qi San
What are the main functions of the Wood element?,"Wood governs growth, planning, decision-making, smooth flow of Qi, detoxification, Blood storage, and emotional flexibility. The Liver (Yin) stores Blood; Gallbladder (Yang) controls judgment.","LR3, LR8, GB34, GB40",Xiao Yao San
What are signs of Wood element imbalance?,"Excess: anger, headaches, red eyes, irritability, hypertension, menstrual issues. Deficiency: indecision, lack of planning, depression, muscle weakness, blurred vision.","LR2, LR3, GB20, GB34",Chai Hu Shu Gan San
How do you tonify deficient Wood?,"Nourish Liver Blood and Yin, smooth Liver Qi, support Gallbladder function. Use sour herbs moderately, green vegetables, and point selection to tonify Liver.","LR8, GB34, BL18, BL19",Si Wu Tang
How do you sedate excessive Wood?,"Clear Liver fire, subdue Liver Yang, move stagnant Liver Qi, and drain damp-heat from Gallbladder. Use bitter and cool herbs to clear heat.","LR2, GB38, LI4, LI11",Long Dan Xie Gan Tang
What is Liver Qi stagnation?,"Liver Qi stagnation occurs when the smooth flow of Qi is blocked, causing frustration, irritability, chest tightness, menstrual irregularities, and digestive issues. Stress is a primary cause.","LR3, LR14, GB34, PC6",Xiao Yao San
What is Liver Blood deficiency?,"Liver Blood deficiency manifests as pale complexion, dizziness, dry eyes, scanty menses, muscle cramps, insomnia, and anxiety. The Liver cannot store adequate Blood.","LR8, SP6, ST36, BL17",Si Wu Tang
What is Liver Yang rising?,"Liver Yang rising occurs when Liver Yin is deficient and cannot anchor Yang, causing headaches, dizziness, tinnitus, red face, irritability, and hypertension. Often affects middle-aged people.","LR3, LR2, GB20, KI3",Tian Ma Gou Teng Yin
How does Wood relate to spring season?,"Spring is Wood season - time of growth and renewal. To harmonize with spring, increase activity, eat green vegetables, do outdoor exercises, and clear stagnation from winter.","LR3, GB34, LI4",Xiao Yao San
What foods support the Wood element?,"Green leafy vegetables, sprouts, sour foods (lemon, vinegar in moderation), liver organ meat, herbs like mint and chrysanthemum. Avoid excessive alcohol and greasy foods.","LR3, SP6, ST36",Dang Gui
How does anger affect the Wood element?,"Anger is Wood's emotion. Chronic anger damages Liver, causing Qi stagnation and Blood stasis. Conversely, Liver imbalance causes irritability and anger. Managing anger is crucial.","LR3, LR2, GB34, HT7",Chai Hu Jia Long Gu Mu Li Tang
What are the main functions of the Fire element?,"Fire governs consciousness, joy, circulation, warmth, and spirit (Shen). Heart controls Blood vessels and houses the mind. Small Intestine separates pure from impure.","HT7, HT8, SI3, PC6",Tian Wang Bu Xin Dan
What are signs of Fire element imbalance?,"Excess: mania, insomnia, palpitations, red face, mouth ulcers, anxiety. Deficiency: poor circulation, cold limbs, depression, lack of joy, mental fog.","HT8, HT3, SI5, PC8",Huang Lian Jie Du Tang
How do you tonify deficient Fire?,"Tonify Heart Qi and Yang, nourish Heart Blood and Yin, calm the spirit, and warm circulation. Use point selection and herbs to strengthen Heart function.","HT7, CV17, BL15, PC6",Gui Pi Tang
How do you sedate excessive Fire?,"Clear Heart fire, drain fire from Small Intestine, calm excessive spirit, and cool Blood. Use bitter cold herbs and sedating acupuncture techniques.","HT8, SI2, PC8, GV14",Huang Lian Jie Du Tang
What is Heart Blood deficiency?,"Heart Blood deficiency causes palpitations, insomnia, poor memory, anxiety, pale complexion, and pale tongue. The Heart cannot nourish the mind adequately.","HT7, SP6, ST36, BL15",Gui Pi Tang
What is Heart Fire blazing?,"Heart Fire causes severe insomnia, agitation, mouth and tongue ulcers, red face, thirst, dark urine, and mental restlessness. Often from emotional stress.","HT8, PC8, SI2, KI3",Dao Chi San
What is Heart Qi deficiency?,"Heart Qi deficiency manifests as palpitations on exertion, shortness of breath, fatigue, spontaneous sweating, and pale tongue. The Heart cannot circulate Blood adequately.","HT7, CV17, PC6, ST36",Zhi Gan Cao Tang
How does Fire relate to summer season?,"Summer is Fire season - time of maximum Yang, joy, and activity. To harmonize with summer, balance activity with rest, protect Heart from excessive heat, stay hydrated.","HT7, PC6, SI3",Sheng Mai San
What foods support the Fire element?,"Red foods (tomatoes, red peppers, berries), bitter foods (bitter melon, dandelion), heart-healthy foods (fish, nuts), and joyful social eating. Avoid excessive stimulants.","HT7, SP6, ST36",Ren Shen (Ginseng)
How does joy relate to the Fire element?,Joy is Fire's emotion. Appropriate joy nourishes Heart and spirit. Excessive joy scatters Heart Qi causing mania. Lack of joy indicates Fire deficiency or obstruction.,"HT7, PC6, CV17, GV20",Gan Mai Da Zao Tang
What are the main functions of the Earth element?,"Earth governs digestion, transformation, transportation, nourishment, and stability. Spleen transforms food into Qi and Blood; Stomach receives and ripens food. Earth is the center.","SP3, SP6, ST36, CV12",Si Jun Zi Tang
What are signs of Earth element imbalance?,"Excess: obesity, dampness, phlegm, overthinking, sluggishness. Deficiency: poor digestion, fatigue, loose stools, muscle weakness, worry, poor appetite.","SP3, SP9, ST40, ST25",Xiang Sha Liu Jun Zi Tang
How do you tonify deficient Earth?,"Tonify Spleen Qi and Yang, strengthen digestive function, resolve dampness, and calm overthinking. Use sweet tonifying herbs and warming techniques.","SP3, SP6, ST36, CV12",Bu Zhong Yi Qi Tang
How do you sedate excessive Earth?,"Resolve phlegm and dampness, move food stagnation, reduce overthinking, and promote transformation. Use aromatic and draining herbs.","SP9, ST40, ST25, CV12",Ping Wei San
What is Spleen Qi deficiency?,"Spleen Qi deficiency causes poor appetite, fatigue after eating, loose stools, weak limbs, pale complexion, prolapse, and easy bruising. Fundamental deficiency pattern.","SP3, SP6, ST36, CV12",Si Jun Zi Tang
What is Spleen Yang deficiency?,"Spleen Yang deficiency shows cold signs: cold limbs, abdominal coldness, watery diarrhea, edema, and lack of warmth. More severe than Qi deficiency.","SP3, SP6, ST36, CV4",Fu Zi Li Zhong Wan
What is Spleen dampness?,"Spleen dampness manifests as heaviness, bloating, loose stools, nausea, poor appetite, thick tongue coating, and foggy thinking. Spleen cannot transform fluids.","SP9, SP6, ST40, CV12",Er Chen Tang
How does Earth relate to late summer season?,"Late summer (harvest time) is Earth season - transition between Yang and Yin. Focus on nourishment, gathering, and digestive health during this time.","SP6, ST36, CV12",Liu Jun Zi Tang
What foods support the Earth element?,"Yellow/orange foods (squash, carrots, corn), sweet foods (yams, rice, dates), easily digestible cooked foods, and warming spices. Avoid cold, raw, greasy foods.","SP6, ST36, CV12",Huang Qi (Astragalus)
How does worry affect the Earth element?,"Worry is Earth's emotion. Excessive worry damages Spleen, causing Qi stagnation and digestive problems. Spleen deficiency causes overthinking and worry.","SP3, SP6, HT7, PC6",Gui Pi Tang
What are the main functions of the Metal element?,"Metal governs respiration, boundary setting, elimination, immune defense (Wei Qi), and letting go. Lung controls Qi and breathing; Large Intestine eliminates waste.","LU7, LU9, LI4, LI11",Bu Fei Tang
What are signs of Metal element imbalance?,"Excess: cough, asthma, constipation, grief, rigidity, holding on. Deficiency: weak immunity, frequent colds, weak voice, shortness of breath, diarrhea, inability to let go.","LU7, LU5, LI4, LI11",Ma Xing Shi Gan Tang
How do you tonify deficient Metal?,"Tonify Lung Qi and Yin, strengthen defensive Qi, moisten dryness, and support Large Intestine. Use point selection and herbs to strengthen Lung function.","LU9, LU7, BL13, ST36",Bu Zhong Yi Qi Tang
How do you sedate excessive Metal?,"Clear Lung heat, release exterior, resolve phlegm, descend rebellious Qi, and relieve constipation. Use pungent and cool herbs.","LU5, LU10, LI4, LI11",Ma Xing Shi Gan Tang
What is Lung Qi deficiency?,"Lung Qi deficiency causes weak voice, shortness of breath, spontaneous sweating, frequent colds, fatigue, and pale complexion. The Lung cannot govern Qi adequately.","LU9, BL13, ST36, KI3",Yu Ping Feng San
