question,answer,category,source
"What does a pale tongue body indicate in TCM diagnosis?","A pale tongue body indicates Blood Deficiency or Yang Deficiency. Treatment points: ST36, SP6, BL20. Formula: Ba Zhen Tang (Eight Treasure Decoction).",tcm_diagnosis,four-examinations-inspection
"What does a red tongue with yellow coating signify?","A red tongue with yellow coating signifies Excess Heat in the Interior. Treatment points: LI11, ST44, DU14. Formula: Bai Hu Tang (White Tiger Decoction).",tcm_diagnosis,four-examinations-inspection
"What do purple spots on the tongue indicate?","Purple spots on the tongue indicate Blood Stasis. Treatment points: SP10, BL17, Ashi. Formula: Xue Fu Zhu Yu Tang (Drive Out Stasis in the Mansion of Blood).",tcm_diagnosis,four-examinations-inspection
"What does a swollen tongue with teeth marks mean?","A swollen tongue with teeth marks indicates Spleen Qi Deficiency with Dampness. Treatment points: SP9, ST36, CV12. Formula: Shen Ling Bai Zhu San.",tcm_diagnosis,four-examinations-inspection
"What does a red tip of tongue indicate?","A red tip of tongue indicates Heart Fire. Treatment points: HT8, PC8, HT7. Formula: Dao Chi San (Guide Out the Red Powder).",tcm_diagnosis,four-examinations-inspection
"What does a pale face or complexion indicate?","A pale face or complexion indicates Blood Deficiency. Treatment points: BL17, SP10, ST36. Formula: Si Wu Tang (Four Substance Decoction).",tcm_diagnosis,four-examinations-inspection
"What do red flushed cheeks (malar flush) indicate?","Red flushed cheeks (malar flush) indicate Yin Deficiency with Empty Heat. Treatment points: KD3, KD6, LU10. Formula: Zhi Bai Di Huang Wan.",tcm_diagnosis,four-examinations-inspection
"What does yellow sclera (eyes) indicate?","Yellow sclera indicates Damp-Heat, often related to Jaundice or Liver/Gallbladder issues. Treatment points: GB34, LV3, DU9. Formula: Yin Chen Hao Tang.",tcm_diagnosis,four-examinations-inspection
"What do dry cracked lips indicate in TCM?","Dry cracked lips indicate Spleen Heat or Fluid Deficiency. Treatment points: ST44, KI6, SP6. Formula: Zeng Ye Tang (Increase Fluids Decoction).",tcm_diagnosis,four-examinations-inspection
"What does a loud shouting voice indicate?","A loud shouting voice indicates an Excess type condition, often Liver Yang or Liver Fire. Treatment points: LV2, GB20, LV3. Formula: Long Dan Xie Gan Tang.",tcm_diagnosis,four-examinations-listening
"What does a weak low voice indicate?","A weak low voice indicates Qi Deficiency, typically of Lung or Spleen. Treatment points: LU9, ST36, CV6. Formula: Bu Zhong Yi Qi Tang.",tcm_diagnosis,four-examinations-listening
"What does coarse heavy breathing indicate?","Coarse heavy breathing indicates Excess conditions such as Wind-Heat or Phlegm. Treatment points: LU5, ST40, Dingchuan. Formula: Ding Chuan Tang.",tcm_diagnosis,four-examinations-listening
"What does a dry cough with no phlegm indicate?","A dry cough with no phlegm indicates Lung Yin Deficiency. Treatment points: LU9, BL13, KD6. Formula: Bai He Gu Jin Tang.",tcm_diagnosis,four-examinations-listening
"What does strong foul breath indicate?","Strong foul breath indicates Stomach Fire or Stomach Heat. Treatment points: ST44, ST45, PC7. Formula: Qing Wei San (Clear the Stomach Powder).",tcm_diagnosis,four-examinations-listening
"What does a rotten apple smell indicate?","A rotten apple smell indicates Severe Toxic Heat or may suggest diabetic ketoacidosis in modern terms. Treatment points: LI11, DU14, PC3. Formula: Huang Lian Jie Du Tang.",tcm_diagnosis,four-examinations-listening
"What do simultaneous chills and fever indicate?","Simultaneous chills and fever indicate an Exterior Invasion, either Wind-Cold or Wind-Heat. Treatment points: LU7, LI4, GB20. Formula: Gui Zhi Tang.",tcm_diagnosis,four-examinations-inquiry
"What does alternating chills and fever indicate?","Alternating chills and fever indicates a Shao Yang pattern (Half-Interior Half-Exterior). Treatment points: SJ5, GB41, TW6. Formula: Xiao Chai Hu Tang.",tcm_diagnosis,four-examinations-inquiry
"What do night sweats indicate in TCM?","Night sweats indicate Yin Deficiency. Treatment points: HT6, KD7, SI3. Formula: Dang Gui Liu Huang Tang.",tcm_diagnosis,four-examinations-inquiry
"What does spontaneous sweating during daytime indicate?","Spontaneous daytime sweating indicates Qi Deficiency with weak Wei Qi. Treatment points: LI4, KD7, LU9. Formula: Yu Ping Feng San.",tcm_diagnosis,four-examinations-inquiry
"What does a vertex (top of head) headache indicate?","A vertex headache indicates Liver Blood Deficiency or Liver Yang Rising. Treatment points: LV3, DU20, SI3. Formula: Wu Zhu Yu Tang.",tcm_diagnosis,four-examinations-inquiry
"What does a forehead headache indicate?","A forehead headache indicates a Stomach Channel (Yangming) issue. Treatment points: ST44, LI4, Yintang. Key herb: Bai Zhi.",tcm_diagnosis,four-examinations-inquiry
"What does thirst for cold drinks indicate?","Thirst for cold drinks indicates Excess Heat. Treatment points: LI11, ST44, SJ2. Formula: Bai Hu Tang.",tcm_diagnosis,four-examinations-inquiry
"What does thirst but no desire to drink indicate?","Thirst with no desire to drink indicates Damp-Heat. Treatment points: SP9, ST36, REN9. Formula: San Ren Tang.",tcm_diagnosis,four-examinations-inquiry
"What does a bitter taste in mouth indicate?","A bitter taste in mouth indicates Liver or Gallbladder Fire. Treatment points: GB34, LV2, SJ6. Formula: Long Dan Xie Gan Tang.",tcm_diagnosis,four-examinations-inquiry
"What does a sweet taste in mouth indicate?","A sweet taste in mouth indicates Spleen Dampness. Treatment points: SP9, CV12, ST8. Key herb: Pei Lan.",tcm_diagnosis,four-examinations-inquiry
"What does pain that worsens with pressure indicate?","Pain worse with pressure indicates an Excess condition. Use local points with sedation technique.",tcm_diagnosis,four-examinations-inquiry
"What does pain that improves with pressure indicate?","Pain better with pressure indicates a Deficiency condition. Use local points with tonification technique.",tcm_diagnosis,four-examinations-inquiry
"What do loose stools with undigested food indicate?","Loose stools with undigested food indicate Spleen Yang Deficiency. Treatment points: ST36, CV12, CV6 with Moxa. Formula: Li Zhong Wan.",tcm_diagnosis,four-examinations-inquiry
"What does constipation with dry pebble stool indicate?","Constipation with dry pebble-like stool indicates Blood or Yin Deficiency. Treatment points: ST25, SJ6, KD6. Formula: Run Chang Wan.",tcm_diagnosis,four-examinations-inquiry
"What does difficulty falling asleep indicate?","Difficulty falling asleep indicates Heart Blood Deficiency. Treatment points: HT7, SP6, Anmian. Formula: Suan Zao Ren Tang.",tcm_diagnosis,four-examinations-inquiry
"What does waking frequently with dream-disturbed sleep indicate?","Waking frequently with dream-disturbed sleep indicates Gallbladder/Heart Qi Deficiency or Phlegm. Treatment points: GB40, HT7, PC6. Formula: Wen Dan Tang.",tcm_diagnosis,four-examinations-inquiry
"What does a floating pulse indicate?","A floating pulse indicates an Exterior Pattern, typically Wind Invasion. Treatment points: LU7, LI4.",tcm_diagnosis,four-examinations-palpation
"What does a deep pulse indicate?","A deep pulse indicates an Interior Pattern. Treatment points: ST36, SP6.",tcm_diagnosis,four-examinations-palpation
"What does a rapid pulse indicate?","A rapid pulse indicates a Heat Pattern. Treatment points: LI11, GV14.",tcm_diagnosis,four-examinations-palpation
"What does a slow pulse indicate?","A slow pulse indicates a Cold Pattern. Treatment points: CV4, ST36 with Moxa.",tcm_diagnosis,four-examinations-palpation
"What does a wiry (string-taut) pulse indicate?","A wiry or string-taut pulse indicates Liver Qi Stagnation or Pain. Treatment points: LV3, GB34. Formula: Xiao Yao San.",tcm_diagnosis,four-examinations-palpation
"What does a slippery (rolling) pulse indicate?","A slippery or rolling pulse indicates Phlegm Dampness or Pregnancy. Treatment points: ST40, SP9. Formula: Er Chen Tang.",tcm_diagnosis,four-examinations-palpation
"What does a thready (thin) pulse indicate?","A thready or thin pulse indicates Blood or Yin Deficiency. Treatment points: BL17, SP10. Formula: Si Wu Tang.",tcm_diagnosis,four-examinations-palpation
"What does an abdomen that is cold to touch indicate?","An abdomen cold to touch indicates Interior Cold or Yang Deficiency. Treatment points: CV4, CV8 with salt Moxa. Formula: Li Zhong Wan.",tcm_diagnosis,four-examinations-palpation
"What do hard fixed masses in the abdomen indicate?","Hard fixed masses (Zheng) in the abdomen indicate Blood Stasis. Treatment points: SP10, BL17, Ashi. Formula: Gui Zhi Fu Ling Wan.",tcm_diagnosis,four-examinations-palpation
