Question,Answer,TCM_Trigger_Acupuncture_Points,Pharmacopeia
,,,
"When I ignore early signs of a virus and keep pushing, what can I do in the next 10 minutes?","Pause and admit you are getting sick, cancel or delegate one commitment, and arrange space and basics - water, tissues, simple food - for rest.","LI4 (Hegu), LU7 (Lieque), ST36 (Zusanli), CV4 (Guanyuan)",Cong Chi Tang with Yu Ping Feng San - emergency exterior support
"When I am often exposed to sick people at work, what can I do in the next 10 minutes?","Check that you are hydrated, take a brief mental break, adjust clothing so you are warm but not sweating, and wash or sanitize your hands.","LU7 (Lieque), ST36 (Zusanli), CV6 (Qihai), GV14 (Dazhui)",Yu Ping Feng San - daily Wei Qi maintenance for high-exposure workers
"When I notice my sleep getting shorter during busy season, what can I do in the next 10 minutes?","Pick a consistent sleep window, set a time-to-wind-down alarm, and decide one activity you will stop earlier to protect your rest.","HT7 (Shenmen), KI3 (Taixi), SP6 (Sanyinjiao), Anmian (EX-HN22)",Suan Zao Ren Tang or Tian Wang Bu Xin Dan - to restore sleep and immune resilience
"When I wake frequently at night during a cold, what can I do in the next 10 minutes?","Keep lighting low, sip a bit of water if needed, adjust bedding for comfort, and return to a calm position instead of reaching for bright screens.","HT7 (Shenmen), Anmian (EX-HN22), KI6 (Zhaohai)","Bai He Di Huang Tang: Bai He, Shu Di Huang - for disturbed sleep during illness"
"When I am sweating after being bundled up outside, what can I do in the next 10 minutes?","Remove damp layers, dry off, and change into dry, comfortable clothing so you do not cool down too quickly and stress your system.","LU7 (Lieque), BL12 (Fengmen), LI4 (Hegu)",Gui Zhi Tang - to prevent Cold invasion through open pores
"When I often feel chilled at my desk, what can I do in the next 10 minutes?","Add a layer over your shoulders or lower back, put on socks if your feet are cold, and stand up briefly to move your body and warm your muscles.","CV4 (Guanyuan), ST36 (Zusanli), KI3 (Taixi), BL23 (Shenshu)","Dang Gui Si Ni Tang: Dang Gui, Gui Zhi, Xi Xin - for chronic coldness and poor circulation"
"When I want to support long-term immune resilience, what can I do in the next 10 minutes?","Look at the next week and choose small, realistic changes: a bit more sleep, warmer clothing in cold wind, regular meals, and gentle movement most days.","ST36 (Zusanli), CV4 (Guanyuan), SP6 (Sanyinjiao), KI3 (Taixi), LU7 (Lieque)",Yu Ping Feng San plus Ba Zhen Tang - comprehensive constitutional immune support
"When I am recovering and tempted to catch up on everything, what can I do in the next 10 minutes?","Choose only one or two priority tasks, schedule rests, and remind yourself that full recovery now may prevent more sick days later.","ST36 (Zusanli), CV6 (Qihai), SP6 (Sanyinjiao)",Bu Zhong Yi Qi Tang - convalescence protocol to prevent relapse
"When my child brings home every new virus, what can I do in the next 10 minutes?","Set up a routine of handwashing after school, change them out of school clothes, and do the same for yourself before settling at home.","LI4 (Hegu), LU7 (Lieque), ST36 (Zusanli)",Yu Ping Feng San - household pathogen protocol
"When I feel better and want to exercise again after illness, what can I do in the next 10 minutes?","Start with gentle movement such as walking and stretching, notice how your breathing and energy feel, and stop before you feel drained.","ST36 (Zusanli), LU9 (Taiyuan), CV6 (Qihai)",Bu Zhong Yi Qi Tang - gentle Qi restoration post-illness
