Question,Answer,Category,Notes
How do I treat acute stiff neck (torticollis)?,"TCM Diagnosis: Wind-Cold invading Taiyang. Points: Luozhen (extra), SI3, GB20, Ashi. Treatment Principle: Expel Wind-Cold and release the muscle layer. Formula: Ge Gen Tang (Kudzu Decoction). Clinical Tip: Needle Luozhen (distal point) first while patient actively rotates neck.",msk_orthopedic,Acute - neck
How do I treat chronic cervical spondylosis?,"TCM Diagnosis: Qi and Blood Stagnation. Points: Cervical Jiaji, SI3, BL10, LI4, GB21. Treatment Principle: Move Qi, invigorate Blood, and relax tendons. Formula: Juan Bi Tang (Remove Painful Obstruction Decoction). Clinical Tip: Use electro-acupuncture on Jiaji points for best results.",msk_orthopedic,Chronic - neck
How do I treat early stage frozen shoulder?,"TCM Diagnosis: Wind-Cold invasion. Points: ST38, LI15, TE14, GB21. Treatment Principle: Expel Wind, warm channels, and alleviate pain. Formula: Juan Bi Tang (Remove Painful Obstruction Decoction). Clinical Tip: ST38 is the empiric distal point for shoulder - needle while patient moves shoulder.",msk_orthopedic,Acute - shoulder
How do I treat adhesive stage frozen shoulder?,"TCM Diagnosis: Qi/Blood Stagnation + Cold. Points: Jianqian (extra), LI15, LI11, SI9, SI10. Treatment Principle: Break stagnation, warm meridian, and improve ROM. Formula: Shen Tong Zhu Yu Tang (Drive Out Stasis from a Painful Body). Clinical Tip: Moxa is essential here to melt the 'frozen' aspect.",msk_orthopedic,Chronic - shoulder
How do I treat rotator cuff tendonitis?,"TCM Diagnosis: Local Qi Stagnation. Points: LI15, LI16, SI10, SI11. Treatment Principle: Move Qi and clear heat if inflammation is active. Formula: Shu Jing Huo Xue Tang (Relax the Channels and Invigorate the Blood). Clinical Tip: Check for trigger points in infraspinatus muscle (SI11 area).",msk_orthopedic,Shoulder
How do I treat tennis elbow (lateral epicondylitis)?,"TCM Diagnosis: Large Intestine Channel blockage. Points: LI11, LI10, LI4, Ashi. Treatment Principle: Clear obstruction in the LI channel. Formula: Xiao Huo Luo Dan (Minor Invigorate Collaterals Pill). Clinical Tip: Moxa on LI11 and LI10 is often more effective than needles alone.",msk_orthopedic,Elbow
How do I treat golfer's elbow (medial epicondylitis)?,"TCM Diagnosis: Heart/SI Channel blockage. Points: HT3, SI8, PC6. Treatment Principle: Clear obstruction in HT/SI channels. Formula: Shu Jing Huo Xue Tang (Relax the Channels and Invigorate the Blood). Clinical Tip: Avoid hitting the ulnar nerve directly - palpate carefully.",msk_orthopedic,Elbow
How do I treat carpal tunnel syndrome with TCM?,"TCM Diagnosis: Blood Deficiency with Wind-Damp. Points: PC7, PC6, TW5, Baxie. Treatment Principle: Nourish Blood, extinguish Wind, and open orifices. Formula: Huang Qi Gui Zhi Wu Wu Tang (Astragalus Cinnamon Twig Five Substance Decoction). Clinical Tip: Focus on C-spine points as root cause often originates in the neck.",msk_orthopedic,Wrist
How do I treat De Quervain's tenosynovitis?,"TCM Diagnosis: Local Qi Stagnation in LU/LI channels. Points: LU7, LI5, LI4. Treatment Principle: Move Qi in wrist and stop pain. Formula: Gui Zhi Fu Ling Wan (Cinnamon Twig and Poria Pill). Clinical Tip: Wrist is sensitive - use thin gauge needles (0.20mm or finer).",msk_orthopedic,Wrist
How do I treat acute lumbar sprain?,"TCM Diagnosis: Qi and Blood Stagnation (acute). Points: Yaotongxue (extra), BL23, BL40, Ashi. Treatment Principle: Move Qi and transform stasis - stop chasing pain. Formula: Die Da Wan (Trauma Pill). Clinical Tip: Bleed BL40 (Weizhong) to release acute heat and stasis quickly.",msk_orthopedic,Acute - lumbar
How do I treat chronic dull low back pain?,"TCM Diagnosis: Kidney Yang Deficiency. Points: BL23, GV4, KD3, BL52. Treatment Principle: Tonify Kidney Yang and strengthen lower back. Formula: Du Huo Ji Sheng Tang (Angelica Pubescens and Sangjisheng Decoction). Clinical Tip: Heavy moxa on GV4 and BL23 is essential for deficiency pattern.",msk_orthopedic,Chronic - lumbar
