Question_Symptom,TCM_Value_Mechanism,CM_Dot_Numbers_Acupoints,Pharmacopeia_Formula
"Does the patient have resting tremors in the hands?",Liver Wind Agitating / Basal Ganglia Loop,LR3 (Taichong) + GB34 (Yanglingquan) + SI3 (Houxi),Tian Ma Gou Teng Yin
"Does the patient forget names of close family members?",Kidney Jing Deficiency / Hippocampal atrophy,GB39 (Xuanzhong) + KI3 (Taixi) + DU20 (Baihui),Zuo Gui Wan
"Does the patient have a rigid, mask-like face (Hypomimia)?",Phlegm-Blood Stasis / Dopamine signaling loss,ST4 (Dicang) + ST6 (Jiache) + LI4 (Hegu),Tong Qiao Huo Xue Tang
"Does the patient wander or get lost in familiar places?",Heart-Kidney Disconnect / Spatial memory loss,HT7 (Shenmen) + KI3 (Taixi) + Sishencong,Bu Nao Wan
"Does the patient move slowly (Bradykinesia)?",Yang Deficiency / Mitochondrial energy failure,ST36 (Zusanli) + GV14 (Dazhui) + CV6 (Qihai),Bu Yang Huan Wu Tang
"Is the patient aggressive or easily agitated (Sundowning)?",Liver Fire / Circadian rhythm disruption,LR2 (Xingjian) + GB20 (Fengchi) + HT7 (Shenmen),Long Dan Xie Gan Tang
"Does the patient have 'cogwheel' rigidity in joints?",Tendon malfunction due to Liver Blood deficiency,GB34 (Yanglingquan) + LR8 (Ququan) + SP10 (Xuehai),Shao Yao Gan Cao Tang
"Does the patient repeat the same story over and over?",Phlegm Misting the Heart / Frontal Lobe loop,ST40 (Fenglong) + PC5 (Jianshi) + DU26 (Renzhong),Di Tan Tang
"Does the patient have difficulty swallowing (Dysphagia)?",Lung/Stomach Qi deficiency / Vagal nerve weakness,CV23 (Lianquan) + GB20 (Fengchi) + LI4 (Hegu),Hou Shi Hei San
"Does the patient have freezing of gait (stuck feet)?",Kidney Yang Deficiency / Motor cortex signaling,UB23 (Shenshu) + KD1 (Yongquan) + DU4 (Mingmen),Jin Gui Shen Qi Wan
"Is the patient withdrawing socially (Apathy)?",Qi Stagnation / Dopamine reward deficiency,LR3 (Taichong) + DU20 (Baihui) + CV17 (Danzhong),Chai Hu Shu Gan San
"Does the patient have hallucinations or delusions?",Phlegm Fire disturbing Shen / Neuro-inflammation,ST40 (Fenglong) + PC7 (Daling) + DU24 (Shenting),Wen Dan Tang
"Does the patient have a soft, whispering voice?",Lung/Kidney Qi Deficiency / Laryngeal weakness,LU9 (Taiyuan) + KI6 (Zhaohai) + CV22 (Tiantu),Bu Zhong Yi Qi Tang
"Does the patient have tremors that worsen with stress?",Liver Yang Rising / Adrenal cortisol spike,LR3 (Taichong) + GB20 (Fengchi) + Yintang,Zhen Gan Xi Feng Tang
"Does the patient have micro-graphia (small handwriting)?",Fine Motor Control / Cerebellar dysfunction,LI4 (Hegu) + TW5 (Waiguan) + SI3 (Houxi),Bu Yang Huan Wu Tang
"Is the patient experiencing incontinence?",Kidney Qi Sinking / Sphincter loss,CV4 (Guanyuan) + UB23 (Shenshu) + CV6 (Qihai),Suo Quan Wan
"Does the patient have chronic constipation?",Large Intestine Dryness / Enteric nerve degeneration,ST25 (Tianshu) + SJ6 (Zhigou) + KD6 (Zhaohai),Ma Zi Ren Wan
"Does the patient have insomnia (waking frequently)?",Yin Deficiency with Empty Heat / Melatonin drop,HT6 (Yinxi) + KD6 (Zhaohai) + Anmian,Tian Wang Bu Xin Dan
"Does the patient have drooling?",Spleen Qi Deficiency / Oral motor weakness,ST4 (Dicang) + SP3 (Taibai) + CV24 (Chengjiang),Liu Jun Zi Tang
"Does the patient have difficulty turning over in bed?",Trunk rigidity / Axial muscle tone,GB34 (Yanglingquan) + UB40 (Weizhong) + DU3 (Yaoyangguan),Shu Jing Huo Xue Tang
"Does the patient have orthostatic hypotension (dizzy standing)?",Qi Sinking / Autonomic failure,GV20 (Baihui) + ST36 (Zusanli) + PC6 (Neiguan),Bu Zhong Yi Qi Tang
"Does the patient exhibit pill-rolling tremors?",Wind-Phlegm obstruction / Basal Ganglia tremor,TW5 (Waiguan) + LI11 (Quchi) + LR3 (Taichong),Ban Xia Bai Zhu Tian Ma Tang
"Does the patient have excessive daytime sleepiness?",Yang Deficiency / Reticular Activating System fatigue,GV20 (Baihui) + GV26 (Renzhong) + KI3 (Taixi),You Gui Wan
"Does the patient have anxiety or panic attacks?",Heart Qi Deficiency / Amygdala over-activation,HT7 (Shenmen) + PC6 (Neiguan) + CV14 (Juque),Gui Pi Tang
"Does the patient have loss of smell (Anosmia)?",Lung Qi Deficiency / Olfactory bulb degeneration,LI20 (Yingxiang) + LU7 (Lieque) + GV23 (Shangxing),Cang Er Zi San
"Does the patient have paranoia (suspicion of theft)?",Kidney/Heart Disharmony / Prefrontal cortex decline,HT7 (Shenmen) + KI3 (Taixi) + UB15 (Xinshu),Zhi Bai Di Huang Wan
"Does the patient have shuffling gait?",Kidney/Liver Deficiency / Proprioception loss,GB39 (Xuanzhong) + ST41 (Jiexi) + UB60 (Kunlun),Du Huo Ji Sheng Tang
"Does the patient have severe neck stiffness?",Wind-Cold-Damp Bi / Cervical dystonia,GB20 (Fengchi) + UB10 (Tianzhu) + SI3 (Houxi),Ge Gen Tang
"Does the patient have inappropriate laughing/crying?",Pseudobulbar affect / Shen disturbance,HT5 (Tongli) + PC6 (Neiguan) + DU26 (Renzhong),Gan Mai Da Zao Tang
"Does the patient have muscle wasting (Atrophy)?",Spleen/Stomach Deficiency / Metabolic decline,ST36 (Zusanli) + SP6 (Sanyinjiao) + CV12 (Zhongwan),Ba Zhen Tang
"Does the patient have restless leg syndrome?",Liver Blood Deficiency / Dopamine restlessness,GB31 (Fengshi) + SP10 (Xuehai) + LR3 (Taichong),Shao Yao Gan Cao Tang
"Does the patient have inability to recognize faces (Prosopagnosia)?",Heart Blood Stasis / Fusiform gyrus issue,HT7 (Shenmen) + SI3 (Houxi) + UB15 (Xinshu),Xue Fu Zhu Yu Tang
"Does the patient have blurred vision?",Liver Blood Deficiency / Visual cortex processing,UB18 (Ganshu) + GB37 (Guangming) + ST1 (Chengqi),Qi Ju Di Huang Wan
"Does the patient have frequent falls?",Kidney Yang Deficiency / Vestibular imbalance,GB20 (Fengchi) + KD3 (Taixi) + DU20 (Baihui),Jin Gui Shen Qi Wan
"Does the patient have oily skin (Seborrhea)?",Damp-Heat / Autonomic dysregulation,LI11 (Quchi) + SP9 (Yinlingquan) + ST44 (Neiting),Long Dan Xie Gan Tang
"Does the patient have excessive sweating?",Qi Deficiency / Autonomic thermoregulation,LU9 (Taiyuan) + KD7 (Fuliu) + LI4 (Hegu),Yu Ping Feng San
"Does the patient have vivid nightmares (REM behavior disorder)?",Liver Fire / Brainstem inhibition failure,LR2 (Xingjian) + HT8 (Shaofu) + PC7 (Daling),Long Dan Xie Gan Tang
"Does the patient have difficulty initiating movement?",Qi Stagnation / Supplementary motor area block,LR3 (Taichong) + LI4 (Hegu) + GB34 (Yanglingquan),Chai Hu Shu Gan San
"Does the patient have confusion at twilight (Sundowning)?",Yin Deficiency / Melatonin circadian dip,KD6 (Zhaohai) + HT7 (Shenmen) + SP6 (Sanyinjiao),Zuo Gui Wan
"Does the patient have difficulty multitasking?",Spleen Qi Deficiency / Executive function load,SP3 (Taibai) + Sishencong + ST36 (Zusanli),Bu Nao Wan
"Does the patient have painful muscle cramps?",Liver Blood Deficiency / Lactic acid buildup,GB34 (Yanglingquan) + SP8 (Diji) + LR3 (Taichong),Shao Yao Gan Cao Tang
"Does the patient have swollen feet (Edema)?",Kidney Yang Deficiency / Lymphatic stasis,SP9 (Yinlingquan) + KD7 (Fuliu) + ST28 (Shuidao),Zhen Wu Tang
"Does the patient have inability to dress themselves (Apraxia)?",Marrou/Brain Kidney Deficiency / Parietal lobe issue,GB39 (Xuanzhong) + DU20 (Baihui) + TW5 (Waiguan),Di Huang Yin Zi
