Question_ID,Question,Answer,Acupuncture_Points,Pharmacopeia_Formula
Q001,What are the primary characteristics of 平和质 (Ping He) (Balanced/Gentleness Constitution)?,"Well-balanced qi, blood, yin and yang; healthy complexion; good energy; adaptable to environment; rarely falls ill","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), LI4 (Hegu)",Generally no intervention needed; seasonal health maintenance formulas if needed
Q002,What are the primary characteristics of 气虚质 (Qi Xu) (Qi Deficiency Constitution)?,"Fatigue, shortness of breath, weak voice, spontaneous sweating, prone to colds, poor immunity","ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL21 (Weishu), CV12 (Zhongwan)","Si Jun Zi Tang (Four Gentlemen Decoction), Bu Zhong Yi Qi Tang (Tonify Middle & Augment Qi)"
Q003,What are the primary characteristics of 阳虚质 (Yang Xu) (Yang Deficiency Constitution)?,"Cold intolerance, cold limbs, preference for warm drinks, low energy, clear abundant urine","GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli), KI3 (Taixi)","Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill), You Gui Wan (Restore Right Kidney Pill)"
Q004,What are the primary characteristics of 阴虚质 (Yin Xu) (Yin Deficiency Constitution)?,"Heat intolerance, dry mouth and throat, hot palms and soles, night sweats, dry skin","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu), CV4 (Guanyuan)","Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill), Zhi Bai Di Huang Wan (Anemarrhena & Phellodendron Rehmannia Pill)"
Q005,What are the primary characteristics of 痰湿质 (Tan Shi) (Phlegm-Dampness Constitution)?,"Overweight, heaviness in body and head, excessive phlegm, chest oppression, greasy sensation","ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao)","Er Chen Tang (Two Aged Decoction), Wen Dan Tang (Warm Gallbladder Decoction)"
Q006,What are the primary characteristics of 湿热质 (Shi Re) (Damp-Heat Constitution)?,"Oily face, acne, bitter taste in mouth, body odor, yellow greasy urine, irritability","SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), LR3 (Taichong)","Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction), Yin Chen Hao Tang (Artemisia Capillaris Decoction)"
Q007,What are the primary characteristics of 血瘀质 (Xue Yu) (Blood Stasis Constitution)?,"Dull complexion, dark pigmentation, easy bruising, stabbing pains, rough dry skin","SP10 (Xuehai), BL17 (Geshu), LI4 (Hegu), LR3 (Taichong), SP6 (Sanyinjiao)","Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion), Tao Hong Si Wu Tang (Persica & Carthamus Four Substance)"
Q008,What are the primary characteristics of 气郁质 (Qi Yu) (Qi Stagnation Constitution)?,"Depression, anxiety, chest tightness, frequent sighing, sensation of lump in throat, mood swings","LR3 (Taichong), PC6 (Neiguan), GB34 (Yanglingquan), CV17 (Shanzhong), LI4 (Hegu)","Xiao Yao San (Free and Easy Wanderer), Chai Hu Shu Gan San (Bupleurum Soothe Liver Powder)"
Q009,What are the primary characteristics of 特禀质 (Te Bing) (Special Constitution/Allergic Constitution)?,"Allergies, asthma, urticaria, drug sensitivities, inherited conditions, immediate reactions to allergens","LI4 (Hegu), LI11 (Quchi), ST36 (Zusanli), LU7 (Lieque), GV14 (Dazhui)","Yu Ping Feng San (Jade Windscreen Powder), Xiao Qing Long Tang (Minor Blue-Green Dragon)"
Q010,What physical signs indicate 平和质 (Ping He) constitution?,"Physical manifestations include: Moderate build, rosy complexion, lustrous hair, good appetite and sleep","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), LI4 (Hegu)",Generally no intervention needed; seasonal health maintenance formulas if needed
Q011,What physical signs indicate 气虚质 (Qi Xu) constitution?,"Physical manifestations include: Pale complexion, muscle weakness, breathlessness on exertion, tongue pale with teeth marks","ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL21 (Weishu), CV12 (Zhongwan)","Si Jun Zi Tang (Four Gentlemen Decoction), Bu Zhong Yi Qi Tang (Tonify Middle & Augment Qi)"
Q012,What physical signs indicate 阳虚质 (Yang Xu) constitution?,"Physical manifestations include: Pale puffy face, cold extremities, loose stools, pale tongue with white coating","GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli), KI3 (Taixi)","Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill), You Gui Wan (Restore Right Kidney Pill)"
Q013,What physical signs indicate 阴虚质 (Yin Xu) constitution?,"Physical manifestations include: Thin build, flushed cheeks, dry eyes, scanty dark urine, red tongue with little coating","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu), CV4 (Guanyuan)","Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill), Zhi Bai Di Huang Wan (Anemarrhena & Phellodendron Rehmannia Pill)"
Q014,What physical signs indicate 痰湿质 (Tan Shi) constitution?,"Physical manifestations include: Obesity, oily face, sticky mouth, abdominal distention, thick greasy tongue coating","ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao)","Er Chen Tang (Two Aged Decoction), Wen Dan Tang (Warm Gallbladder Decoction)"
Q015,What physical signs indicate 湿热质 (Shi Re) constitution?,"Physical manifestations include: Oily skin, prone to acne and boils, scanty dark urine, yellow greasy tongue coating","SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), LR3 (Taichong)","Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction), Yin Chen Hao Tang (Artemisia Capillaris Decoction)"
Q016,What physical signs indicate 血瘀质 (Xue Yu) constitution?,"Physical manifestations include: Dark purple lips, spider veins, purple tongue with petechiae, dark circles under eyes","SP10 (Xuehai), BL17 (Geshu), LI4 (Hegu), LR3 (Taichong), SP6 (Sanyinjiao)","Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion), Tao Hong Si Wu Tang (Persica & Carthamus Four Substance)"
Q017,What physical signs indicate 气郁质 (Qi Yu) constitution?,"Physical manifestations include: Thin build, worried facial expression, hypochondriac distention, irregular menstruation in women","LR3 (Taichong), PC6 (Neiguan), GB34 (Yanglingquan), CV17 (Shanzhong), LI4 (Hegu)","Xiao Yao San (Free and Easy Wanderer), Chai Hu Shu Gan San (Bupleurum Soothe Liver Powder)"
Q018,What physical signs indicate 特禀质 (Te Bing) constitution?,"Physical manifestations include: Susceptible to sneezing, nasal congestion, skin rashes, wheezing when exposed to allergens","LI4 (Hegu), LI11 (Quchi), ST36 (Zusanli), LU7 (Lieque), GV14 (Dazhui)","Yu Ping Feng San (Jade Windscreen Powder), Xiao Qing Long Tang (Minor Blue-Green Dragon)"
Q019,What psychological traits are associated with 平和质 (Ping He) constitution?,"Psychological characteristics: Optimistic, peaceful, emotionally stable","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), LI4 (Hegu)",Generally no intervention needed; seasonal health maintenance formulas if needed
Q020,What psychological traits are associated with 气虚质 (Qi Xu) constitution?,"Psychological characteristics: Introverted, timid, lacks confidence, easily discouraged","ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL21 (Weishu), CV12 (Zhongwan)","Si Jun Zi Tang (Four Gentlemen Decoction), Bu Zhong Yi Qi Tang (Tonify Middle & Augment Qi)"
Q021,What psychological traits are associated with 阳虚质 (Yang Xu) constitution?,"Psychological characteristics: Quiet, introverted, lacks motivation, emotionally withdrawn","GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli), KI3 (Taixi)","Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill), You Gui Wan (Restore Right Kidney Pill)"
Q022,What psychological traits are associated with 阴虚质 (Yin Xu) constitution?,"Psychological characteristics: Irritable, impatient, anxious, restless","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu), CV4 (Guanyuan)","Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill), Zhi Bai Di Huang Wan (Anemarrhena & Phellodendron Rehmannia Pill)"
Q023,What psychological traits are associated with 痰湿质 (Tan Shi) constitution?,"Psychological characteristics: Sluggish, slow to react, tends to be calm and stable","ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao)","Er Chen Tang (Two Aged Decoction), Wen Dan Tang (Warm Gallbladder Decoction)"
