Question,Answer,Category,Notes
What are the acupuncture points for Liver Qi Stagnation?,"For Liver Qi Stagnation, use the Four Gates (Si Guan) combination: LI4 and LV3. This strongly moves Qi and Blood, and alleviates pain and stress. Corresponding herbal formula: Xiao Yao San (Free and Easy Wanderer).",pattern_differentiation,Classical combination
What are the acupuncture points for Spleen Qi Deficiency?,"For Spleen Qi Deficiency, use the Digestive Triad: ST36, SP6, and CV12. This tonifies Spleen Qi and harmonizes Stomach. Corresponding herbal formula: Si Jun Zi Tang (Four Gentlemen Decoction).",pattern_differentiation,Classical combination
What are the acupuncture points for Kidney Yin Deficiency?,"For Kidney Yin Deficiency, use KI3, KI6, and SP6. This nourishes Kidney Yin and fluids, and clears deficiency heat. Corresponding herbal formula: Liu Wei Di Huang Wan (Six Ingredient Pill with Rehmannia).",pattern_differentiation,Yin tonification
What are the acupuncture points for Blood Deficiency?,"For Blood Deficiency, use the Blood Tonic Set: BL17, SP10, and ST36. This tonifies and moves Blood, and benefits the diaphragm. Corresponding herbal formula: Si Wu Tang (Four Substance Decoction).",pattern_differentiation,Classical combination
What are the acupuncture points for Wind-Cold Invasion?,"For Wind-Cold Invasion, use the Exterior Releasing combination: LU7, LI4, and GB20. This releases the exterior and expels Wind-Cold. Corresponding herbal formula: Gui Zhi Tang (Cinnamon Twig Decoction).",pattern_differentiation,Acute condition
What are the acupuncture points for Wind-Heat Invasion?,"For Wind-Heat Invasion, use the Heat Clearing combination: LI4, LI11, LU5, and DU14. This clears heat, expels Wind, and benefits the throat. Corresponding herbal formula: Yin Qiao San (Honeysuckle and Forsythia Powder).",pattern_differentiation,Acute condition
What are the acupuncture points for Phlegm-Dampness?,"For Phlegm-Dampness, use the Phlegm Buster combination: ST40, SP9, and CV12. This resolves dampness, transforms phlegm, and harmonizes middle jiao. Corresponding herbal formula: Er Chen Tang (Two Cured Decoction).",pattern_differentiation,Dampness protocol
What are the acupuncture points for Heart Blood Deficiency?,"For Heart Blood Deficiency, use the Calm Spirit combination: HT7, PC6, SP6, and BL15. This nourishes Heart Blood and calms the Shen (Spirit). Corresponding herbal formula: Gui Pi Tang (Restore the Spleen Decoction).",pattern_differentiation,Shen calming
What are the acupuncture points for Kidney Yang Deficiency?,"For Kidney Yang Deficiency, use the Yang Warmer combination: BL23, GV4, CV4, and KI7. This warms and tonifies Kidney Yang, and strengthens the back. Corresponding herbal formula: Jin Gui Shen Qi Wan (Kidney Qi Pill from the Golden Cabinet).",pattern_differentiation,Yang tonification
What are the acupuncture points for Liver Fire Rising?,"For Liver Fire Rising, use the Fire Drainer combination: LV2, LV3, GB20, and GB34. This clears Liver Fire and subdues ascending Yang. Corresponding herbal formula: Long Dan Xie Gan Tang (Gentiana Decoction to Drain the Liver).",pattern_differentiation,Heat clearing
What are the acupuncture points for Stomach Fire?,"For Stomach Fire, use ST44, ST45, and LI4. This clears Stomach Heat and alleviates toothache/facial pain. Corresponding herbal formula: Qing Wei San (Clear the Stomach Powder).",pattern_differentiation,Heat clearing
What are the acupuncture points for Qi and Blood Stagnation?,"For Qi and Blood Stagnation, use the Active Mover combination: LI4, LV3, SP10, and BL17. This strongly moves Qi and breaks Blood stasis. Corresponding herbal formula: Xue Fu Zhu Yu Tang (Drive Out Stasis in the Mansion of Blood).",pattern_differentiation,Stagnation protocol
What are the acupuncture points for Lung Yin Deficiency?,"For Lung Yin Deficiency, use LU9, BL13, and KI6. This moistens the Lungs, nourishes Yin, and stops dry cough. Corresponding herbal formula: Bai He Gu Jin Tang (Lily Bulb Decoction to Preserve the Metal).",pattern_differentiation,Yin tonification
What are the acupuncture points for Damp-Heat in Lower Jiao?,"For Damp-Heat in Lower Jiao, use SP9, SP6, LI11, and BL28. This clears damp-heat from bladder/intestines. Corresponding herbal formula: Ba Zheng San (Eight Herb Powder for Rectification).",pattern_differentiation,Dampness protocol
What are the acupuncture points for Spleen Yang Deficiency?,"For Spleen Yang Deficiency, use ST36, CV12, CV6, and BL20 with moxa. This warms the middle jiao, dispels cold, and stops diarrhea. Corresponding herbal formula: Li Zhong Wan (Regulate the Middle Pill).",pattern_differentiation,Yang tonification with moxa
What are the acupuncture points for Shen Disturbance and Insomnia?,"For Shen Disturbance (Insomnia), use the Sleep Triad: HT7, PC6, and Anmian. This calms the mind, nourishes the heart, and promotes sleep. Corresponding herbal formula: Suan Zao Ren Tang (Sour Jujube Decoction).",pattern_differentiation,Shen calming
What is the Four Gates (Si Guan) point combination?,"Four Gates (Si Guan) uses LI4 and LV3 bilaterally. It strongly moves Qi and Blood, alleviates pain and stress. Primary indication: Liver Qi Stagnation. This is one of the most powerful combinations for moving stagnation throughout the body.",pattern_differentiation,Classical combination
What is the Digestive Triad point combination?,"The Digestive Triad uses ST36, SP6, and CV12. It tonifies Spleen Qi and harmonizes Stomach. Primary indication: Spleen Qi Deficiency. ST36 is the master point for digestive function.",pattern_differentiation,Classical combination
