Question,Answer,Points,Pharmacopeia,Trimester,Safety_Warning
What are the safe acupuncture points for first trimester?,"SAFE first trimester points: ST36 (Zusanli) tonifies Qi safely. PC6 (Neiguan) for nausea - essential for morning sickness. KI9 (Zhubin) specifically calms fetus - the key pregnancy point. SP6 with very gentle technique. HT7 (Shenmen) for anxiety. Yintang for calming. GV20 (Baihui) to lift Qi. CV4 with very light touch or moxa nearby. Avoid all forbidden points strictly.","ST36, PC6, KI9, SP6, HT7, Yintang, GV20, CV4",Shou Tai Wan if threatened miscarriage,First Trimester,AVOID: LI4 SP6 combo GB21 BL60 BL67 sacral points - Use gentle technique only
What points are FORBIDDEN in first trimester?,"ABSOLUTELY AVOID in first trimester: LI4 (Hegu) - strongly moves Qi can cause contractions. GB21 (Jianjing) - descends Qi can induce labor. BL60 (Kunlun) and BL67 (Zhiyin) - promote labor. SP6 with strong stimulation - moves blood. All sacral points BL31-34 - too close to uterus. All lower abdominal points with deep needling. Any points causing strong De Qi sensation in lower body.","LI4, GB21, BL60, BL67, BL31-34",None - Avoid herbs that move blood or descend Qi,First Trimester,CRITICAL: These points can cause miscarriage - Zero tolerance in first trimester
How to treat severe morning sickness (hyperemesis) in first trimester?,"For severe nausea and vomiting: PC6 (Neiguan) is the primary antiemetic point - use bilaterally. ST36 harmonizes Stomach. CV12 (Zhongwan) regulates middle jiao with gentle technique. KI21 (Youmen) for severe vomiting. SP4 (Gongsun) opens Chong Mai. Yintang calms. May need daily treatment initially. Acupressure bands on PC6 between treatments. Refer if unable to keep fluids down.","PC6, ST36, CV12, KI21, SP4, Yintang",Xiang Sha Liu Jun Zi Tang; Su Ye Huang Lian Tang for heat,First Trimester,SAFE treatment - Essential for quality of life - Refer if severe dehydration
How to treat threatened miscarriage in first trimester?,"EMERGENCY PROTOCOL: Immediate bed rest. GV20 (Baihui) with moxa to raise and hold Qi. KI9 (Zhubin) is the specific point for threatened miscarriage. CV4 with very gentle moxa nearby to warm and secure. ST36 strengthens Spleen holding function. DU20 lifts sinking Qi. AVOID all abdominal palpation and lower body points with stimulation. Refer for ultrasound immediately.","GV20, KI9, CV4, ST36",Shou Tai Wan (Fetus Longevity Pill); An Tai Wan,First Trimester,URGENT: Refer for ultrasound and medical evaluation - Bed rest essential - No blood movers
How to treat first trimester fatigue?,"Extreme fatigue is normal but can be supported. Points: ST36 (Zusanli) tonifies Qi - primary point. CV6 (Qihai) gently for Qi. SP6 gently nourishes blood. KI3 (Taixi) for Kidney support. GV20 lifts energy. BL20 (Pishu) for Spleen Qi if digestion also weak. Ensure adequate rest - fatigue is protective. Check iron levels. Light activity helps.","ST36, CV6, SP6, KI3, GV20, BL20",Ba Zhen Tang if Qi and blood deficient; Bu Zhong Yi Qi Tang,First Trimester,SAFE points - Encourage rest - Check for anemia
How to treat first trimester anxiety?,"Anxiety common especially with history of loss. Points: HT7 (Shenmen) calms Heart spirit. PC6 regulates emotions. Yintang for peace and calm. GV20 lifts and calms spirit. KI3 addresses Kidney-related fear. KI9 (Zhubin) calms fetus which calms mother. Ear Shenmen for ongoing support. Breathing exercises. Acknowledge concerns. Refer for counseling if severe.","HT7, PC6, Yintang, GV20, KI3, KI9",Gan Mai Da Zao Tang safe in pregnancy,First Trimester,SAFE treatment - Address concerns - Consider counseling referral if severe
What are safe second trimester acupuncture protocols?,"Second trimester is the safest period. Can treat more actively. SAFE points: ST36 SP6 (gentler than non-pregnant) for Qi and blood. KI3 KI9 for Kidney support. PC6 if nausea persists. All upper body points safe. Back points BL20 BL23 safe with side-lying position. LR3 gently for stress. Still avoid forbidden points though risk lower. Can treat musculoskeletal issues actively.","ST36, SP6, KI3, KI9, PC6, BL20, BL23, LR3",Pattern-based formulas with pregnancy-safe herbs,Second Trimester,Safest trimester - Still avoid forbidden points - Side-lying position for back points
How to treat second trimester back pain?,"Back pain common as baby grows. SAFE points: BL40 (Weizhong) command point for back - very safe. BL23 (Shenshu) with side-lying and shallow needling. Yaoyan (extra point) for local pain. GB30 (Huantiao) with care for hip involvement. GB34 for sinew issues. Ahshi points on upper back safe. AVOID deep sacral needling. Side-lying or seated positions.","BL40, BL23, Yaoyan, GB30, GB34",Topical Du Huo Ji Sheng Tang liniment,Second Trimester,SAFE: BL40 is the best point - Avoid deep sacral needling - Side-lying position
How to treat second trimester leg cramps?,"Leg cramps from calcium and magnesium needs. Points: GB34 (Yanglingquan) for sinews - primary point. LR3 nourishes Liver blood for sinews. SP6 gently for blood. BL57 (Chengshan) for calf cramps. ST36 for overall nourishment. Supplement calcium and magnesium. Hydration important. Stretching before bed. Shao Yao Gan Cao Tang is safe and very effective for cramping.","GB34, LR3, SP6, BL57, ST36",Shao Yao Gan Cao Tang - excellent for cramps,Second Trimester,SAFE treatment - Supplement calcium/magnesium - Stretch before bed
How to treat second trimester headaches?,"Pregnancy headaches often tension or blood volume related. SAFE points: GB20 (Fengchi) with gentle technique for occipital headache. Taiyang for temporal. Yintang for frontal. GV20 for vertex. PC6 if nausea associated. LR3 gently if stress component. AVOID LI4 - use alternative points. Check blood pressure to rule out preeclampsia. Hydration and rest important.","GB20, Taiyang, Yintang, GV20, PC6, LR3",Avoid internal herbs - Acupressure and rest preferred,Second Trimester,Check blood pressure - AVOID LI4 - Refer if severe or with visual changes
