Question_Assessment,Patient_Response_Logic,TCM_Trigger_Points,Pharmacopeia_Formula
"Do you wake up feeling exhausted even after a full night's sleep?",If Yes: Severe Qi Deficiency (MUST GO),UB23 (Shenshu) + KI3 (Taixi) + GV4 (Mingmen),Bu Zhong Yi Qi Tang (Tonify the Middle)
"On a scale of 1-10 how difficult is it for you to disconnect from your phone for 1 hour?",If 8-10: severe Shen disturbance (MUST GO),Yintang + HT7 (Shenmen) + DU20 (Baihui),Tian Wang Bu Xin Dan (Emperor's Teapills)
"Do you experience chronic neck or shoulder tension that returns immediately after massage?",If Yes: Liver Qi Stagnation turning to Fire (NEED),GB20 (Fengchi) + GB21 (Jianjing) + LI4 (Hegu),Xiao Yao San (Free and Easy Wanderer)
"Are you currently going through a major life transition (divorce grief job loss)?",If Yes: Shen Shock/Trauma (MUST GO),PC6 (Neiguan) + HT7 (Shenmen) + Ear Shenmen,Gan Mai Da Zao Tang (Licorice & Jujube Soup)
"Do you have irregular eating habits or skip meals due to stress?",If Yes: Spleen Qi Deficiency (NEED),ST36 (Zusanli) + SP6 (Sanyinjiao) + CV12 (Zhongwan),Xiang Sha Liu Jun Zi Tang (Six Gentlemen)
"Do you feel a sense of 'stuckness' or lack of direction in life?",If Yes: Liver/Gallbladder stagnation (NEED),LV3 (Taichong) + GB34 (Yanglingquan),Chai Hu Shu Gan San (Bupleurum Powder)
"Are you financially able to invest in your long-term health right now?",If No: Willingness Barrier (MAYBE),ST36 (Zusanli) for grounding,None (Focus on lifestyle advice)
"Do you suffer from recurring headaches or migraines?",If Yes: Liver Yang Rising (NEED),GB20 (Fengchi) + LIV2 (Xingjian) + Taiyang,Tian Ma Gou Teng Yin (Gastrodia & Uncaria)
"Is your libido significantly lower than usual?",If Yes: Kidney Essence/Jing Deficiency (MUST GO),CV4 (Guanyuan) + UB23 (Shenshu) + KI6 (Zhaohai),Zuo Gui Wan (Restore the Left)
"Do you feel emotionally numb or detached from loved ones?",If Yes: Heart Qi Stagnation / Phlegm Misting (MUST GO),HT5 (Tongli) + PC6 (Neiguan) + ST40 (Fenglong),Ban Xia Hou Po Tang (Pinellia & Magnolia)
"Can you commit to 5-7 days away from work?",If No: Logistical Barrier (WILLINGNESS ISSUE),Ear Point: Zero Point,None (Suggest Weekend Mini-Retreat)
"Do you rely on coffee or stimulants to get through the day?",If Yes: False Yang / Adrenal Fatigue (NEED),KI3 (Taixi) + SP6 (Sanyinjiao),Liu Wei Di Huang Wan (Six Flavor Rehmannia)
"Do you have trouble falling asleep due to racing thoughts?",If Yes: Spleen/Heart Blood Deficiency (NEED),HT7 (Shenmen) + SP10 (Xuehai) + Anmian,Gui Pi Tang (Restore the Spleen)
"Do you wake up between 1 AM and 3 AM regularly?",If Yes: Liver Time / Detox Issue (NEED),LV14 (Qimen) + UB18 (Ganshu),Long Dan Xie Gan Tang (Gentiana Drain Fire)
