question,answer,category,source
"What is the TCM approach to treating eczema?","Eczema in TCM is primarily caused by Wind-Damp-Heat or Blood Deficiency with Wind. Acute red weeping eczema indicates Damp-Heat requiring clearing and cooling. Chronic dry scaly eczema indicates Blood Deficiency with Wind requiring nourishing Blood and moistening. Points: LI11, SP10, BL40, SP6. Acute formula: Long Dan Xie Gan Tang. Chronic formula: Si Wu Tang + Xiao Feng San.",dermatology,tcm-dermatology
"How does TCM treat psoriasis?","Psoriasis (Yin Xie Bing) involves Blood Heat, Blood Stasis, and Blood Dryness patterns. Acute red spreading lesions indicate Blood Heat. Thick purple plaques indicate Blood Stasis. Dry silvery scales indicate Blood Dryness. Treatment points: SP10, BL17, LI11, BL40 (bleeding). Formula: Liang Xue Di Huang Tang for Blood Heat, Tao Hong Si Wu Tang for Blood Stasis.",dermatology,tcm-dermatology
"What causes acne in TCM and how to treat it?","Acne is caused by Lung Heat, Stomach Heat, Damp-Heat, or Blood Stasis. Inflammatory red pustules indicate Heat toxins. Deep cystic acne indicates Phlegm-Damp with Stasis. Points: LI4, LI11, ST44, SP9, local facial points. Formula: Pi Pa Qing Fei Yin for Lung Heat, Qing Wei San for Stomach Heat.",dermatology,tcm-dermatology
"How to treat urticaria (hives) with TCM?","Urticaria involves Wind invasion with Heat or Cold. Red itchy wheals that worsen with heat indicate Wind-Heat. Pale wheals that worsen with cold indicate Wind-Cold. Points: LI4, LI11, SP10, GB20, BL40. Formula: Xiao Feng San for Wind-Heat, Gui Zhi Tang for Wind-Cold.",dermatology,tcm-dermatology
"What is the TCM treatment for vitiligo?","Vitiligo (Bai Dian Feng) is caused by Liver Qi Stagnation with Blood Stasis, or Kidney Essence Deficiency. Poor circulation prevents melanin distribution. Points: LV3, SP10, BL17, BL18, local points around lesions. Formula: Bu Gu Zhi + Xiao Yao San.",dermatology,tcm-dermatology
"How does TCM address rosacea?","Rosacea involves Spleen Dampness with Stomach Heat rising to face. Red nose and cheeks indicate Heat. Pustules indicate Damp-Heat. Points: LI4, ST44, SP9, CV12, Yintang. Formula: Qing Wei San + Er Chen Tang.",dermatology,tcm-dermatology
"What is the TCM approach to alopecia (hair loss)?","Hair loss relates to Kidney Essence and Liver Blood Deficiency. Sudden patchy loss (alopecia areata) indicates Blood Deficiency with Wind. Gradual thinning indicates Kidney Essence decline. Points: GV20, GB20, KD3, BL23, local scalp points. Formula: Qi Bao Mei Ran Dan.",dermatology,tcm-dermatology
"How to treat shingles (herpes zoster) with TCM?","Shingles is Damp-Heat Toxin accumulation in the Liver/Gallbladder channels causing vesicular eruptions along dermatomes. Acute stage: clear Heat, resolve Dampness, relieve toxins. Points: GB34, LV2, LI11, surrounding the lesions with shallow needles. Formula: Long Dan Xie Gan Tang.",dermatology,tcm-dermatology
"What causes skin dryness in TCM?","Skin dryness results from Blood Deficiency, Yin Deficiency, or Lung Dryness preventing proper moistening of the exterior. Points: LU9, SP6, KD6, BL17, LI4. Formula: Sha Shen Mai Men Dong Tang for Lung Dryness, Si Wu Tang for Blood Deficiency.",dermatology,tcm-dermatology
"How does TCM treat fungal skin infections?","Fungal infections are Damp-Heat accumulation in the skin. Treatment involves clearing Damp-Heat and resolving toxins. Points: SP9, ST40, LI11, local affected areas. External: Tu Fu Ling wash. Internal formula: Long Dan Xie Gan Tang or Si Miao San.",dermatology,tcm-dermatology
"What is the TCM approach to treating warts?","Warts indicate Blood Stasis with Heat Toxins. Treatment involves moving Blood and clearing toxins. Points: Local points with bleeding technique, LI4, SP10. External: Ya Dan Zi application. Internal: Xiao Feng San or Ma Chi Xian.",dermatology,tcm-dermatology
