Question,Answer,Acupuncture Points,Chinese Pharmacopeia
What are the key TCM considerations for treating newborns?,"Newborns have delicate, immature organ systems. Spleen and Kidney are not fully developed. Wei Qi is weak. Shen is pure but vulnerable. Treatment must be extremely gentle: minimal needling (often avoid), prefer tuina, moxa, herbal baths. Focus on supporting natural development.","If needling necessary: very superficial, quick insertion-removal. Prefer: Sishencong, Yintang, DU-12 (Shenzhu). Often use tuina instead","Avoid internal herbs for infants under 6 months unless critical. After 6 months: extremely diluted formulas, 1/10-1/20 adult dose. Prefer external treatments."
How to assess a newborn's constitution in TCM?,"Observe birth history, mother's pregnancy health, feeding patterns, sleep quality, stool/urine, skin color and luster, cry quality, and activity level. Strong constitution shows good appetite, regular sleep, lustrous skin. Weak shows poor feeding, frequent crying, pale complexion.","Constitutional assessment guides gentle tonification: ST-36 (Zusanli) light touch, SP-6 (Sanyinjiao) gentle, DU-12 (Shenzhu) for immunity","Constitutional support through mother's diet if breastfeeding, or via gentle herbal baths: Huang Qi (Astragalus), Dang Gui (Angelica) bath for weak babies"
What causes colic in TCM terms?,"Colic represents Spleen and Stomach immaturity with Qi stagnation. May involve Cold accumulation (improper feeding), Liver Qi stagnation (transmitted from mother's stress), or Milk stagnation. Crying, pulling legs up, passing gas indicate Qi blockage in digestive system.","Tuina preferred: clockwise abdominal massage around navel, ST-36 (Zusanli) gentle pressure, REN-12 (Zhongwan) light touch, PC-6 (Neiguan)","For mother if breastfeeding: Chen Pi (Tangerine Peel), Mu Xiang (Aucklandia) tea to pass through milk. Gentle warming: external moxa near REN-8 (Shenque)"
How to treat jaundice in newborns?,Physiological jaundice is Damp-Heat accumulation due to immature Liver and Spleen. Pathological jaundice requires immediate medical evaluation. TCM supports clearing Damp-Heat and strengthening Spleen to resolve yellowing. Monitor carefully with pediatrician.,"DU-9 (Zhiyang), LR-14 (Qimen), GB-24 (Riyue) - extremely gentle contact or tuina only. Sunlight exposure on skin (back) is therapeutic","Yin Chen Hao Tang (Artemisia Yinchenhao) - ONLY under expert supervision, extremely diluted. Usually prefer sunlight therapy and maternal diet adjustment."
What are normal vs. abnormal stools in newborns?,"Breastfed: yellow, seedy, soft (normal). Formula-fed: tan, firmer (normal). Green stools may indicate Liver-Gallbladder involvement or mother's diet. Watery stools show Spleen deficiency or Cold. Constipation indicates Heat, dryness, or Qi deficiency. Blood requires immediate medical attention.","For loose stools: gentle moxa near REN-8 (Shenque), ST-36 (Zusanli) light touch. For constipation: gentle clockwise abdominal massage, ST-25 (Tianshu) area",Loose stools: strengthen Spleen through mother's diet (avoid cold foods). Constipation: mother consume moistening foods. External herbal compress on abdomen in severe cases.
How does breastfeeding relate to TCM treatment?,"Breast milk transmits mother's Qi, Blood, and essence to baby. Mother's diet, emotions, and health directly affect milk quality and baby's patterns. If baby has issues, often treat mother to adjust milk. Mother's Liver Qi stagnation causes baby's irritability.","Treat mother: LR-3 (Taichong), PC-6 (Neiguan), ST-36 (Zusanli), GB-21 (Jianjing) for milk flow. Baby: gentle tuina and external treatments",Mother's herbal support: Si Jun Zi Tang for Qi deficiency affects milk quality. Xiao Yao San if stress affects baby. Herbs pass through breast milk gently.
What causes poor feeding and failure to thrive?,"Poor feeding indicates Spleen Qi deficiency (cannot transform milk), Stomach Qi rebellious (spitting up), or constitutional weakness (Kidney Jing deficiency). Failure to thrive requires medical evaluation plus TCM support for weak digestion and constitutional Qi.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao) - all very gentle tuina or light touch. DU-12 (Shenzhu) for constitutional support",Through mother if breastfeeding: Si Jun Zi Tang (Four Gentlemen) to strengthen baby's Spleen Qi. After 6 months: extremely diluted Shen Ling Bai Zhu San.
How to address sleep issues in newborns?,"Newborns should sleep 14-17 hours daily. Day-night reversal shows Yang not descending at night. Frequent waking may indicate hunger, discomfort, Shen disturbance, or Heat. Difficulty falling asleep suggests Liver Qi stagnation or Heart Fire. Very gentle calming treatments.","Yintang (third eye) very gentle touch, Anmian (behind ear) light pressure, HT-7 (Shenmen) minimal contact. Bedtime tuina routine calms Shen",Avoid herbs under 6 months. For older infants: extremely diluted Suan Zao Ren (Sour Jujube Seed) decoction via mother's milk if breastfeeding.
What do different types of crying indicate?,"High-pitched, piercing cry: Heat or pain. Weak, soft cry: Qi deficiency. Irritable, angry cry: Liver Qi stagnation. Crying that improves with holding: need for comfort (normal). Inconsolable crying: colic, pain, or illness requiring evaluation.","Soothing tuina: gentle stroking down back along Bladder channel, Yintang light touch, soft abdominal massage clockwise, gentle pressure Baihui (DU-20)",Address through mother if breastfeeding. Irritability: mother takes Xiao Yao San. Weakness: mother takes Si Jun Zi Tang. External calming: herbal bath with calming herbs.
How to treat cradle cap (infantile seborrheic dermatitis)?,Cradle cap represents Damp-Heat accumulation on the scalp due to immature Spleen and Stomach. Also involves Heat rising to head. Generally benign but indicates internal Dampness that may affect digestion.,"Gentle scalp massage to move Qi and Blood. Light contact on ST-36 (Zusanli), SP-6 (Sanyinjiao) to strengthen Spleen and resolve Dampness","External treatment: herbal oil with Ku Shen (Sophora) and Bai Zhi (Angelica Dahurica) applied topically. Adjust mother's diet to reduce Dampness (less dairy, sugar, fried foods)."
