Question,Answer,TCM Acupuncture Points,Chinese Pharmacopeia Formula
What are the main symptoms of Spleen Qi Deficiency?,"Fatigue, poor appetite, loose stools, abdominal distension after eating, pale tongue with tooth marks, weak pulse","ST36 (Zusanli), SP6 (Sanyinjiao), SP3 (Taibai), CV12 (Zhongwan)",Si Jun Zi Tang (Four Gentlemen Decoction)
How does Lung Qi Deficiency manifest?,"Shortness of breath, weak voice, spontaneous sweating, susceptibility to colds, pale tongue, weak pulse","LU9 (Taiyuan), LU7 (Lieque), BL13 (Feishu), CV17 (Shanzhong)",Bu Fei Tang (Tonify the Lungs Decoction)
What characterizes Heart Qi Deficiency?,"Palpitations, shortness of breath on exertion, pale complexion, spontaneous sweating, pale tongue, weak pulse","HT7 (Shenmen), PC6 (Neiguan), BL15 (Xinshu), CV14 (Juque)",Yang Xin Tang (Nourish the Heart Decoction)
What are signs of Kidney Qi Not Firm?,"Frequent urination, enuresis, spermatorrhea, premature ejaculation, lower back soreness, pale tongue, deep weak pulse","KI3 (Taixi), CV4 (Guanyuan), BL23 (Shenshu), GV4 (Mingmen)",Suo Quan Wan (Shut the Sluice Pill)
How does Qi Sinking manifest?,"Prolapse of organs, chronic diarrhea, bearing down sensation, fatigue, shortness of breath, pale tongue, weak pulse","GV20 (Baihui), CV6 (Qihai), ST36 (Zusanli), SP6 (Sanyinjiao)",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment the Qi Decoction)
What are the primary signs of Liver Blood Deficiency?,"Dizziness, blurred vision, dry eyes, scanty menses, pale nails, pale tongue, thin pulse","LV8 (Ququan), BL18 (Ganshu), SP6 (Sanyinjiao), ST36 (Zusanli)",Si Wu Tang (Four Substances Decoction)
How does Heart Blood Deficiency present?,"Insomnia, poor memory, palpitations, dizziness, pale face, pale tongue, thin pulse","HT7 (Shenmen), SP6 (Sanyinjiao), BL15 (Xinshu), BL17 (Geshu)",Gui Pi Tang (Restore the Spleen Decoction)
What characterizes Spleen Not Controlling Blood?,"Easy bruising, blood in stool, excessive menstruation, fatigue, poor appetite, pale tongue, weak pulse","SP10 (Xuehai), SP1 (Yinbai), SP6 (Sanyinjiao), BL20 (Pishu)",Gui Pi Tang (Restore the Spleen Decoction)
What are symptoms of General Blood Deficiency?,"Pale complexion, dizziness, dry skin and hair, numbness, scanty menses, pale tongue, thin pulse","BL17 (Geshu), SP6 (Sanyinjiao), ST36 (Zusanli), CV4 (Guanyuan)",Dang Gui Bu Xue Tang (Tangkuei Decoction to Tonify Blood)
How does Blood Stasis with Deficiency manifest?,"Fixed stabbing pain, dark complexion, purple lips, varicose veins, irregular menses with clots, purple tongue, choppy pulse","SP10 (Xuehai), SP6 (Sanyinjiao), LV3 (Taichong), BL17 (Geshu)",Tao Hong Si Wu Tang (Four Substances Decoction with Safflower and Peach Pit)
What are the key features of Kidney Yang Deficiency?,"Cold lower back and knees, cold limbs, impotence, infertility, frequent pale urination, pale swollen tongue, deep weak pulse","KI3 (Taixi), KI7 (Fuliu), BL23 (Shenshu), GV4 (Mingmen), CV4 (Guanyuan)",Jin Gui Shen Qi Wan (Kidney Qi Pill from the Golden Cabinet)
How does Spleen Yang Deficiency present?,"Cold abdomen, loose stools with undigested food, edema, cold limbs, pale swollen tongue with wet coat, slow weak pulse","ST36 (Zusanli), SP6 (Sanyinjiao), BL20 (Pishu), CV12 (Zhongwan), moxa GV4",Fu Zi Li Zhong Wan (Prepared Aconite Pill to Regulate the Middle)
What characterizes Heart Yang Deficiency?,"Palpitations, cold limbs, purple lips, chest oppression, shortness of breath, pale purple tongue, deep weak pulse","HT7 (Shenmen), PC6 (Neiguan), CV17 (Shanzhong), BL15 (Xinshu), moxa CV6",Bao Yuan Tang (Preserve the Basal Decoction)
What are signs of Yang Deficiency with Water Overflowing?,"Edema especially lower body, scanty urination, heaviness, cold limbs, pale swollen tongue, deep slow pulse","SP9 (Yinlingquan), SP6 (Sanyinjiao), CV9 (Shuifen), BL23 (Shenshu), KI7 (Fuliu)",Zhen Wu Tang (True Warrior Decoction)
How does Lung Yang Deficiency manifest?,"Chronic cough with copious thin white sputum, cold body, shortness of breath, pale tongue, weak pulse","LU9 (Taiyuan), BL13 (Feishu), CV17 (Shanzhong), ST36 (Zusanli), moxa GV14","Ling Gui Zhu Gan Tang (Poria, Cinnamon Twig, Atractylodes, and Licorice Decoction)"
What are the main symptoms of Kidney Yin Deficiency?,"Night sweats, tinnitus, lower back soreness, dizziness, hot flashes, red tongue with no coat, rapid thin pulse","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), KI10 (Yingu)",Liu Wei Di Huang Wan (Six Ingredient Pill with Rehmannia)
How does Lung Yin Deficiency present?,"Dry cough with little sputum, dry throat, hoarse voice, afternoon fever, red tongue with little coat, rapid thin pulse","LU10 (Yuji), LU6 (Kongzui), LU9 (Taiyuan), KI6 (Zhaohai)",Bai He Gu Jin Tang (Lily Bulb Decoction to Preserve the Metal)
What characterizes Heart Yin Deficiency?,"Insomnia, dream-disturbed sleep, palpitations, anxiety, night sweats, red tongue tip, rapid thin pulse","HT6 (Yinxi), HT7 (Shenmen), PC6 (Neiguan), KI6 (Zhaohai)",Tian Wang Bu Xin Dan (Emperor of Heaven's Special Pill to Tonify the Heart)
What are signs of Liver Yin Deficiency?,"Dry eyes, blurred vision, dizziness, irritability, night sweats, red tongue with little coat, wiry thin pulse","LV8 (Ququan), KI3 (Taixi), SP6 (Sanyinjiao), GB37 (Guangming)","Qi Ju Di Huang Wan (Lycium Fruit, Chrysanthemum and Rehmannia Pill)"
