Question,Answer,TCM Acupuncture Points,Herbal Pharmacopeia
What causes depression in teenagers from a TCM perspective?,"In TCM, teenage depression is often caused by Liver Qi stagnation, Heart Blood deficiency, Spleen Qi deficiency, or Kidney essence depletion. Emotional stress, academic pressure, and hormonal changes can lead to imbalanced organ systems and blocked energy flow.","HT7 (Shenmen), LR3 (Taichong), PC6 (Neiguan), GV20 (Baihui), SP6 (Sanyinjiao)","Xiao Yao San (Free and Easy Wanderer), Chaihu Shugan San (Bupleurum Liver-Soothing Powder)"
How does TCM view anxiety in adolescents?,"TCM sees anxiety as primarily related to Heart and Gallbladder disharmony, Phlegm-Heat disturbing the Heart, or Kidney Yin deficiency with Empty Fire. These patterns create restlessness, fear, and inability to calm the mind.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), GB21 (Jianjing), ST36 (Zusanli)","Suanzaoren Tang (Sour Jujube Seed Decoction), Ganmai Dazao Tang (Licorice, Wheat, and Jujube Decoction)"
What TCM patterns are associated with suicidal thoughts?,"Suicidal ideation in TCM is often linked to severe Liver Qi stagnation transforming into Fire, Heart-Kidney disharmony, Phlegm-Fire harassing the Heart, or extreme Blood stasis. These create intense emotional turbulence and loss of will to live.","HT7 (Shenmen), GV20 (Baihui), PC6 (Neiguan), CV17 (Shanzhong), LR3 (Taichong), GV26 (Renzhong)","Chaihu Jia Longgu Muli Tang (Bupleurum Plus Dragon Bone and Oyster Shell), modified Xiao Yao San with calming herbs"
Can acupuncture help with teenage insomnia related to depression?,"Yes, acupuncture can effectively treat insomnia by calming the Shen (Spirit), nourishing Heart Blood, and regulating Yin-Yang balance. It helps restore natural sleep patterns without sedative side effects.","HT7 (Shenmen), Anmian (Extra point), SP6 (Sanyinjiao), GV20 (Baihui), Yintang (Extra point)","Suanzaoren Tang (Sour Jujube Seed Decoction), Tianwang Buxin Dan (Emperor of Heaven's Special Pill)"
How long does TCM treatment take to show results for depression?,"Most teenagers notice improvement within 4-6 weeks of consistent treatment. Acute symptoms may improve sooner (1-2 weeks), while deeper constitutional changes require 3-6 months of regular acupuncture and herbal medicine.","HT7 (Shenmen), PC6 (Neiguan), LR3 (Taichong), ST36 (Zusanli)","Individualized formula based on pattern diagnosis, commonly Xiao Yao San variations"
What helps teenage panic attacks in TCM?,"Panic attacks are treated by calming the Shen, subduing Liver Yang rising, and clearing Phlegm-Fire. Points that open the chest and regulate Heart Qi provide immediate relief.","PC6 (Neiguan), HT7 (Shenmen), CV17 (Shanzhong), LI4 (Hegu), GV20 (Baihui)","Wendan Tang (Warm the Gallbladder Decoction), Banxia Houpu Tang (Pinellia and Magnolia Bark Decoction)"
How does TCM address self-harm behaviors?,"Self-harm is viewed as extreme Liver Qi stagnation with Blood stasis, combined with Heart-Shen disturbance. Treatment focuses on moving Qi and Blood, calming the mind, and restoring emotional balance.","HT7 (Shenmen), PC6 (Neiguan), LR3 (Taichong), SP10 (Xuehai), GV20 (Baihui), LR8 (Ququan)","Chaihu Shugan San (Bupleurum Liver-Soothing Powder), Xuefu Zhuyu Tang (Blood Palace Stasis-Removing Decoction)"
What points help with emotional numbness in depressed teens?,"Emotional numbness indicates severe Heart Blood and Spleen Qi deficiency. Treatment nourishes Blood, tonifies Qi, and awakens the Shen to restore emotional capacity.","HT7 (Shenmen), ST36 (Zusanli), SP6 (Sanyinjiao), CV6 (Qihai), CV17 (Shanzhong)","Gui Pi Tang (Restore the Spleen Decoction), Ganmai Dazao Tang with additions"
How can TCM help with anger and irritability in teenagers?,"Anger and irritability stem from Liver Qi stagnation transforming to Fire, or Liver Yang rising. Treatment soothes the Liver, clears Heat, and descends Yang.","LR3 (Taichong), LR2 (Xingjian), GB34 (Yanglingquan), PC6 (Neiguan), GV20 (Baihui)","Chaihu Shugan San (Bupleurum Liver-Soothing Powder), Longdan Xiegan Tang (Gentian Drain the Liver Decoction)"
What helps with social anxiety in adolescents?,"Social anxiety relates to Heart-Gallbladder Qi deficiency with Phlegm obstruction. Treatment tonifies Qi, transforms Phlegm, and calms the Shen to build confidence.","HT7 (Shenmen), PC6 (Neiguan), CV17 (Shanzhong), ST40 (Fenglong), GB34 (Yanglingquan)","Wendan Tang (Warm the Gallbladder Decoction), Ding Zhi Wan (Settle the Emotions Pill)"
Is it safe to combine TCM with psychiatric medications?,"Yes, TCM can safely complement psychiatric medications under proper supervision. Herbal formulas can reduce side effects and enhance therapeutic effects, but require monitoring by qualified practitioners.","HT7 (Shenmen), PC6 (Neiguan), ST36 (Zusanli), LR3 (Taichong)","Modified formulas avoiding herb-drug interactions, commonly Xiao Yao San, Chai Hu Shu Gan San"
What dietary therapy helps teenage depression?,"TCM recommends warm, nourishing foods that tonify Qi and Blood: whole grains, dark leafy greens, red dates, longan, walnuts, and lean proteins. Avoid cold, raw foods and excessive sweets that damage Spleen.","HT7 (Shenmen), SP6 (Sanyinjiao), ST36 (Zusanli), CV12 (Zhongwan)","Gui Pi Tang (Restore the Spleen Decoction) as herbal supplement, red date and longan tea"
How often should teenagers receive acupuncture for mental health?,For acute crisis: 2-3 times weekly. For moderate symptoms: 1-2 times weekly. For maintenance: once weekly or biweekly. Treatment frequency decreases as symptoms improve.,Individualized point selection based on presenting symptoms,Herbal formula taken daily between acupuncture sessions
Can teenagers use acupressure at home for anxiety?,"Yes, teenagers can safely use acupressure on key calming points. Gentle pressure for 1-2 minutes on each point, several times daily, helps manage anxiety between treatments.","HT7 (Shenmen), PC6 (Neiguan), Yintang (Extra point), GV20 (Baihui)","Herbal teas: chamomile, passionflower, or TCM formulas like Xiao Yao Wan in pill form"
