Question,Answer,TCM Acupuncture Points,Pharmacopeia
What are the three positions of pulse diagnosis?,"The three pulse positions are Cun (inch - near the wrist), Guan (bar - middle position), and Chi (cubit - proximal position). Each position corresponds to specific Zang-Fu organs, with Cun relating to Heart/Lungs, Guan to Liver/Spleen/Stomach, and Chi to Kidney.","HT7 (Shenmen), LU9 (Taiyuan), LV3 (Taichong), SP6 (Sanyinjiao), KD3 (Taixi)",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment the Qi Decoction)
What does a Floating pulse indicate?,"A Floating (Fu) pulse is felt superficially at the skin level and indicates an Exterior condition or Wei Qi involvement. It suggests Wind invasion, common cold, or early stage of external pathogenic invasion with Yang rising to the surface.","LU7 (Lieque), LI4 (Hegu), GB20 (Fengchi), BL12 (Fengmen)",Gui Zhi Tang (Cinnamon Twig Decoction)
What is the clinical significance of a Deep/Sinking pulse?,"A Deep/Sinking (Chen) pulse is felt only with heavy pressure at the bone level and indicates Interior conditions. It suggests Qi stagnation, Cold, or deficiency patterns where Yang Qi cannot reach the surface.","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), BL23 (Shenshu)",Si Ni Tang (Frigid Extremities Decoction)
How is a Slippery pulse interpreted?,"A Slippery (Hua) pulse flows smoothly like pearls rolling, indicating Phlegm, Dampness, or Food stagnation. It can also be normal in pregnancy. The pulse suggests excess Yang Qi and good circulation when not pathological.","ST40 (Fenglong), CV12 (Zhongwan), SP9 (Yinlingquan), SP6 (Sanyinjiao)",Er Chen Tang (Two-Cured Decoction) for Phlegm-Dampness
What does a Wiry pulse signify?,"A Wiry (Xian) pulse feels taut and tight like a guitar string, indicating Liver Qi stagnation, pain, or constraint. It commonly appears in Liver-related conditions, hypertension, and stress-related disorders.","LV3 (Taichong), LV14 (Qimen), GB34 (Yanglingquan), LI4 (Hegu)",Xiao Yao Wan (Free and Easy Wanderer)
What is an Empty pulse?,"An Empty (Xu) pulse is soft, large, and without strength when pressed, indicating Qi and Blood deficiency. It suggests chronic depletion, post-illness weakness, or constitutional deficiency requiring tonification.","ST36 (Zusanli), SP6 (Sanyinjiao), CV6 (Qihai), BL20 (Pishu)",Gui Pi Tang (Restore the Spleen Decoction)
How do you differentiate a Rapid from a Slow pulse?,"A Rapid pulse (Shuo) has over 90 beats per minute (more than 5 beats per breath), indicating Heat. A Slow pulse (Chi) has less than 60 beats (less than 4 beats per breath), indicating Cold or Yang deficiency.","Rapid: LI11 (Quchi), GV14 (Dazhui); Slow: CV4 (Guanyuan), GV4 (Mingmen)",Rapid: Bai Hu Tang (White Tiger Decoction); Slow: Si Ni Tang (Frigid Extremities Decoction)
What is a Thin/Thready pulse?,"A Thin/Thready (Xi) pulse is fine like a thread but distinct, indicating Blood deficiency or Yin deficiency. It reflects reduced volume and nourishment in the vessels, often with Kidney or Liver Yin depletion.","SP6 (Sanyinjiao), KD3 (Taixi), LV8 (Ququan), BL17 (Geshu)",Si Wu Tang (Four-Substance Decoction)
What does a Choppy/Rough pulse indicate?,"A Choppy/Rough (Se) pulse is irregular and unsmooth, like scraping bamboo, indicating Blood stasis, deficiency, or Jing-Ye depletion. It suggests poor circulation and lack of nourishment in the vessels.","SP10 (Xuehai), BL17 (Geshu), LV3 (Taichong), SP6 (Sanyinjiao)",Tao Hong Si Wu Tang (Persica-Carthamus Four Substance Decoction)
What is a Tight pulse?,"A Tight (Jin) pulse feels tense and rope-like, indicating Cold, pain, or excess conditions. It suggests Yang Qi struggling against Cold invasion or internal constraint causing tension.","ST36 (Zusanli), CV6 (Qihai), LI4 (Hegu), GB34 (Yanglingquan)",Wu Zhu Yu Tang (Evodia Decoction)
