Question,Answer,TCM Acupuncture Points,Pharmacopeia
What is the TCM understanding of stress?,"In TCM, stress is viewed as a disruption of Qi (vital energy) flow, primarily affecting the Liver, Heart, and Spleen systems. Stress causes Qi stagnation, Blood deficiency, and imbalances between Yin and Yang energies.","LV3 (Taichong), HT7 (Shenmen), PC6 (Neiguan)",Xiao Yao Wan (Free and Easy Wanderer)
How does Liver Qi stagnation relate to stress?,"Liver Qi stagnation is the most common TCM pattern associated with stress, manifesting as irritability, frustration, chest tightness, and emotional tension. The Liver governs the smooth flow of Qi throughout the body.","LV3 (Taichong), LV14 (Qimen), GB34 (Yanglingquan)",Chai Hu Shu Gan San (Bupleurum Powder to Spread the Liver)
What role does the Heart play in stress according to TCM?,"The Heart houses the Shen (spirit/mind) in TCM. Stress disturbs the Heart, causing anxiety, insomnia, palpitations, and restlessness. Heart Blood or Yin deficiency often results from chronic stress.","HT7 (Shenmen), HT5 (Tongli), PC6 (Neiguan)",Tian Wang Bu Xin Dan (Emperor's Teapill to Tonify the Heart)
How does TCM view biofeedback practices?,"Traditional TCM practices like Qigong and meditation function as vegetative biofeedback therapies, enhancing physiological proprioception through awareness, posture, movement, and breath control to regulate the autonomic nervous system.","GV20 (Baihui), CV17 (Shanzhong), Yintang (Extra point)",Suan Zao Ren Tang (Sour Jujube Decoction)
What is the connection between Spleen and stress in TCM?,"The Spleen is responsible for transforming and transporting nutrients and governs thinking. Excessive worry and overthinking damage Spleen Qi, leading to digestive issues, fatigue, and poor concentration.","ST36 (Zusanli), SP6 (Sanyinjiao), SP3 (Taibai)",Gui Pi Tang (Restore the Spleen Decoction)
How does chronic stress affect Yin and Yang balance?,"Chronic stress depletes Yin (cooling, nourishing essence) while creating excess Yang (heat, hyperactivity). This imbalance manifests as night sweats, hot flashes, irritability, and sleep disturbances.","KD3 (Taixi), KD6 (Zhaohai), SP6 (Sanyinjiao)",Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill)
What is Shen disturbance in TCM?,"Shen disturbance refers to mental-emotional instability when the Heart cannot properly house the spirit. Symptoms include anxiety, racing thoughts, insomnia, dream-disturbed sleep, and emotional volatility.","HT7 (Shenmen), Yintang (Extra point), GV24 (Shenting)","An Shen Bu Xin Wan (Calm the Spirit, Tonify the Heart Pill)"
How does Blood deficiency contribute to stress symptoms?,"Blood deficiency in TCM leads to inadequate nourishment of the Heart and Liver, causing anxiety, dizziness, palpitations, poor memory, and difficulty relaxing. Stress often depletes Blood over time.","BL17 (Geshu), SP10 (Xuehai), ST36 (Zusanli)",Dang Gui Bu Xue Tang (Tangkuei Decoction to Tonify the Blood)
What is the Five Element theory relationship to stress?,"Each of the Five Elements (Wood, Fire, Earth, Metal, Water) relates to emotions and organ systems. Stress affects the cycle: Wood/Liver (anger), Fire/Heart (anxiety), Earth/Spleen (worry), Metal/Lung (grief), Water/Kidney (fear).","LV3 (Taichong), HT7 (Shenmen), SP6 (Sanyinjiao), LU7 (Lieque), KD3 (Taixi)",Wu Ling San (Five-Ingredient Powder with Poria) - modified for individual elements
How does Phlegm contribute to mental-emotional issues?,"In TCM, Phlegm can obstruct the Heart orifices and cloud the Shen, causing mental confusion, depression, a sensation of oppression in the chest, and a feeling of a lump in the throat (plum-pit Qi).","ST40 (Fenglong), CV12 (Zhongwan), PC5 (Jianshi)",Ban Xia Hou Po Tang (Pinellia and Magnolia Formula)
What is the role of Kidney Essence in stress resilience?,"Kidney Essence (Jing) is the constitutional foundation and resource reserve. Strong Kidney Essence provides resilience against stress, while depletion leads to chronic fatigue, weakness, poor stress adaptation, and premature aging.","KD3 (Taixi), BL23 (Shenshu), CV4 (Guanyuan)",Zuo Gui Wan (Restore the Left Kidney Pill)
How does Wind affect mental-emotional health in TCM?,"Internal Wind can arise from Liver Yang rising due to stress, causing dizziness, headaches, tremors, irritability, and sudden emotional outbursts. External Wind can also disturb the Shen.","GB20 (Fengchi), LV3 (Taichong), GV20 (Baihui)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria Decoction)
What is the relationship between breath and Qi in stress management?,"Breath directly influences Qi flow and distribution. Shallow chest breathing indicates Qi stagnation and stress, while deep abdominal breathing tonifies Lung and Kidney Qi, calming the mind and regulating the nervous system.","LU1 (Zhongfu), CV17 (Shanzhong), CV6 (Qihai)",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment the Qi Decoction)
How does the Pericardium relate to emotional protection?,"The Pericardium is the Heart Protector, shielding the Heart/Shen from external stressors. Pericardium meridian points calm anxiety, regulate emotions, and protect against emotional overwhelm and trauma.","PC6 (Neiguan), PC7 (Daling), PC8 (Laogong)",Zhi Gan Cao Tang (Honey-Fried Licorice Decoction)
What is the concept of 'Seven Emotions' in TCM pathology?,"The Seven Emotions (joy, anger, worry, pensiveness, sadness, fear, shock) are internal causes of disease when excessive or prolonged. Each emotion affects specific organs and can disrupt Qi flow, causing illness.","LV3 (Taichong), HT7 (Shenmen), SP6 (Sanyinjiao), LU7 (Lieque), KD3 (Taixi)",Xiao Yao Wan (Free and Easy Wanderer) - base formula modified for specific emotions
What is the function of HT7 (Shenmen) for stress?,"HT7 Shenmen ('Spirit Gate') is the primary point for calming the mind, treating anxiety, insomnia, palpitations, and emotional distress. It nourishes Heart Blood and anchors the Shen.","HT7 (Shenmen), HT5 (Tongli), HT6 (Yinxi)",Suan Zao Ren Tang (Sour Jujube Decoction)
How does Yintang (Extra point) help with stress relief?,"Yintang, located between the eyebrows at the 'third eye,' calms the Shen, relieves anxiety, treats insomnia and headaches, and promotes mental clarity and emotional balance.","Yintang (Extra point), GV24 (Shenting), GV20 (Baihui)","An Shen Bu Xin Wan (Calm the Spirit, Tonify the Heart Pill)"
What makes PC6 (Neiguan) effective for anxiety?,"PC6 Neiguan ('Inner Gate') opens the chest, regulates Heart Qi, calms the Shen, and treats anxiety, palpitations, insomnia, and chest oppression. It's one of the most versatile anti-stress points.","PC6 (Neiguan), PC7 (Daling), HT7 (Shenmen)",Xiao Yao Wan (Free and Easy Wanderer)
Why is GV20 (Baihui) called the 'Hundred Meetings' point?,"GV20 Baihui sits at the crown where all Yang meridians meet. It raises Yang, calms the Shen, clears the mind, treats anxiety, depression, mental fog, and promotes spiritual connection.","GV20 (Baihui), GV24 (Shenting), Yintang (Extra point)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria Decoction)
What is the 'Four Gates' technique for stress?,"The Four Gates combine LI4 (Hegu) bilaterally with LV3 (Taichong) bilaterally. This powerful combination moves Qi, releases stagnation, reduces pain, and calms the entire body and mind.","LI4 (Hegu), LV3 (Taichong) - bilateral",Chai Hu Shu Gan San (Bupleurum Powder to Spread the Liver)
How does CV17 (Shanzhong) regulate emotions?,"CV17 Shanzhong ('Sea of Qi') is the influential point for Qi, located at the heart chakra. It regulates emotions, opens the chest, treats grief, anxiety, depression, and promotes emotional release.","CV17 (Shanzhong), PC6 (Neiguan), HT7 (Shenmen)",Ban Xia Hou Po Tang (Pinellia and Magnolia Formula)
What is the role of LV3 (Taichong) in stress management?,"LV3 Taichong ('Great Surge') is the primary point for coursing Liver Qi and relieving stagnation. It treats irritability, anger, frustration, headaches, and all stress-related Liver imbalances.","LV3 (Taichong), LI4 (Hegu), GB34 (Yanglingquan)",Xiao Yao Wan (Free and Easy Wanderer)
How does SP6 (Sanyinjiao) support stress resilience?,"SP6 Sanyinjiao is the meeting point of the three Yin leg meridians (Spleen, Liver, Kidney). It tonifies Blood and Yin, calms the Shen, and strengthens the body's foundational resources against stress.","SP6 (Sanyinjiao), KD3 (Taixi), SP9 (Yinlingquan)",Gui Pi Tang (Restore the Spleen Decoction)
What is 'Buddha's Triangle' for anxiety relief?,"Buddha's Triangle combines HT7 (Shenmen), PC6 (Neiguan), and LU9 (Taiyuan). This three-point combination calms the spirit, regulates chest Qi, and treats anxiety, palpitations, and emotional distress.","HT7 (Shenmen), PC6 (Neiguan), LU9 (Taiyuan)","Gan Mai Da Zao Wan (Licorice, Wheat, and Jujube Pill)"
How does GB20 (Fengchi) relieve stress-related tension?,"GB20 Fengchi ('Wind Pool') releases exterior Wind, subdues Liver Yang, relieves neck and shoulder tension, treats stress headaches, and calms the mind by clearing the head.","GB20 (Fengchi), GB21 (Jianjing), LV3 (Taichong)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria Decoction)
What makes ST36 (Zusanli) important for stress recovery?,"ST36 Zusanli ('Leg Three Miles') is a master tonification point that strengthens Qi and Blood, boosts immunity, aids digestion, and provides stamina and resilience against chronic stress.","ST36 (Zusanli), SP6 (Sanyinjiao), CV12 (Zhongwan)",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment the Qi Decoction)
How does KD3 (Taixi) anchor the spirit?,"KD3 Taixi ('Supreme Stream') is the Source point of Kidney meridian. It tonifies Kidney Yin and Yang, nourishes Essence, calms fear and anxiety, and grounds scattered energy.","KD3 (Taixi), KD6 (Zhaohai), BL23 (Shenshu)",Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill)
