Question,Answer,TCM_Trigger_Acupuncture_Points,Pharmacopeia
,,,
How does TCM treat facial trauma and bruising?,"Facial injuries involve delicate meridians (ST, LI, SI). Treatment uses gentle distal points, minimal local needling, and blood-movers to reduce swelling and bruising.","LI4 (Hegu), ST36 (Zusanli), ST2 (Sibai), ST3 (Juliao), SI18 (Quanliao)","Dan Shen (Salvia), Chuan Xiong (Ligusticum), Bai Zhi (Angelica dahurica), Tao Ren (Peach Kernel)"
Which herbs treat joint effusion (fluid accumulation) from trauma?,"Yi Yi Ren (Coix), Fu Ling (Poria), Ze Xie (Alisma) drain dampness and reduce joint swelling while blood-movers address underlying stagnation.","SP9 (Yinlingquan), SP6 (Sanyinjiao), ST36 (Zusanli), local joint points","Yi Yi Ren (Coix), Fu Ling (Poria), Ze Xie (Alisma), Fang Ji (Stephania)"
How does constitutional type affect trauma treatment in TCM?,Qi deficient types need more tonification; Blood deficient need more nourishment; Damp/Phlegm types need more drying herbs alongside standard trauma treatment.,All types: Basic trauma points; Adjust based on constitution,"Qi def: Add Huang Qi; Blood def: Add Dang Gui; Damp: Add Fu Ling, Yi Yi Ren"
What is the significance of nighttime pain in trauma assessment?,"Nighttime pain aggravation indicates blood stasis predominance, requiring stronger blood-moving treatment compared to daytime-only pain which may be more qi-related.","BL17 (Geshu), SP10 (Xuehai), LR3 (Taichong), Ashi points","Stronger blood-movers: Tao Ren, Hong Hua, E Zhu, San Leng, Dan Shen"
How does TCM treat Achilles tendon injuries?,"Achilles involves Kidney and Bladder meridians. Treatment uses local heel points, distal points, and herbs that nourish Kidney (governs tendons) and move blood.","BL60 (Kunlun), KI3 (Taixi), KI6 (Zhaohai), BL62 (Shenmai), Ashi points around tendon","Du Zhong (Eucommia), Niu Xi (Achyranthes), Xu Duan (Dipsacus), Gui Zhi (Cinnamon twig)"
Which points are contraindicated during pregnancy but safe for trauma?,"SP6, LI4, BL60, BL67, GB21 are contraindicated in pregnancy. Safe alternatives: ST36, LR3, PC6, local points away from abdomen.","Safe in pregnancy: ST36, LR3, PC6, GB34, safe local points",Standard trauma herbs generally safe topically; consult for internal use during pregnancy
How does TCM address post-traumatic anxiety or emotional trauma?,"Emotional trauma involves Heart and Liver. Treatment calms Spirit (Shen), courses Liver qi, and anchors mind with specific points and calming herbs.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LR3 (Taichong)","Suan Zao Ren (Ziziphus), Fu Shen (Poria spirit), Long Gu (Dragon Bone), Mu Li (Oyster shell)"
What herbs improve microcirculation in trauma healing?,"Dan Shen (Salvia), Hong Hua (Safflower), Chi Shao (Red Peony) specifically improve microcirculation, ensuring nutrients reach injured tissues for optimal healing.","SP10 (Xuehai), ST36 (Zusanli), LI4 (Hegu), Ashi points","Dan Shen (Salvia), Hong Hua (Safflower), Chi Shao (Red Peony), Chuan Xiong (Ligusticum)"
How does TCM treat fingertip and toe injuries?,"Distal extremity injuries involve terminal meridian points. Treatment uses local needling, adjacent points, and blood-moving herbs to restore circulation.","Local well points (Jing points), adjacent points, LI4 (Hegu) for fingers, LR3 (Taichong) for toes","San Qi (Notoginseng), Chuan Xiong (Ligusticum), Ru Xiang (Frankincense), Mo Yao (Myrrh)"
Which herbs have both hemostatic and blood-moving properties?,"San Qi (Notoginseng) uniquely stops bleeding while moving blood, making it ideal for all trauma stages. Pu Huang (Typha) also shares this dual property.","SP10 (Xuehai), SP1 (Yinbai), LI4 (Hegu), ST36 (Zusanli)",San Qi (Notoginseng) - primary; Pu Huang (Typha) - secondary
How does TCM prevent keloid scar formation?,"Early aggressive blood-moving treatment prevents stagnation that forms keloids. Dan Shen (Salvia), E Zhu (Curcuma zedoaria) specifically prevent excessive scarring.","SP10 (Xuehai), LR3 (Taichong), LI4 (Hegu), local surrounding points","Dan Shen (Salvia), E Zhu (Curcuma zedoaria), San Leng (Sparganium), topical applications"
