point_code,image_name,x,y
LI4,hand.png,1400,800
LI10,arm.png,1450,1100
LI11,arm.png,1500,900
LI15,arm.png,1200,400
PC3,arm_inner.png,1450,850
PC6,arm_inner.png,1400,1000
PC7,wrist.png,1400,650
PC8,hand.png,1350,850
HT3,arm_inner.png,1500,800
HT7,wrist.png,1400,700
HT8,hand.png,1300,900
LU5,arm_inner.png,1400,750
LU7,arm_inner.png,1300,800
LU9,wrist.png,1350,720
LU10,hand.png,1250,750
LU11,hand.png,1200,650
SI3,hand.png,1500,850
SI4,wrist.png,1500,680
SI6,wrist.png,1480,750
TE3,hand.png,1450,780
TE5,wrist.png,1450,800
TE6,arm.png,1480,1050
TE14,arm.png,1250,350
ST2,head_front.png,1300,650
ST3,head_front.png,1280,700
ST4,head_front.png,1250,750
ST6,head_front.png,1200,800
ST7,head_side.png,1300,700
ST8,head_front.png,1200,500
ST25,body_front.png,1200,750
ST34,leg_front.png,1300,600
ST35,leg_front.png,1250,700
ST36,leg_front.png,1200,1000
ST37,leg_front.png,1250,1100
ST40,leg_front.png,1300,1200
ST41,foot.png,1400,900
ST44,foot.png,1350,1100
SP3,foot.png,1300,950
SP4,foot.png,1250,900
SP6,leg_inner.png,1500,1100
SP9,leg_inner.png,1450,950
SP10,leg_inner.png,1400,800
SP15,body_front.png,1200,700
LV2,foot.png,1400,1050
LV3,foot.png,1350,1000
LV8,leg_inner.png,1350,850
LV13,body_front.png,1150,650
LV14,chest.png,1200,800
KI1,foot_sole.png,1400,900
KI3,foot.png,1300,1050
KI6,foot.png,1350,1100
KI7,leg_inner.png,1480,1150
KI10,leg_inner.png,1400,900
KI27,chest.png,1300,400
BL1,head_front.png,1350,580
BL2,head_front.png,1300,550
BL10,bodyback.png,1300,450
BL11,bodyback.png,1250,500
BL13,bodyback.png,1250,550
BL15,bodyback.png,1250,600
BL17,bodyback.png,1250,650
BL18,bodyback.png,1250,700
BL20,bodyback.png,1250,750
BL21,bodyback.png,1250,800
BL23,bodyback.png,1250,850
BL25,bodyback.png,1250,900
BL40,leg_outer.png,1400,950
BL57,leg_outer.png,1350,1100
BL60,foot.png,1250,1100
BL62,foot.png,1200,1050
GB1,head_side.png,1450,550
GB2,head_side.png,1400,650
GB8,head_side.png,1350,450
GB14,head_front.png,1250,480
GB20,head_side.png,1400,600
GB21,bodyback.png,1200,400
GB30,bodyback.png,1150,950
GB31,leg_outer.png,1450,850
GB34,leg_outer.png,1350,1000
GB39,leg_outer.png,1300,1150
GB40,foot.png,1400,1000
GB41,foot.png,1450,1050
GV4,spine.png,1400,850
GV14,bodyback.png,1400,500
GV16,bodyback.png,1400,400
GV20,head_front.png,1400,400
GV24,head_front.png,1400,450
GV26,head_front.png,1400,800
CV3,body_front.png,1400,900
CV4,body_front.png,1400,870
CV6,body_front.png,1400,800
CV8,body_front.png,1400,750
CV12,body_front.png,1400,650
CV17,chest.png,1400,600
CV22,chest.png,1400,350
CV23,head_front.png,1400,850
EX-HN1,head_front.png,1400,350
EX-HN3,head_front.png,1400,480
EX-HN5,head_front.png,1400,600
EX-LE10,leg_front.png,1200,850
Yintang,head_front.png,1400,530
Taiyang,head_side.png,1500,580
Ear-Shenmen,ear.png,1400,600
Ear-Heart,ear.png,1350,700
Ear-Kidney,ear.png,1300,800
Ear-Liver,ear.png,1450,750
Ear-Lung,ear.png,1400,850
Ear-Stomach,ear.png,1350,900
Ear-Spleen,ear.png,1300,950
Kid-Tui,child_front.png,1400,800
Kid-Feishu,child_back.png,1300,500
Kid-Pishu,child_back.png,1300,600
Kid-Shenshu,child_back.png,1300,700
Tongue-Heart,tongue.png,1400,500
Tongue-Lung,tongue.png,1400,600
Tongue-Spleen,tongue.png,1400,700
Tongue-Kidney,tongue.png,1400,800
Tongue-Liver,tongue.png,1300,650
