Question,Answer,TCM Trigger Acupuncture Points,Professional Acupuncture Points,Chinese Pharmacopeia
How does school stress affect children aged 7-13 in TCM?,"School stress creates Liver Qi stagnation (irritability, tension) and Heart-Spleen disharmony (worry, poor concentration). Friendships and social pressures can injure the child's developing Shen, manifesting as anxiety, stomach aches, or sleep issues.","HT-7 (Shenmen), LR-3 (Taichong) - Primary stress and emotion regulation","HT-7 (Shenmen), PC-6 (Neiguan), LR-3 (Taichong), Yintang, ST-36 (Zusanli), Sishencong (Four Alert Spirit)",Xiao Yao San (Free and Easy Wanderer) modified for children with Suan Zao Ren (Sour Jujube Seed) and Fu Shen (Poria Spirit)
What digestive questions reveal Spleen patterns in children?,"Ask about appetite quality, bloating after meals, stool consistency, cravings for sweets, and reactions to junk food. Spleen Qi deficiency manifests as poor appetite, loose stools, and sweet cravings. Damp accumulation shows as bloating and sluggishness.","ST-36 (Zusanli), SP-6 (Sanyinjiao) - Core Spleen strengthening","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), ST-25 (Tianshu), SP-4 (Gongsun), BL-20 (Pishu)","Shen Ling Bai Zhu San (Ginseng, Poria and Atractylodes Powder) or Si Jun Zi Tang (Four Gentlemen) in child-appropriate doses"
How does screen time before bed affect children's sleep?,"Blue light and stimulating content scatter Shen, create Heart Fire, and prevent Yang's natural descent into Yin at bedtime. This causes difficulty falling asleep, restless sleep, nightmares, and morning grogginess representing Shen disturbance.","HT-7 (Shenmen), Yintang - Shen calming for sleep","HT-7 (Shenmen), KI-6 (Zhaohai), Anmian (Extra point), Yintang, PC-6 (Neiguan), SP-6 (Sanyinjiao)",Suan Zao Ren Tang (Sour Jujube Seed Decoction) with Ye Jiao Teng (Polygonum Vine) in gentle pediatric doses
What do recurrent colds reveal about children's immunity?,"Frequent colds indicate Wei Qi deficiency (Lung and Spleen weakness). Slow recovery shows underlying Qi deficiency. Assess diet, sleep, stress levels - all affect Spleen's ability to generate Protective Qi.","LU-7 (Lieque), ST-36 (Zusanli) - Wei Qi boosting","LU-7 (Lieque), LI-4 (Hegu), ST-36 (Zusanli), BL-13 (Feishu), BL-20 (Pishu), DU-12 (Shenzhu - children's immune point)",Yu Ping Feng San (Jade Windscreen Powder) for prevention; modified doses based on age and weight
How do school concentration issues relate to TCM patterns?,"Poor concentration, fatigue, and headaches often represent Spleen Qi deficiency (can't hold attention) and Heart Blood deficiency (mind wanders). Anxiety shows Heart-Gallbladder disharmony. These patterns interconnect.","HT-7 (Shenmen), DU-20 (Baihui) - Focus and mental clarity","HT-7 (Shenmen), PC-6 (Neiguan), ST-36 (Zusanli), SP-6 (Sanyinjiao), DU-20 (Baihui), Sishencong",Gui Pi Tang (Restore the Spleen Decoction) in pediatric doses to nourish Heart and Spleen simultaneously
What triggers behavioral issues in children from TCM view?,Irritability suggests Liver Qi stagnation or Liver Heat. Anger shows Liver Yang rising. Sadness indicates Heart Blood deficiency or Lung Qi weakness. Withdrawal represents Kidney fear or severe Shen disturbance. Identify home/school triggers.,"LR-3 (Taichong), PC-6 (Neiguan) - Emotional regulation and calming","LR-3 (Taichong), LR-2 (Xingjian) for heat, HT-7 (Shenmen), PC-6 (Neiguan), Yintang, GB-20 (Fengchi)",Xiao Yao San for Liver stagnation; Long Dan Xie Gan Tang (very mild doses) for Liver Heat; Gui Pi Tang for sadness
Why is physical activity important for children in TCM?,"Exercise moves Qi and Blood, prevents stagnation, strengthens Spleen and Lung, and allows healthy expression of Wood element energy. Sedentary lifestyle creates Dampness, Qi stagnation, and weakens Wei Qi. Assess how child feels post-exercise.","ST-36 (Zusanli), LR-3 (Taichong) - Qi circulation and movement","ST-36 (Zusanli), SP-6 (Sanyinjiao), LR-3 (Taichong), LI-4 (Hegu), GB-34 (Yanglingquan)",Si Jun Zi Tang (Four Gentlemen) for Qi support if child tires easily; Chen Pi (Tangerine Peel) and Shan Zha (Hawthorn) for digestion
How does excessive screen time affect children's health?,"Excessive screens deplete Liver Blood and Kidney Yin (eyes), create Heart Fire (overstimulation), and generate Phlegm-Heat (affecting behavior and sleep). Can cause headaches, mood swings, and sleep disturbances.","GB-20 (Fengchi), LR-3 (Taichong) - Clear Heat and calm eyes","LR-3 (Taichong), GB-20 (Fengchi), GB-37 (Guangming - eye bright), Taiyang (temple), HT-7 (Shenmen), Yintang","Qi Ju Di Huang Wan (Lycium, Chrysanthemum, Rehmannia) for eyes; modified doses. Add calming herbs as needed."
What do childhood headaches indicate in TCM?,"Location matters: frontal (Stomach/Spleen), temporal (Liver/Gallbladder), vertex (Liver), occipital (Bladder/Kidney). Timing and triggers reveal pattern - stress-related shows Liver, food-related shows Spleen, after-school shows Qi deficiency.","Taiyang, LI-4 (Hegu) - Headache relief primary points","Taiyang (temple), Yintang, LI-4 (Hegu), LR-3 (Taichong), GB-20 (Fengchi), ST-8 (Touwei), DU-20 (Baihui)",Pattern-based: Liver→Xiao Yao San; Spleen→Si Jun Zi Tang with Chen Pi; Qi deficiency→Bu Zhong Yi Qi Tang (mild doses)
How to assess abdominal pain in children?,"Ask timing: before/after meals (Spleen), with stress (Liver invading Spleen), morning (Kidney Yang deficiency). Relief with warmth suggests Cold; relief with pressure suggests Qi deficiency. Stool changes provide crucial diagnostic information.","ST-36 (Zusanli), PC-6 (Neiguan) - Digestive comfort","ST-36 (Zusanli), REN-12 (Zhongwan), ST-25 (Tianshu), SP-4 (Gongsun), PC-6 (Neiguan), LR-3 (Taichong)",Xiao Jian Zhong Tang (Minor Construct the Middle) for deficiency-type pain; Xiao Yao San for stress-related; warm gently
