Diagnostic_Category,Finding,Description,TCM_Pattern_Indication,Clinical_Significance,Associated_Symptoms,Treatment_Principle
Tongue Body Color,Pale (Dan Bai),"Lighter than normal pink, whitish appearance","Qi and/or Blood deficiency, Yang deficiency, Cold","Insufficient qi-blood circulation, weak yang unable to bring color to tongue","Fatigue, cold limbs, pale face, shortness of breath, weak pulse","Tonify qi and blood, warm yang"
Tongue Body Color,Pale White (Bai Se),"Very pale, almost white appearance","Severe Blood deficiency, Yang deficiency, severe Cold","Critical deficiency of qi, blood, and yang; poor circulation","Severe fatigue, dizziness, palpitations, cold body, anemia","Strongly tonify qi, blood, and yang"
Tongue Body Color,Normal/Pale Red (Dan Hong),"Light pink to pale red, healthy appearance","Normal, healthy state; balanced qi, blood, yin, yang","Proper circulation, balanced internal environment","Generally healthy, no major imbalances","Maintain balance, preventive care"
Tongue Body Color,Red (Hong Se),"Redder than normal, bright red appearance","Heat (Excess or Deficiency), Yin deficiency","Internal heat, inflammation, or yin depletion causing relative heat","Fever, thirst, restlessness, night sweats, insomnia, dry mouth",Clear heat and/or nourish yin
Tongue Body Color,Deep Red/Crimson (Jiang Hong),"Dark, intense red color","Extreme heat, severe Yin deficiency with heat",Severe internal heat penetrating to blood level or organs,"High fever, severe thirst, delirium, bleeding, dark urine","Strongly clear heat, cool blood, nourish yin"
Tongue Body Color,Red Tip,Tip of tongue is redder than body,"Heart fire, emotional stress, anxiety","Heat in heart channel, often from emotional disturbance","Palpitations, insomnia, anxiety, mouth ulcers, disturbed shen","Clear heart fire, calm shen"
Tongue Body Color,Red Sides/Edges,Lateral edges redder than center,Liver fire or Liver qi stagnation with heat,Heat in liver-gallbladder channel,"Irritability, anger, headaches, red eyes, bitter taste, hypochondriac pain","Clear liver fire, soothe liver qi"
Tongue Body Color,Purple/Lavender (Zi Se),Purple or bluish-purple discoloration,"Blood stasis, severe Cold, or Qi-Blood stagnation","Poor circulation, stagnation, possible cardiovascular issues","Fixed pain, masses, dark complexion, varicose veins, cold limbs","Invigorate blood, remove stasis, warm channels"
Tongue Body Color,Purple-Red (Zi Hong),Purple with red undertones,Blood stasis with Heat,Stagnation combined with heat/inflammation,"Pain with heat signs, inflammation, dark blood, clots","Invigorate blood, clear heat, remove stasis"
Tongue Body Color,Purple-Blue (Qing Zi),Dark purple with blue tinge,"Blood stasis with Cold, severe Qi-Blood stagnation","Cold congealing blood, severe circulatory impairment","Cold pain, cold limbs, cyanosis, chest pain","Warm yang, invigorate blood, remove cold stasis"
Tongue Body Color,Blue/Cyan (Qing Se),Bluish discoloration,"Extreme Cold, severe Yang deficiency, blood stasis with cold","Life-threatening cold or circulatory collapse, severe oxygen deprivation","Severe cold, cyanosis, collapse, extreme pain","Emergency warming, rescue yang, invigorate blood"
Tongue Body Color,Pale Purple,Light purple or lavender shade,"Blood deficiency with stasis, Qi and Blood stagnation",Deficiency with poor circulation,"Dull pain, fatigue, pale face, menstrual issues","Tonify qi-blood, gently invigorate blood"
Tongue Coating Color,White Coating (Bai Tai),"White colored coating, normal or pathological","Exterior pattern, Cold, Dampness, normal if thin","External pathogen, cold condition, or normal healthy coating if thin-white","Chills, body aches, exterior symptoms, cold sensation","Release exterior, warm interior, resolve dampness depending on pattern"
Tongue Coating Color,Thin White Coating (Bo Bai Tai),"Light, transparent white coating, tongue body visible",Normal healthy coating or mild exterior pattern,"Normal stomach qi present, or beginning of exterior invasion",May be asymptomatic or mild exterior symptoms,Maintain balance or gently release exterior
Tongue Coating Color,Thick White Coating (Hou Bai Tai),Dense white coating obscuring tongue body,"Dampness, Phlegm, Cold-Dampness, food stagnation","Turbid pathogen accumulation, impaired spleen transformation","Heavy sensation, poor appetite, bloating, thick phlegm, lethargy","Transform dampness, resolve phlegm, strengthen spleen"
Tongue Coating Color,Yellow Coating (Huang Tai),Yellow colored coating,"Heat, Interior heat, Damp-heat","Heat in interior, inflammation, or dampness transforming to heat","Fever, thirst, yellow discharge, bitter taste, irritability","Clear heat, drain damp-heat"
Tongue Coating Color,Thin Yellow Coating (Bo Huang Tai),"Light yellow, transparent coating","Mild heat, heat in qi level, early heat invasion",Beginning heat condition or mild internal heat,"Mild fever, slight thirst, beginning inflammation",Gently clear heat
Tongue Coating Color,Thick Yellow Coating (Hou Huang Tai),Dense yellow coating,"Severe interior heat, Damp-heat, phlegm-heat",Strong internal heat or dampness-heat accumulation,"High fever, strong thirst, constipation, yellow phlegm, infections","Strongly clear heat, drain damp-heat, resolve phlegm-heat"
Tongue Coating Color,Grey Coating (Hui Tai),Grey colored coating,Interior heat (dry grey) or Interior cold-dampness (moist grey),"Deep-seated pathology, chronic condition, heat or cold extreme","Varies: dry with heat signs, or damp-cold with cold signs",Clear extreme heat or warm interior and dry dampness depending on moisture
Tongue Coating Color,Black Coating (Hei Tai),Black or very dark coating,Extreme heat consuming fluids (dry) or extreme Cold (wet),"Critical condition, extreme pathology, life-threatening heat or cold","Severe illness, high fever with dehydration, or extreme cold with dampness",Emergency treatment: strongly clear heat and nourish yin OR rescue yang and warm
Tongue Coating Color,Greasy/Slimy Yellow Coating (Ni Huang Tai),"Yellow coating with greasy, sticky texture","Damp-heat, phlegm-heat","Dampness and heat combined, often in spleen-stomach or liver-gallbladder","Nausea, heavy sensation, yellow sticky phlegm, bitter taste, greasy feeling","Clear heat, resolve dampness, transform phlegm"
Tongue Coating Color,No Coating/Peeled Coating (Wu Tai/Bo Tai),Absent coating or patches without coating (mirror tongue),"Severe Yin deficiency, Stomach-Kidney yin deficiency","Depletion of yin and fluids, stomach qi severely damaged","Dry mouth, night sweats, malar flush, low-grade fever, emaciation","Nourish yin, generate fluids, tonify stomach"
Coating Thickness,Thin Coating (Bo Tai),Coating through which tongue body color is visible,"Exterior pattern, mild pathology, or normal","Mild condition or healthy state, stomach qi present",Mild or no symptoms,Depends on coating color and tongue body
Coating Thickness,Thick Coating (Hou Tai),Dense coating obscuring tongue body color,"Interior pattern, dampness, phlegm, food stagnation, turbid pathogens","Substantial pathology, impaired spleen transformation","Heavy sensation, poor digestion, phlegm, fullness","Resolve dampness, transform phlegm, move food stagnation"
Coating Distribution,Coating at Root (Gen Bu You Tai),Coating primarily at back of tongue,"Kidney involvement, lower jiao pathology",Pathology in kidney or lower burner,"Lower back pain, urinary issues, lower abdominal symptoms",Address kidney and lower jiao
Coating Distribution,Coating in Center (Zhong Bu You Tai),Coating concentrated in middle of tongue,"Spleen-Stomach involvement, middle jiao pathology","Digestive issues, middle burner imbalance","Digestive complaints, bloating, poor appetite","Harmonize spleen-stomach, regulate middle jiao"
Coating Distribution,One-sided Coating,Coating only on one side of tongue,"Half exterior-half interior, or channel obstruction on one side","Pathogen not fully exterior or interior, or unilateral channel problem","One-sided symptoms, partial symptoms",Harmonize shaoyang or treat affected channel
Coating Distribution,Peeled/Geographic Coating (Bo Luo Tai),"Patchy coating with areas of no coating, map-like","Stomach-Kidney yin deficiency, damaged stomach qi",Depletion of yin and fluids with damaged digestive function,"Poor appetite, dry mouth, night sweats, poor digestion","Nourish yin, strengthen stomach qi"
Coating Quality,Greasy/Slimy Coating (Ni Tai),"Sticky, greasy texture that's difficult to scrape off","Dampness, Phlegm, turbid pathogen","Dampness accumulation, impaired spleen transformation","Heavy sensation, sticky mucus, nausea, poor appetite, lethargy","Transform dampness, resolve phlegm, strengthen spleen"
Coating Quality,Curdy/Cottage Cheese Coating (Fu Tai),Thick coating resembling cottage cheese or curdled milk,"Severe dampness, turbid phlegm, food stagnation with dampness","Heavy dampness-phlegm accumulation, severe digestive impairment","Severe bloating, nausea, thick discharge, heavy body","Strongly transform dampness, dissolve phlegm, move stagnation"
Coating Quality,Dry Coating (Zao Tai),"Rough, dry, flaky coating","Fluid deficiency, Heat damaging fluids, Yin deficiency","Depletion of body fluids, dryness consuming yin","Dry mouth, thirst, dry skin, constipation, dry cough","Generate fluids, nourish yin, clear heat if present"
Coating Quality,Moist Coating (Run Tai),"Slightly moist, normal moisture level","Normal fluid metabolism, healthy if not excessive",Proper fluid balance,Usually indicates health,Maintain balance
Coating Quality,Slippery/Wet Coating (Hua Tai),"Excessive moisture, appears wet and slippery","Excess dampness, impaired fluid transformation",,"Edema, loose stools, heavy sensation, copious thin discharge","Warm yang, transform dampness, resolve fluids"
Coating Quality,Tofu/Mouldy Coating (Fu Tai),"Thick, soft coating like tofu or mould","Turbid dampness, phlegm-dampness, severe spleen deficiency",Severe accumulation of turbid pathogen,"Thick discharges, severe digestive issues, heavy body","Transform turbid dampness, strengthen spleen"
Coating Quality,Rooted Coating (You Gen Tai),"Coating firmly attached to tongue, difficult to scrape off","Pathogen strongly rooted, stomach qi still present",True pathology present but body still has resistance,Varies with pattern,Treat underlying pattern
Coating Quality,Rootless/Floating Coating (Wu Gen Tai),"Coating easily scraped off, not firmly attached","Deficient condition, stomach qi weak, false pathogen",Apparent pathogen may be false appearance of deficiency,Often with deficiency symptoms despite coating,"Tonify deficiency, strengthen stomach qi"
Tongue Shape - Size,Normal Size,"Tongue fits comfortably in mouth, normal proportion","Healthy state, balanced qi and fluids",Normal,None specific,Maintain balance
Tongue Shape - Size,Swollen/Enlarged (Pang Da),"Tongue appears puffy and enlarged, may have teeth marks on sides","Spleen Qi deficiency, Dampness, Yang deficiency, Phlegm","Fluid retention, poor metabolism, weak transformation function","Fatigue, edema, poor digestion, heavy sensation, loose stools","Tonify spleen qi, drain dampness, warm yang"
