Question,Answer,TCM Acupuncture Points,Chinese Pharmacopeia Formula
What TCM pattern causes premature facial aging with fine lines?,"Qi and Blood Deficiency leads to poor nourishment of facial tissues, resulting in fine lines, dull complexion, and loss of facial elasticity due to insufficient essence reaching the face","ST36 (Zusanli), SP6 (Sanyinjiao), BL17 (Geshu), LI4 (Hegu), Yintang, ST2 (Sibai)",Ba Zhen Tang (Eight-Treasure Decoction)
How does TCM explain deep wrinkles and sagging skin?,"Kidney Essence Deficiency and Spleen Qi Sinking cause loss of facial tone, deep wrinkles, and tissue sagging as the upward-holding function weakens with aging","GV20 (Baihui), CV4 (Guanyuan), KI3 (Taixi), ST36 (Zusanli), GB14 (Yangbai), facial ashi points",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment Qi) plus He Che Da Zao Wan (Placenta Great Creation Pill)
What causes age spots and hyperpigmentation in TCM?,"Liver Qi Stagnation with Blood Stasis causes poor circulation in facial channels, leading to melanin accumulation and dark spots on the face","LV3 (Taichong), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli), local facial points",Xiao Yao San (Rambling Powder) plus Tao Hong Si Wu Tang (Four Substances with Peach Kernel and Safflower)
How does TCM treat loss of facial radiance and dull complexion?,"Spleen Qi and Blood Deficiency prevents proper nourishment and transportation to the face, causing dull, lifeless complexion requiring tonification","ST36 (Zusanli), SP6 (Sanyinjiao), LI4 (Hegu), ST2 (Sibai), Yintang",Gui Pi Tang (Restore the Spleen Decoction)
What TCM approach rejuvenates dry aging skin?,"Lung and Kidney Yin Deficiency causes skin dryness and premature aging as fluids fail to moisten the exterior, requiring yin nourishment","LU7 (Lieque), KI6 (Zhaohai), SP6 (Sanyinjiao), LI4 (Hegu), facial cosmetic points",Bai He Gu Jin Tang (Lily Bulb Preserve Metal Decoction) plus Liu Wei Di Huang Wan
How does TCM address puffy face and facial edema?,Spleen Yang Deficiency with Dampness Accumulation causes facial puffiness and edema as transformation and transportation functions fail,"SP9 (Yinlingquan), ST36 (Zusanli), CV9 (Shuifen), ST40 (Fenglong), ST3 (Juliao)","Shen Ling Bai Zhu San (Ginseng, Poria and Atractylodes Powder)"
What causes premature graying and hair loss in TCM?,"Kidney Essence and Liver Blood Deficiency lead to poor nourishment of hair follicles, causing premature graying, thinning, and hair loss","KI3 (Taixi), BL23 (Shenshu), LV8 (Ququan), GB20 (Fengchi), GV20 (Baihui), local scalp points",Qi Bao Mei Ran Dan (Seven Treasures Beautiful Whisker Pill)
How does TCM treat facial redness and broken capillaries?,"Liver Fire Rising or Heat in Blood causes facial redness, telangiectasia, and visible blood vessels requiring clearing heat and cooling blood","LV2 (Xingjian), LI11 (Quchi), SP10 (Xuehai), GV14 (Dazhui), local facial points",Liang Ge San (Cool the Diaphragm Powder)
What TCM pattern causes under-eye dark circles?,"Kidney Deficiency with Blood Stasis causes poor circulation and blood pooling in periorbital area, creating dark circles and puffiness","KI3 (Taixi), SP6 (Sanyinjiao), BL1 (Jingming), ST1 (Chengqi), GB1 (Tongziliao)",Liu Wei Di Huang Wan plus Tao Hong Si Wu Tang
How does TCM rejuvenate neck and décolletage skin?,"Qi and Blood Deficiency with Kidney Essence Decline affects neck and chest skin elasticity, requiring comprehensive tonification","CV22 (Tiantu), LI18 (Futu), ST36 (Zusanli), SP6 (Sanyinjiao), KI3 (Taixi)",Ren Shen Yang Rong Tang (Ginseng Nourish the Nutritive Qi Decoction)
What causes lip dryness and loss of color?,"Spleen and Stomach Yin Deficiency with Heat causes dry, pale, or cracked lips requiring moistening and nourishment","ST36 (Zusanli), SP6 (Sanyinjiao), GV26 (Shuigou), CV24 (Chengjiang), LI4 (Hegu)",Yi Wei Tang (Benefit the Stomach Decoction)
How does TCM treat enlarged pores and oily skin?,Damp-Heat in Spleen and Stomach causes excess sebum production and enlarged pores requiring clearing heat and resolving dampness,"ST44 (Neiting), SP9 (Yinlingquan), LI4 (Hegu), ST40 (Fenglong), local facial points",Huang Lian Jie Du Tang (Coptis Toxin-Resolving Decoction)
What TCM approach firms sagging jowls and jawline?,"Spleen Qi Deficiency and Chong Mai Weakness cause loss of facial muscle tone and sagging, requiring lifting and tonifying Qi","GV20 (Baihui), ST6 (Jiache), ST7 (Xiaguan), CV24 (Chengjiang), ST36 (Zusanli)",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment Qi)
How does TCM address facial asymmetry after stroke or Bell's palsy?,"Wind-Phlegm Obstructing Channels causes facial paralysis and asymmetry, requiring expelling wind and unblocking channels","LI4 (Hegu), ST6 (Jiache), ST7 (Xiaguan), ST4 (Dicang), GB14 (Yangbai), local ashi points",Qian Zheng San (Lead to Symmetry Powder)
What causes premature forehead wrinkles in TCM?,"Heart and Spleen Deficiency with worry and overthinking causes forehead lines, requiring calming the mind and tonifying organs","Yintang, GV20 (Baihui), HT7 (Shenmen), ST36 (Zusanli), Taiyang",Gui Pi Tang (Restore the Spleen Decoction)
What TCM pattern causes teenage acne?,"Lung and Stomach Heat Rising with Damp-Heat causes inflammatory acne, especially on face, due to excess heat and toxins","LI4 (Hegu), LI11 (Quchi), ST44 (Neiting), LU5 (Chize), local acne points",Pi Pa Qing Fei Yin (Loquat Leaf Clear the Lung Decoction)
How does TCM treat hormonal acne along jawline?,Liver Qi Stagnation with Kidney Yin Deficiency causes premenstrual and jawline acne due to hormonal imbalance and heat,"LV3 (Taichong), SP6 (Sanyinjiao), KI3 (Taixi), ST36 (Zusanli), local points",Xiao Yao San (Rambling Powder) plus Zhi Bai Di Huang Wan
What causes cystic acne in TCM?,"Toxic Heat with Phlegm-Damp Accumulation creates deep, painful cystic lesions requiring clearing heat and resolving phlegm-toxins","LI11 (Quchi), ST40 (Fenglong), SP9 (Yinlingquan), SP10 (Xuehai), GV14 (Dazhui)",Wu Wei Xiao Du Yin (Five-Ingredient Eliminate Toxin Decoction)
How does TCM address acne scars and post-inflammatory hyperpigmentation?,"Blood Stasis and Qi Stagnation in channels prevent proper healing and regeneration, leaving scars and dark marks","SP10 (Xuehai), LI4 (Hegu), LV3 (Taichong), BL17 (Geshu), local scar points",Tao Hong Si Wu Tang (Four Substances with Peach Kernel and Safflower)
What causes whitehead and blackhead comedones?,"Damp-Phlegm with Qi Stagnation blocks pores and sebaceous glands, creating comedones requiring resolving phlegm and moving qi","ST40 (Fenglong), SP9 (Yinlingquan), LI4 (Hegu), LV3 (Taichong), local points",Er Chen Tang (Two-Cured Decoction) plus Xiao Yao San
How does TCM treat back and chest acne?,"Damp-Heat in Spleen with Lung Heat causes acne on trunk, requiring clearing heat and resolving dampness from multiple organs","BL13 (Feishu), BL20 (Pishu), LI11 (Quchi), ST36 (Zusanli), GV14 (Dazhui), local points",Long Dan Xie Gan Tang (Gentiana Drain the Liver) plus Pi Pa Qing Fei Yin
What causes adult acne in women over 30?,Kidney Yin Deficiency with Empty Heat and Liver Qi Stagnation causes persistent adult acne requiring nourishing yin and regulating liver,"KI3 (Taixi), LV3 (Taichong), SP6 (Sanyinjiao), KI6 (Zhaohai), Yintang",Zhi Bai Di Huang Wan plus Xiao Yao San
How does TCM address recurrent facial boils and carbuncles?,Toxic Heat with Dampness and Blood Heat causes recurrent skin infections requiring clearing heat-toxins and cooling blood,"LI11 (Quchi), LI4 (Hegu), SP10 (Xuehai), GV14 (Dazhui), ST36 (Zusanli)",Wu Wei Xiao Du Yin (Five-Ingredient Eliminate Toxin) plus Huang Lian Jie Du Tang
What TCM pattern causes rosacea?,"Spleen and Stomach Damp-Heat Rising with Blood Heat causes facial flushing, papules, and visible vessels in rosacea","ST44 (Neiting), LI4 (Hegu), SP9 (Yinlingquan), LI11 (Quchi), local facial points",Qing Wei San (Clear the Stomach Powder)
How does TCM treat perioral dermatitis?,Spleen and Stomach Damp-Heat with Blood Heat causes inflammation around mouth requiring clearing digestive heat,"CV24 (Chengjiang), GV26 (Shuigou), ST44 (Neiting), LI4 (Hegu), SP9 (Yinlingquan)",Huang Lian Jie Du Tang (Coptis Toxin-Resolving Decoction)
